Year,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,AK,HI,PR,VI
1900,0.158,9.799,4.465,8.911,3.969,0.0,-999.0,1.648,3.386,3.785,0.61,0.411,0.179,12.136,2.625,2.055,0.0,-999.0,0.0,0.118,0.181,1.174,3.047,2.493,3.668,2.314,0.0,0.255,-999.0,0.004,5.838,3.075,0.355,-999.0,1.182,0.004,0.0,4.31,4.26,0.371,7.682,14.787,0.0,2.634,2.046,0.0,0.807,0.239,-999.0,-999.0,-999.0,
1901,3.49,10.863,26.465,10.334,6.243,0.0,-999.0,0.002,1.632,7.759,11.624,8.783,14.625,30.64,12.191,9.54,0.994,-999.0,0.0,0.485,2.554,8.904,24.135,2.474,18.005,3.053,0.0,0.85,-999.0,0.375,0.492,1.382,1.138,-999.0,1.711,0.034,0.0,0.602,10.316,4.95,24.795,19.22,0.0,0.214,1.823,0.31,4.809,0.491,-999.0,-999.0,-999.0,
1902,13.875,6.451,5.33,9.632,6.111,0.0,-999.0,2.009,13.965,4.237,0.415,0.759,0.09,9.274,2.595,7.734,0.0,-999.0,0.0,0.016,0.084,11.679,0.791,0.748,2.118,6.484,0.0,0.035,20.312,0.004,3.061,0.598,0.042,-999.0,1.879,0.004,0.0,7.193,1.311,1.446,18.639,12.818,0.0,0.75,1.737,0.015,0.006,0.008,-999.0,-999.0,-999.0,
1903,1.055,4.543,0.654,10.416,2.189,0.0,-999.0,0.1,0.52,2.298,0.237,0.431,0.085,4.358,0.387,1.289,0.0,-999.0,0.0,0.013,0.081,0.886,0.449,0.811,0.421,5.481,0.0,0.035,23.852,0.004,0.414,0.291,0.103,11.434,0.521,0.004,0.0,1.627,0.89,0.307,8.795,11.372,0.0,0.198,1.776,0.098,0.007,0.008,-999.0,-999.0,-999.0,
1904,2.563,5.123,1.082,14.831,1.709,0.0,-999.0,0.506,1.592,2.539,0.082,0.05,0.094,1.382,0.183,1.035,0.0,0.0,0.0,0.011,0.095,0.655,0.034,0.756,0.57,5.054,0.0,0.035,11.46,0.0,0.89,0.43,0.042,4.197,1.305,0.001,0.0,1.069,1.358,0.333,8.83,9.173,0.0,0.159,1.919,0.265,0.034,0.239,-999.0,-999.0,-999.0,
1905,0.999,11.076,1.064,15.187,2.362,0.0,-999.0,0.208,2.43,4.498,0.25,0.147,0.175,6.333,0.452,4.411,0.0,0.0,0.0,0.002,0.081,0.581,0.199,1.1,1.07,2.714,0.0,0.317,8.66,0.0,0.519,0.633,0.042,7.298,1.997,0.001,0.0,0.402,0.857,0.274,14.363,16.474,0.0,0.159,3.342,0.179,0.047,0.008,0.0,-999.0,-999.0,
1906,0.601,5.122,0.465,15.456,1.811,0.0,-999.0,0.088,1.518,2.373,0.151,0.046,0.125,1.213,0.182,5.234,0.0,0.0,0.0,0.022,0.126,1.326,0.123,1.358,0.982,3.049,0.0,0.006,7.663,0.168,0.189,1.961,0.079,3.163,2.883,0.001,0.0,0.203,1.56,0.222,8.58,10.861,0.02,0.159,4.224,0.006,0.0,0.008,0.0,-999.0,-999.0,
1907,1.666,4.887,11.769,7.011,2.261,0.0,-999.0,0.132,5.203,1.386,0.124,0.494,0.126,6.772,0.775,6.187,0.0,0.0,0.0,0.019,0.097,3.688,1.96,0.583,3.252,1.346,0.0,0.035,12.629,0.017,0.483,0.428,0.042,-999.0,1.067,0.022,0.0,2.157,0.703,1.582,18.58,9.493,0.02,0.159,1.986,0.006,0.033,0.008,0.0,-999.0,-999.0,
1908,3.163,4.613,1.842,14.351,2.383,0.0,-999.0,0.454,1.685,4.152,0.37,0.698,0.086,3.741,1.142,1.064,0.0,0.0,0.0,0.055,0.121,0.871,0.25,2.036,2.009,8.05,0.0,0.212,9.801,0.049,0.176,1.015,0.094,7.298,2.411,0.001,0.0,0.244,1.57,0.437,11.052,9.445,0.02,0.379,2.58,0.006,0.036,0.008,0.0,-999.0,-999.0,
1909,1.21,8.65,13.33,11.149,2.638,0.0,-999.0,0.502,0.578,2.512,0.674,0.204,0.254,7.364,0.968,6.605,0.01,0.0,0.0,0.024,0.081,5.61,3.699,1.211,2.781,3.809,0.0,0.035,9.511,0.049,0.059,0.051,0.042,53.824,0.446,0.001,0.0,0.408,1.43,1.145,27.207,9.082,0.5,0.369,1.049,0.055,0.097,0.008,0.0,-999.0,-999.0,
1910,0.071,6.034,0.829,14.742,4.552,0.0,-999.0,0.159,0.346,2.91,0.839,0.237,1.481,13.305,0.392,1.543,0.0,0.0,0.0,0.153,0.186,0.255,1.137,1.68,4.619,6.218,0.0,0.035,18.925,0.004,0.216,3.479,0.042,48.439,0.768,0.001,0.0,0.321,2.147,0.401,35.386,10.892,0.0,0.79,1.506,0.002,1.315,0.008,0.0,-999.0,-999.0,
1911,4.667,8.655,8.83,9.679,3.384,0.0,-999.0,0.945,4.631,1.565,4.996,4.608,6.771,21.679,4.023,17.075,3.25,0.0,4.0,0.798,1.04,7.322,11.467,0.537,9.224,2.042,4.333,1.634,10.942,1.121,1.746,0.593,2.257,41.177,2.633,0.194,0.0,3.308,5.297,2.822,34.657,8.857,3.0,2.006,2.807,1.817,1.927,0.008,0.0,-999.0,-999.0,
