Year,Northeast,Southeast,Midwest,Northern Great Plains,Northwest,Southwest,Southern Great Plains,Alaska,Hawaii,Puerto Rico
1900,0.218,1.038,0.288,0.325,0.028,0.146,0.914,-999.0,-999.0,
1901,0.339,1.139,0.194,0.129,0.184,0.2,0.331,-999.0,-999.0,
1902,0.167,1.006,0.375,0.162,0.152,0.234,1.083,-999.0,-999.0,
1903,0.644,0.76,0.311,0.194,0.196,0.212,0.69,-999.0,-999.0,
1904,0.265,0.504,0.292,0.101,0.16,0.298,0.633,-999.0,-999.0,
1905,0.167,0.915,0.444,0.259,0.062,0.133,0.667,-999.0,1.333,
1906,0.091,1.13,0.263,0.12,0.119,0.269,0.562,-999.0,2.667,
1907,0.133,0.845,0.222,0.078,0.21,0.256,0.599,-999.0,2.0,
1908,0.172,0.881,0.211,0.2,0.08,0.03,1.139,-999.0,1.0,
1909,0.103,0.89,0.359,0.163,0.236,0.337,0.502,-999.0,1.333,
1910,0.123,0.634,0.293,0.063,0.122,0.043,0.347,-999.0,2.5,
1911,0.255,0.878,0.321,0.18,0.162,0.252,0.483,-999.0,1.333,
1912,0.13,1.019,0.214,0.055,0.044,0.136,0.426,-999.0,0.333,
1913,0.318,0.949,0.25,0.062,0.038,0.173,0.786,-999.0,1.0,
1914,0.123,0.583,0.277,0.191,0.077,0.265,0.807,-999.0,0.5,
1915,0.353,1.282,0.378,0.197,0.05,0.302,0.742,-999.0,2.5,
1916,0.201,0.984,0.2,0.056,0.062,0.207,0.565,-999.0,2.0,
1917,0.045,0.555,0.134,0.114,0.129,0.066,0.147,-999.0,1.0,
1918,0.177,0.818,0.255,0.059,0.054,0.063,0.524,-999.0,7.5,
1919,0.113,1.058,0.256,0.152,0.134,0.199,0.693,-999.0,0.0,
1920,0.354,1.151,0.163,0.11,0.069,0.105,0.615,-999.0,0.667,
1921,0.182,0.87,0.224,0.116,0.236,0.089,0.324,-999.0,3.667,
1922,0.205,0.797,0.29,0.13,0.022,0.08,0.698,-999.0,2.0,
1923,0.186,0.739,0.158,0.116,0.08,0.032,0.764,-999.0,5.0,
1924,0.265,0.739,0.29,0.054,0.172,0.05,0.294,-999.0,1.333,
1925,0.083,0.621,0.224,0.125,0.011,0.085,0.519,-999.0,1.333,
1926,0.115,0.823,0.404,0.049,0.048,0.145,0.743,-999.0,0.667,
1927,0.271,0.847,0.288,0.049,0.089,0.13,0.619,-999.0,6.0,
1928,0.073,1.404,0.261,0.078,0.028,0.045,0.437,-999.0,2.0,
1929,0.108,1.303,0.212,0.132,0.037,0.16,0.674,-999.0,6.667,
1930,0.071,0.666,0.086,0.04,0.011,0.065,0.511,-999.0,5.667,
1931,0.136,0.623,0.303,0.037,0.115,0.079,0.499,-999.0,3.333,
1932,0.324,1.169,0.233,0.099,0.226,0.042,0.612,-999.0,4.667,
1933,0.187,0.957,0.239,0.111,0.367,0.142,0.502,-999.0,2.667,
1934,0.167,0.961,0.184,0.032,0.033,0.048,0.37,-999.0,2.0,
1935,0.333,0.847,0.268,0.111,0.12,0.015,0.755,-999.0,2.667,
1936,0.364,1.094,0.22,0.019,0.094,0.046,0.595,-999.0,5.667,
1937,0.358,0.991,0.302,0.082,0.35,0.252,0.372,-999.0,6.333,
1938,0.426,0.915,0.266,0.06,0.078,0.154,0.609,-999.0,2.0,
1939,0.098,0.663,0.148,0.062,0.083,0.063,0.237,-999.0,3.0,
1940,0.245,0.921,0.168,0.072,0.094,0.236,0.704,-999.0,3.0,
1941,0.091,0.866,0.373,0.146,0.167,0.17,1.015,-999.0,4.0,
1942,0.247,1.0,0.32,0.218,0.146,0.151,0.649,-999.0,4.0,
1943,0.182,0.928,0.363,0.073,0.073,0.194,0.529,-999.0,2.0,
1944,0.214,1.244,0.164,0.131,0.017,0.1,0.652,-999.0,0.667,
1945,0.146,1.228,0.311,0.081,0.157,0.173,0.903,-999.0,2.333,
1946,0.247,1.069,0.293,0.154,0.073,0.088,0.913,-999.0,1.667,
1947,0.099,1.081,0.362,0.137,0.042,0.026,0.357,-999.0,2.0,
1948,0.12,1.172,0.203,0.043,0.135,0.073,0.493,-999.0,1.667,
1949,0.1,1.038,0.263,0.077,0.096,0.044,0.662,-999.0,1.667,
1950,0.169,0.876,0.38,0.142,0.217,0.25,0.539,-999.0,3.0,
1951,0.04,0.81,0.265,0.112,0.145,0.164,0.776,-999.0,2.0,
1952,0.299,0.638,0.227,0.093,0.0,0.214,0.326,-999.0,1.333,
1953,0.172,1.072,0.248,0.094,0.156,0.069,0.58,-999.0,0.667,
1954,0.684,0.803,0.285,0.086,0.016,0.086,0.396,-999.0,2.333,
1955,0.531,1.02,0.27,0.017,0.238,0.315,0.533,-999.0,5.0,
1956,0.119,0.925,0.171,0.069,0.073,0.127,0.198,-999.0,2.0,
1957,0.01,1.267,0.315,0.182,0.052,0.079,1.15,-999.0,2.0,
1958,0.086,0.839,0.383,0.115,0.073,0.193,0.564,-999.0,3.333,
1959,0.214,0.908,0.369,0.027,0.188,0.152,0.949,-999.0,1.667,
1960,0.362,0.802,0.151,0.071,0.146,0.164,0.758,-999.0,1.333,
1961,0.164,1.318,0.455,0.062,0.125,0.051,1.015,-999.0,1.333,
1962,0.162,0.643,0.169,0.118,0.031,0.291,0.363,-999.0,0.333,
1963,0.074,0.862,0.139,0.114,0.011,0.155,0.253,-999.0,3.333,
1964,0.143,1.615,0.316,0.122,0.156,0.173,0.531,-999.0,2.0,
1965,0.071,0.797,0.275,0.107,0.125,0.113,0.646,-999.0,3.0,
1966,0.224,0.967,0.133,0.111,0.073,0.134,0.488,-999.0,1.0,
1967,0.19,0.907,0.157,0.12,0.011,0.161,0.745,-999.0,3.0,
1968,0.243,0.737,0.238,0.123,0.075,0.097,0.587,-999.0,3.667,
1969,0.39,1.088,0.358,0.098,0.068,0.307,0.702,-999.0,5.5,
