Year,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,AK,HI,PR,VI
1900,2.127,0.636,3.232,1.473,14.643,39.0,-999.0,0.0,2.268,13.599,33.259,25.055,51.537,13.254,14.019,0.827,64.504,-999.0,31.807,58.087,87.47,1.8,15.581,28.104,31.906,1.792,50.347,19.762,2.995,48.959,3.307,86.811,32.062,-999.0,4.49,33.893,25.0,0.913,49.493,8.356,1.458,8.112,67.072,13.16,9.401,20.109,67.641,34.333,-999.0,-999.0,-999.0,
1901,4.809,2.65,6.024,1.731,24.508,54.0,-999.0,0.0,3.289,20.931,39.782,32.238,52.777,20.126,13.314,0.429,73.262,-999.0,48.331,69.573,86.169,3.533,18.363,40.652,36.489,7.752,63.704,34.91,2.995,62.88,6.249,84.139,41.247,-999.0,7.811,42.138,43.0,1.346,49.911,9.879,3.584,11.256,66.588,20.074,10.686,31.16,70.922,26.76,-999.0,-999.0,-999.0,
1902,1.18,1.733,6.688,1.758,19.968,40.0,-999.0,0.0,0.598,21.845,44.326,35.729,57.106,27.613,20.057,0.277,62.087,-999.0,37.34,56.332,73.38,1.737,26.191,47.275,42.921,5.854,51.725,27.108,2.2,55.055,3.41,75.728,40.794,-999.0,7.71,42.188,36.0,0.755,54.821,11.862,1.822,17.651,61.019,20.183,18.95,36.138,61.379,29.732,-999.0,-999.0,-999.0,
1903,1.793,0.745,2.665,2.13,25.884,39.0,-999.0,0.0,0.653,26.151,42.713,31.21,54.387,16.331,14.449,0.082,62.015,-999.0,38.209,65.039,89.342,0.724,19.991,47.048,33.294,10.568,41.755,22.27,2.2,57.531,1.916,94.716,41.209,5.651,5.654,39.423,31.0,0.251,61.256,4.219,1.354,22.872,61.998,15.657,16.033,31.687,69.141,46.462,-999.0,-999.0,-999.0,
1904,0.678,0.672,2.708,1.693,13.467,67.0,-999.0,0.0,0.941,18.05,45.31,37.213,62.022,17.793,14.057,0.064,86.416,38.0,65.083,87.656,89.573,0.584,23.616,42.645,31.949,6.758,81.714,39.683,2.2,80.386,5.823,94.045,49.186,6.558,3.704,60.089,60.0,1.164,57.1,2.848,0.843,13.325,87.969,23.142,8.891,25.551,82.63,35.974,-999.0,-999.0,-999.0,
1905,5.555,2.321,9.078,1.944,27.086,48.0,-999.0,0.0,3.199,23.335,43.306,31.393,56.013,28.138,23.439,1.463,62.851,38.0,47.709,63.865,73.323,3.81,31.824,46.117,41.516,18.68,55.362,25.527,7.735,55.506,6.38,77.631,39.538,21.979,7.846,40.428,35.0,2.198,59.432,12.639,5.77,19.525,68.988,20.671,15.142,20.349,66.262,40.541,97.0,-999.0,-999.0,
1906,0.484,2.574,2.607,1.985,21.608,30.0,-999.0,0.0,0.322,28.896,33.366,24.123,51.239,17.516,12.87,0.331,58.735,27.0,35.767,52.995,83.544,0.898,20.422,47.274,33.934,15.48,48.701,14.489,5.425,49.053,2.352,95.714,30.5,2.929,6.071,31.109,25.0,0.266,61.753,4.834,1.628,21.469,49.668,10.837,13.38,14.633,62.203,39.85,135.0,-999.0,-999.0,
1907,0.368,2.03,2.225,1.743,14.541,41.0,-999.0,0.0,0.267,26.091,22.295,18.593,43.419,14.986,9.68,0.085,54.485,29.0,45.376,54.371,74.171,0.93,11.534,41.736,33.005,8.059,47.044,24.111,1.86,50.79,2.237,86.395,27.245,-999.0,8.585,32.387,34.0,0.297,49.353,3.759,0.8,9.065,58.764,13.243,23.049,14.873,53.887,28.525,130.0,-999.0,-999.0,
1908,0.178,2.28,0.757,1.73,18.916,32.0,-999.0,0.0,0.16,20.137,21.963,14.722,38.229,5.572,6.359,0.089,62.209,29.0,31.741,54.558,73.55,0.421,6.505,37.896,17.571,8.138,45.925,17.507,2.096,50.031,1.201,93.966,23.393,1.115,5.51,33.428,22.0,0.232,49.118,1.773,0.542,15.071,61.796,9.063,9.704,11.909,60.652,34.754,156.0,-999.0,-999.0,
1909,1.262,2.046,6.902,1.661,33.733,33.0,-999.0,0.0,1.252,30.805,37.354,28.835,58.585,29.629,17.147,0.863,57.842,36.0,36.341,58.204,83.031,2.432,26.074,50.955,46.839,16.512,43.344,18.792,7.226,48.385,3.02,96.129,33.837,12.907,12.717,35.919,28.0,1.039,67.395,8.301,4.084,26.78,44.869,11.53,27.612,17.804,65.104,52.124,140.0,-999.0,-999.0,
1910,0.294,2.367,3.119,1.77,18.521,41.0,-999.0,0.0,0.14,36.577,35.55,29.43,55.663,14.645,15.111,0.082,49.422,36.0,36.974,62.75,88.593,0.913,14.471,38.738,30.459,22.337,44.293,22.34,2.255,52.482,1.502,89.233,41.115,6.493,7.909,44.092,30.0,0.146,58.634,5.461,1.046,23.345,57.955,12.231,15.062,20.678,75.323,28.143,113.0,-999.0,-999.0,
1911,1.316,1.924,2.551,2.075,27.013,30.0,-999.0,0.0,0.55,34.592,22.153,15.077,44.078,20.944,8.258,0.711,56.028,24.0,32.646,46.86,82.639,1.128,11.671,46.686,31.386,14.183,35.323,9.423,6.766,45.401,0.863,102.01,18.943,12.207,6.052,21.623,26.0,0.199,54.843,2.465,2.001,20.92,57.503,6.35,13.443,10.4,54.792,43.209,134.0,-999.0,-999.0,
1912,1.966,1.447,5.735,1.586,28.072,46.0,-999.0,0.0,2.345,22.764,51.025,40.082,67.095,29.931,21.739,0.619,66.406,46.0,48.131,75.284,87.057,1.967,30.325,40.741,46.061,7.256,58.031,34.053,4.725,60.617,4.646,88.916,46.219,10.536,6.078,46.286,42.0,1.455,62.122,8.204,1.649,14.684,67.86,23.988,11.602,30.373,77.098,57.377,132.0,-999.0,-999.0,
1913,0.178,6.131,2.303,2.254,37.427,20.0,-999.0,0.0,0.086,40.396,31.207,21.22,49.319,29.449,10.672,0.082,46.827,24.0,23.744,51.405,77.118,0.396,19.275,54.173,42.448,15.061,32.984,10.666,8.008,36.229,0.42,81.861,25.863,14.825,7.559,22.399,19.0,0.0,51.35,1.161,1.901,24.437,50.679,3.626,21.417,12.544,60.968,54.967,156.0,-999.0,-999.0,
1914,1.84,1.29,3.11,1.754,23.411,54.0,-999.0,0.0,0.811,29.084,42.453,34.773,54.731,21.831,21.191,0.176,73.776,47.0,52.969,68.099,78.816,1.268,21.291,42.615,35.983,13.917,55.995,27.383,1.982,59.515,4.173,90.757,44.281,5.379,8.256,47.844,53.0,0.487,56.457,5.403,0.93,16.231,73.441,21.629,14.644,32.03,69.423,38.417,153.0,-999.0,-999.0,
