Year,National
1900,15.202
1901,22.48
1902,15.885
1903,10.519
1904,10.397
1905,12.344
1906,11.61
1907,12.826
1908,13.172
1909,15.961
1910,16.973
1911,24.115
1912,14.808
1913,24.799
1914,21.958
1915,11.391
1916,18.256
1917,17.256
1918,21.573
1919,16.032
1920,11.145
1921,20.214
1922,18.77
1923,12.396
1924,17.603
1925,25.468
1926,18.5
1927,15.264
1928,13.936
1929,16.779
1930,25.589
1931,28.483
1932,18.981
1933,26.074
1934,32.229
1935,18.558
1936,35.505
1937,22.737
1938,20.101
1939,23.475
1940,18.312
1941,18.234
1942,14.658
1943,21.334
1944,19.088
1945,14.958
1946,14.565
1947,20.067
1948,16.988
1949,13.056
1950,9.083
1951,16.948
1952,24.528
1953,24.929
1954,29.052
1955,20.301
1956,21.333
1957,14.439
1958,13.299
1959,14.174
1960,16.76
1961,11.75
1962,14.661
1963,16.992
1964,16.814
1965,10.588
1966,14.192
1967,10.289
1968,11.661
1969,15.171
1970,16.957
1971,13.004
1972,11.745
1973,11.463
1974,13.572
1975,10.049
1976,11.557
1977,18.461
1978,18.054
1979,11.012
1980,25.937
1981,14.34
1982,10.419
1983,20.204
1984,13.798
1985,13.622
1986,13.035
1987,13.939
1988,22.511
1989,10.99
1990,17.156
1991,12.487
1992,6.912
1993,12.062
1994,11.327
1995,14.732
1996,11.733
1997,10.824
1998,19.331
1999,14.838
2000,20.144
2001,14.526
2002,16.372
2003,14.185
2004,8.347
2005,15.066
2006,18.33
2007,14.248
2008,11.626
2009,11.89
2010,16.204
2011,22.931
2012,22.417
2013,12.438
2014,10.593
2015,13.372
2016,13.955
2017,12.009
2018,14.278
2019,13.537
2020,14.353
2021,14.144
