 Year,National,#grids
1900,     0.570,       334
1901,     0.711,       346
1902,     0.583,       364
1903,     0.594,       374
1904,     1.168,       375
1905,     1.382,       388
1906,     0.221,       385
1907,     1.171,       384
1908,     0.112,       386
1909,     1.306,       392
1910,     0.566,       385
1911,     0.795,       395
1912,     2.157,       397
1913,     0.605,       396
1914,     0.892,       397
1915,     0.326,       399
1916,     2.330,       397
1917,     2.213,       399
1918,     1.341,       394
1919,     1.430,       396
1920,     0.695,       398
1921,     0.181,       396
1922,     0.927,       400
1923,     0.488,       401
1924,     1.848,       403
1925,     0.274,       401
1926,     0.301,       401
1927,     1.020,       398
1928,     0.280,       399
1929,     1.450,       402
1930,     0.984,       401
1931,     0.006,       407
1932,     0.812,       406
1933,     1.101,       405
1934,     0.371,       405
1935,     0.739,       406
1936,     3.416,       404
1937,     1.312,       404
1938,     0.437,       405
1939,     0.455,       406
1940,     0.445,       406
1941,     0.183,       407
1942,     0.734,       410
1943,     0.979,       406
1944,     0.052,       404
1945,     0.405,       404
1946,     0.311,       398
1947,     0.153,       396
1948,     0.618,       398
1949,     0.900,       399
1950,     1.269,       405
1951,     1.339,       405
1952,     0.334,       403
1953,     0.077,       408
1954,     0.670,       407
1955,     0.446,       405
1956,     0.414,       403
1957,     0.521,       405
1958,     0.236,       401
1959,     0.550,       405
1960,     0.199,       406
1961,     0.283,       403
1962,     1.114,       409
1963,     1.738,       405
1964,     0.332,       405
1965,     0.781,       406
1966,     1.100,       407
1967,     0.382,       407
1968,     0.935,       404
1969,     0.851,       407
1970,     1.188,       404
1971,     0.838,       405
1972,     1.583,       404
1973,     0.556,       399
1974,     0.626,       400
1975,     0.282,       397
1976,     0.583,       403
1977,     1.272,       403
1978,     0.938,       398
1979,     1.334,       397
1980,     0.432,       398
1981,     0.294,       402
1982,     1.406,       401
1983,     1.893,       397
1984,     0.586,       400
1985,     1.348,       397
1986,     0.227,       401
1987,     0.084,       399
1988,     0.799,       398
1989,     1.928,       402
1990,     1.041,       400
1991,     0.234,       398
1992,     0.327,       401
1993,     0.444,       400
1994,     1.711,       400
1995,     0.371,       398
1996,     2.123,       400
1997,     0.812,       402
1998,     0.390,       399
1999,     0.381,       397
2000,     0.472,       394
2001,     0.105,       397
2002,     0.031,       398
2003,     0.303,       393
2004,     0.789,       395
2005,     0.466,       380
2006,     0.121,       390
2007,     0.433,       385
2008,     0.930,       378
2009,     0.727,       377
2010,     0.390,       376
2011,     0.430,       374
2012,     0.131,       370
2013,     0.775,       359
2014,     1.064,       357
2015,     0.384,       351
2016,     0.503,       357
2017,     0.747,       345
2018,     0.591,       338
