Year,Northeast,Southeast,Midwest,Northern Great Plains,Northwest,Southwest,Southern Great Plains,Alaska,Hawaii,Puerto Rico
1900,1.626,3.891,1.384,1.368,0.222,0.692,2.769,-999.0,-999.0,
1901,2.006,4.285,0.896,0.717,0.868,0.903,1.022,-999.0,-999.0,
1902,1.19,3.709,1.632,1.015,1.087,1.0,3.252,-999.0,-999.0,
1903,1.54,3.222,1.434,0.948,0.837,0.495,2.376,-999.0,-999.0,
1904,1.352,2.125,1.302,0.582,0.828,1.141,2.142,-999.0,-999.0,
1905,1.146,3.873,1.637,0.852,0.396,0.659,2.759,-999.0,4.0,
1906,1.156,4.31,1.216,0.898,0.494,1.054,1.975,-999.0,5.0,
1907,0.898,3.415,1.257,0.441,0.809,0.726,2.25,-999.0,5.0,
1908,0.828,3.43,1.014,0.855,0.517,0.359,3.129,-999.0,2.0,
1909,1.061,3.465,1.676,0.659,0.884,1.199,1.742,-999.0,3.667,
1910,0.863,2.774,1.147,0.337,0.855,0.319,1.253,-999.0,6.5,
1911,1.115,3.03,1.22,0.631,0.419,0.934,1.716,-999.0,4.333,
1912,0.812,4.116,1.204,0.34,0.599,0.4,1.703,-999.0,2.0,
1913,1.359,3.718,1.249,0.29,0.421,0.595,2.23,-999.0,3.333,
1914,0.828,2.59,1.173,0.669,0.45,0.993,2.426,-999.0,4.0,
1915,1.314,4.209,1.431,0.985,0.461,0.888,2.675,-999.0,5.0,
1916,0.873,3.155,1.072,0.401,0.632,0.75,2.074,-999.0,5.5,
1917,1.0,2.398,0.881,0.417,0.594,0.318,0.882,-999.0,3.0,
1918,0.808,3.217,1.201,0.451,0.285,0.384,1.897,-999.0,14.0,
1919,1.172,4.318,1.287,0.617,0.732,0.738,2.554,-999.0,2.0,
1920,1.556,4.192,1.036,0.495,0.539,0.345,2.183,-999.0,4.0,
1921,0.904,2.983,1.383,0.617,1.225,0.558,1.635,-999.0,6.333,
1922,1.121,3.517,1.185,0.621,0.324,0.411,1.989,-999.0,5.667,
1923,0.895,3.148,1.002,0.7,0.569,0.24,2.617,-999.0,8.0,
1924,1.711,2.923,1.144,0.392,0.558,0.222,1.276,-999.0,4.0,
1925,0.801,2.654,1.25,0.418,0.186,0.321,1.615,-999.0,3.333,
1926,1.281,3.567,1.487,0.494,0.599,0.642,2.493,-999.0,1.0,
1927,1.177,3.505,1.536,0.324,0.824,0.567,2.301,-999.0,9.667,
1928,0.719,4.202,1.283,0.386,0.411,0.352,1.921,-999.0,3.333,
1929,0.809,4.319,1.15,0.548,0.457,0.373,2.315,-999.0,12.0,
1930,0.553,2.659,0.702,0.353,0.118,0.34,2.124,-999.0,11.0,
1931,0.833,2.604,1.368,0.248,0.637,0.482,1.716,-999.0,6.333,
1932,1.689,4.076,0.992,0.472,0.848,0.318,2.368,-999.0,7.333,
1933,1.197,3.412,1.036,0.508,1.171,0.327,1.802,-999.0,5.333,
1934,0.965,3.507,0.876,0.282,0.506,0.208,1.444,-999.0,6.667,
1935,1.172,3.251,1.217,0.494,0.511,0.209,2.759,-999.0,7.667,
1936,1.409,3.692,0.957,0.177,0.762,0.548,1.869,-999.0,10.0,
1937,1.583,3.492,1.36,0.405,1.304,0.741,1.323,-999.0,11.0,
1938,1.392,3.149,1.396,0.447,0.6,0.612,2.595,-999.0,5.333,
1939,0.632,3.093,0.897,0.337,0.411,0.154,1.169,-999.0,7.0,
1940,1.118,3.145,0.871,0.331,0.361,0.907,2.454,-999.0,5.667,
1941,0.806,3.041,1.55,0.668,0.624,0.817,3.158,-999.0,5.667,
1942,1.005,3.581,1.47,0.818,0.594,0.531,2.459,-999.0,10.0,
1943,0.549,3.008,1.419,0.389,0.522,0.639,1.634,-999.0,4.667,
1944,1.188,3.891,1.105,0.782,0.084,0.39,2.69,-999.0,2.333,
1945,1.107,4.135,1.487,0.326,0.783,0.66,2.88,-999.0,3.333,
1946,1.141,3.891,1.27,0.644,0.658,0.481,2.981,-999.0,6.0,
1947,0.896,3.49,1.353,0.589,0.407,0.151,1.329,-999.0,4.0,
1948,0.906,4.314,1.054,0.467,0.682,0.301,1.629,-999.0,4.667,
1949,0.59,3.679,1.271,0.421,0.621,0.296,2.343,-999.0,4.333,
1950,1.081,3.558,1.693,0.599,0.911,0.715,2.043,-999.0,6.0,
1951,0.75,3.114,1.24,0.522,0.556,0.676,2.226,-999.0,5.667,
1952,1.397,2.808,1.0,0.516,0.103,0.633,1.269,-999.0,4.0,
1953,1.277,3.533,0.779,0.663,0.635,0.269,1.907,-999.0,1.667,
1954,1.652,2.424,1.211,0.516,0.491,0.476,1.243,-999.0,4.667,
1955,1.598,3.242,1.081,0.292,0.865,0.848,1.604,-999.0,7.333,
1956,0.605,2.932,0.867,0.315,0.789,0.307,0.873,-999.0,4.667,
1957,0.35,4.158,1.312,0.649,0.365,0.46,3.034,-999.0,6.667,
1958,0.826,3.012,1.387,0.418,0.427,0.875,1.85,-999.0,7.0,
1959,1.102,2.966,1.595,0.439,0.736,0.348,2.483,-999.0,5.667,
1960,0.99,2.786,1.019,0.482,0.599,0.452,1.964,-999.0,4.333,
1961,0.645,4.169,1.605,0.374,0.688,0.238,2.598,-999.0,3.0,
1962,0.912,2.705,0.976,0.65,0.417,0.836,1.625,-999.0,1.333,
1963,0.717,2.961,0.828,0.593,0.2,0.634,0.972,-999.0,6.0,
1964,0.498,5.234,1.266,0.628,0.995,0.443,1.813,-999.0,5.333,
1965,0.381,2.773,1.264,0.649,0.476,0.634,2.48,-999.0,6.333,
1966,0.76,3.407,0.898,0.418,0.6,0.595,1.543,-999.0,4.333,
1967,1.34,3.144,1.0,0.545,0.385,0.571,2.256,-999.0,6.667,
1968,0.952,3.246,1.338,0.721,0.485,0.415,2.574,-999.0,6.0,
1969,1.319,3.738,1.447,0.553,0.464,1.024,2.44,-999.0,13.0,
1970,0.864,3.159,1.49,0.364,0.433,0.756,1.62,-999.0,7.0,
1971,1.286,3.171,0.951,0.605,0.543,0.211,2.122,-999.0,3.0,
1972,1.919,3.818,1.35,0.451,1.009,0.312,1.904,-999.0,4.333,
1973,1.51,4.937,1.398,0.748,0.422,0.533,3.273,-999.0,4.5,
1974,0.98,3.886,1.181,0.346,0.798,0.568,2.526,-999.0,4.667,
1975,1.62,3.908,1.239,0.581,0.686,0.352,2.037,-999.0,5.667,
1976,0.953,3.036,0.666,0.355,0.297,0.142,1.639,-999.0,5.667,
1977,1.467,3.441,1.282,0.602,0.616,0.465,1.994,-999.0,5.0,
1978,1.375,3.03,1.411,0.58,0.167,0.714,1.667,-999.0,5.0,
1979,1.548,5.357,1.399,0.497,0.362,0.594,2.657,-999.0,9.0,
1980,1.076,3.512,0.973,0.421,0.679,0.815,1.591,-999.0,7.667,
1981,0.66,2.56,1.532,0.518,0.798,0.744,2.295,-999.0,5.0,
1982,0.94,4.095,1.668,0.682,1.101,0.814,1.952,-999.0,10.667,
1983,1.714,4.617,1.395,0.456,0.754,1.065,1.717,-999.0,4.333,
1984,1.602,3.869,1.163,0.508,0.553,0.115,1.605,-999.0,5.0,
1985,1.361,3.336,1.923,0.572,0.219,0.291,3.118,-999.0,5.667,
1986,1.102,2.812,1.86,0.612,0.86,0.727,3.058,-999.0,5.667,
1987,1.392,3.227,1.095,0.681,0.592,0.287,2.456,-999.0,9.0,
1988,0.874,3.253,0.973,0.415,0.354,0.261,1.382,-999.0,4.667,
1989,1.387,4.13,1.34,0.579,0.375,0.352,2.308,-999.0,11.667,
1990,1.229,4.077,1.858,0.493,0.787,0.258,2.571,-999.0,7.0,
1991,0.886,4.707,1.292,0.45,0.561,0.525,2.754,-999.0,4.333,
