Year,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,AK,HI,PR,VI
1900,0.0,0.0,0.0,0.0,0.06,0.0,-999.0,0.0,0.0,0.04,0.117,0.016,0.333,0.021,0.0,0.0,0.039,-999.0,0.0,0.22,4.221,0.0,0.0,3.466,0.125,0.0,0.0,0.0,0.0,0.117,0.0,7.896,0.0,-999.0,0.023,0.0,0.0,0.0,0.932,0.0,0.0,0.0,0.0,0.0,0.0,0.006,1.343,0.133,-999.0,-999.0,-999.0,
1901,0.0,0.0,0.0,0.0,0.003,0.0,-999.0,0.0,0.0,0.04,0.065,0.153,2.074,0.015,0.0,0.0,0.539,-999.0,0.0,0.235,5.075,0.0,0.149,1.634,0.918,0.0,0.333,0.0,0.0,0.278,0.0,8.834,0.002,-999.0,0.021,0.0,0.0,0.0,2.111,0.0,0.0,0.0,1.5,0.0,0.0,0.012,1.156,0.0,-999.0,-999.0,-999.0,
1902,0.0,0.0,0.0,0.0,0.131,0.0,-999.0,0.0,0.0,0.001,0.058,0.001,0.581,0.013,0.0,0.0,0.039,-999.0,0.0,0.177,4.536,0.0,0.0,4.27,0.098,0.0,0.0,0.0,0.0,0.184,0.0,9.297,0.0,-999.0,0.011,0.0,0.0,0.0,2.227,0.001,0.0,0.0,0.5,0.0,0.001,0.019,1.104,0.0,-999.0,-999.0,-999.0,
1903,0.0,0.0,0.0,0.0,0.005,0.0,-999.0,0.0,0.0,0.0,0.056,0.101,0.497,0.009,0.0,0.0,0.039,-999.0,0.0,0.524,4.503,0.0,0.0,1.808,0.183,0.0,0.0,0.0,0.0,0.02,0.0,8.957,0.0,0.0,0.0,0.0,0.0,0.0,1.851,0.001,0.0,0.0,0.5,0.0,0.005,0.0,1.407,0.0,-999.0,-999.0,-999.0,
1904,0.0,0.0,0.0,0.0,0.01,0.0,-999.0,0.0,0.0,0.0,0.29,0.0,2.304,0.0,0.0,0.0,0.75,0.0,0.667,0.809,7.535,0.0,0.139,2.594,0.474,0.02,1.667,0.0,0.0,1.143,0.0,17.757,0.036,0.0,0.001,0.3,0.0,0.0,4.046,0.001,0.0,0.021,3.5,0.0,0.001,0.023,2.862,0.133,-999.0,-999.0,-999.0,
1905,0.0,0.0,0.0,0.0,0.604,0.0,-999.0,0.0,0.0,0.0,0.756,0.2,4.36,1.192,0.0,0.0,0.0,0.0,0.0,0.293,6.601,0.0,0.511,4.273,4.334,0.02,0.0,0.0,0.0,0.097,0.0,13.14,0.0,0.0,0.003,0.0,0.0,0.0,7.345,0.001,0.0,0.0,0.0,0.0,0.0,0.0,2.184,1.0,37.0,-999.0,-999.0,
1906,0.0,0.0,0.0,0.0,0.092,0.0,-999.0,0.0,0.0,0.0,0.009,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.105,1.195,0.0,0.0,1.892,0.059,0.02,0.0,0.0,0.0,0.328,0.0,5.684,0.0,0.0,0.0,0.0,0.0,0.0,0.309,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.233,0.0,47.0,-999.0,-999.0,
1907,0.0,0.0,0.0,0.0,0.005,0.0,-999.0,0.0,0.0,0.0,0.003,0.0,1.152,0.0,0.0,0.0,0.5,0.0,0.0,0.556,5.528,0.0,0.0,5.484,0.353,0.02,0.333,0.0,0.0,0.539,0.0,17.213,0.0,-999.0,0.0,0.0,0.0,0.0,4.313,0.0,0.0,0.02,1.995,0.0,0.056,0.0,1.376,0.0,28.0,-999.0,-999.0,
1908,0.0,0.0,0.0,0.0,0.022,0.0,-999.0,0.0,0.0,0.0,0.008,0.0,0.146,0.0,0.0,0.0,0.0,0.0,0.013,0.137,0.965,0.0,0.006,0.468,0.042,0.02,0.0,0.0,0.0,0.447,0.0,2.065,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.001,0.0,0.023,0.0,0.0,0.0,0.0,0.247,0.0,35.0,-999.0,-999.0,
1909,0.0,0.0,0.0,0.0,0.34,0.0,-999.0,0.0,0.0,0.316,0.0,0.0,1.83,0.03,0.0,0.0,0.102,0.0,0.0,0.189,6.398,0.0,0.062,10.872,1.125,0.02,0.0,0.0,0.0,0.02,0.0,20.686,0.0,0.0,0.275,0.0,0.0,0.0,7.54,0.0,0.0,0.101,0.0,0.0,0.597,0.0,1.435,0.0,35.0,-999.0,-999.0,
1910,0.0,0.0,0.0,0.0,0.422,0.0,-999.0,0.0,0.0,0.149,0.01,0.0,0.792,0.007,0.0,0.0,0.25,0.0,0.0,0.165,2.443,0.0,0.0,2.795,0.131,0.0,0.0,0.0,0.0,0.068,0.0,10.058,0.0,0.0,0.0,0.0,0.0,0.0,2.145,0.0,0.0,0.046,0.5,0.0,0.0,0.01,0.256,0.0,28.0,-999.0,-999.0,
1911,0.0,0.0,0.0,0.0,0.163,0.0,-999.0,0.0,0.0,0.0,0.012,0.0,1.07,0.12,0.0,0.0,0.0,0.0,0.0,0.174,4.573,0.0,0.044,3.782,1.398,0.0,0.0,0.0,0.0,0.014,0.0,13.105,0.0,0.0,0.002,0.0,0.0,0.0,3.864,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.547,0.0,50.0,-999.0,-999.0,
1912,0.0,0.0,0.0,0.0,0.267,0.0,-999.0,0.0,0.0,0.0,2.656,0.45,8.177,1.454,0.0,0.0,0.75,0.0,0.0,1.404,14.215,0.0,1.04,1.902,3.389,0.0,0.0,0.0,0.0,0.832,0.0,14.063,0.0,0.0,0.0,0.0,0.0,0.0,6.608,0.0,0.0,0.0,1.995,0.0,0.0,0.0,10.055,0.0,33.0,-999.0,-999.0,
1913,0.0,0.0,0.0,0.0,0.379,0.0,-999.0,0.0,0.0,0.0,0.012,0.0,0.219,0.003,0.0,0.0,0.0,0.0,0.0,0.34,3.087,0.0,0.0,3.485,0.284,0.02,0.0,0.0,0.0,0.02,0.0,9.86,0.0,0.0,0.0,0.0,0.0,0.0,1.199,0.0,0.0,0.022,0.0,0.0,0.006,0.0,0.946,0.5,37.0,-999.0,-999.0,
