Year,Alaska,Hawaii,Midwest,Northeast,Northern Great Plains,Northwest,Southeast,Southern Great Plains,Southwest
1971,-11.47,-999.0,11.7,13.35,7.56,22.65,34.07,31.39,23.68
1972,-8.43,-999.0,12.25,15.65,5.61,20.69,38.24,32.04,22.92
1973,-5.73,-999.0,14.51,16.75,8.09,19.92,34.06,28.59,21.71
1974,-8.17,-999.0,13.46,17.34,10.36,23.58,37.23,29.74,22.63
1975,-9.4,-999.0,16.36,18.74,9.16,22.04,36.77,30.69,22.34
1976,-9.3,-999.0,15.65,14.56,13.2,23.52,33.8,31.91,24.58
1977,6.73,-999.0,5.98,9.35,9.17,20.03,27.57,27.44,22.01
1978,1.17,-999.0,6.46,11.09,4.11,26.54,28.45,26.1,27.53
1979,-3.1,-999.0,5.44,12.78,-1.03,16.15,30.84,25.83,20.57
1980,-4.97,-999.0,14.27,16.24,10.36,23.91,33.06,30.94,26.89
1981,0.63,-999.0,14.29,12.65,14.44,26.02,30.81,31.94,26.98
1982,-4.27,-999.0,8.84,13.24,5.44,21.86,32.55,29.08,24.8
1983,-1.0,-999.0,20.68,19.42,16.14,25.83,36.31,32.29,26.17
1984,-4.3,-999.0,11.86,16.25,8.11,20.0,31.78,26.78,23.29
1985,1.63,-999.0,11.77,16.72,4.55,16.19,34.09,30.37,22.64
1986,4.6,-999.0,11.26,14.82,10.75,21.8,32.98,30.94,27.02
1987,4.0,-999.0,19.36,15.94,15.63,22.36,35.17,33.15,24.21
1988,-0.03,-999.0,13.31,16.01,9.28,21.78,33.14,29.42,22.99
1989,-3.0,-999.0,13.84,16.48,7.65,18.53,35.71,31.32,21.51
1990,-8.0,-999.0,14.51,15.28,11.6,23.16,35.49,30.45,22.71
1991,-3.87,-999.0,14.6,19.1,9.15,20.33,37.27,30.8,22.51
1992,-3.23,-999.0,20.31,17.74,16.84,26.36,37.16,35.73,25.7
1993,-1.6,-999.0,14.49,15.92,4.65,17.77,36.19,31.73,23.9
1994,1.5,-999.0,10.7,11.47,8.61,24.09,33.61,31.08,23.7
1995,-1.7,-999.0,16.97,18.5,13.57,25.33,36.13,34.32,28.28
1996,-4.37,-999.0,11.75,14.6,8.21,23.25,33.02,30.68,26.89
1997,-1.5,-999.0,14.42,19.91,8.1,22.97,36.99,31.87,25.64
1998,-1.9,-999.0,23.69,22.51,15.84,24.84,37.63,33.87,25.6
