Year,National
1950,13.842
1951,14.81
1952,9.732
1953,5.438
1954,7.25
1955,13.43
1956,10.238
1957,10.329
1958,10.715
1959,11.249
1960,12.92
1961,10.412
1962,14.774
1963,18.117
1964,10.691
1965,11.555
1966,12.738
1967,10.304
1968,12.209
1969,10.69
1970,13.116
1971,12.316
1972,15.642
1973,9.465
1974,10.304
1975,10.954
1976,12.524
1977,14.887
1978,18.258
1979,18.127
1980,11.372
1981,7.891
1982,15.541
1983,10.686
1984,11.086
1985,17.404
1986,8.018
1987,5.879
1988,12.994
1989,16.396
1990,8.699
1991,9.019
1992,6.866
1993,12.053
1994,12.024
1995,8.721
1996,14.945
1997,9.478
1998,6.036
1999,5.843
2000,9.921
2001,7.37
2002,6.56
2003,9.744
2004,9.979
2005,9.23
2006,4.673
2007,10.64
2008,12.37
2009,11.426
2010,8.712
2011,10.634
2012,4.921
2013,10.86
2014,15.844
2015,11.319
2016,7.088
2017,7.788
2018,10.031
2019,12.624
2020,5.977
2021,8.109
