Year,Northeast,Southeast,Midwest,Northern Great Plains,Northwest,Southwest,Southern Great Plains,Alaska,Hawaii,Puerto Rico
1950,0.301,0.933,0.379,0.059,0.243,0.234,0.592,0.619,3.592,
1951,0.183,0.845,0.261,0.068,0.185,0.162,0.578,0.696,3.408,
1952,0.333,0.705,0.209,0.07,0.024,0.167,0.399,1.208,1.651,
1953,0.182,1.055,0.17,0.063,0.277,0.082,0.569,0.6,0.963,
1954,0.632,0.691,0.33,0.049,0.196,0.161,0.297,0.72,3.661,
1955,0.552,0.949,0.23,0.046,0.313,0.256,0.462,1.0,3.389,
1956,0.182,0.854,0.2,0.055,0.163,0.108,0.214,0.98,3.282,
1957,0.037,1.195,0.323,0.107,0.101,0.118,1.087,0.854,2.664,
1958,0.157,0.808,0.351,0.063,0.137,0.143,0.668,1.1,2.21,
1959,0.24,0.965,0.329,0.042,0.351,0.139,0.812,1.34,1.869,
1960,0.407,0.807,0.177,0.035,0.222,0.127,0.725,1.2,1.726,
1961,0.127,1.156,0.4,0.062,0.38,0.038,0.976,0.86,1.798,
1962,0.209,0.758,0.183,0.082,0.206,0.219,0.342,1.083,0.827,
1963,0.168,0.784,0.165,0.062,0.142,0.167,0.302,1.188,2.775,
1964,0.067,1.699,0.327,0.1,0.278,0.146,0.59,0.522,2.339,
1965,0.111,0.848,0.281,0.092,0.165,0.116,0.608,1.48,4.079,
1966,0.283,0.989,0.195,0.082,0.127,0.155,0.579,1.25,1.958,
1967,0.23,0.868,0.183,0.071,0.175,0.133,0.758,0.611,3.343,
1968,0.17,0.687,0.274,0.069,0.25,0.075,0.565,0.9,3.696,
1969,0.513,1.15,0.342,0.052,0.102,0.311,0.658,0.86,4.072,
1970,0.136,0.9,0.315,0.041,0.152,0.196,0.586,0.826,1.879,
1971,0.322,0.799,0.139,0.104,0.27,0.062,0.632,1.109,2.301,
1972,0.535,1.026,0.243,0.062,0.431,0.05,0.501,1.273,1.755,
1973,0.342,1.499,0.37,0.086,0.136,0.151,1.097,0.609,1.775,
1974,0.145,1.039,0.23,0.056,0.301,0.142,0.901,1.174,1.558,
1975,0.323,1.207,0.322,0.074,0.337,0.08,0.536,0.63,2.326,
1976,0.179,0.765,0.163,0.044,0.075,0.048,0.497,1.24,1.758,
1977,0.238,1.015,0.298,0.096,0.213,0.098,0.567,0.72,1.5,
1978,0.136,0.922,0.324,0.073,0.04,0.192,0.448,1.08,2.542,
1979,0.367,1.605,0.333,0.069,0.204,0.101,0.919,0.96,3.947,
1980,0.143,1.147,0.233,0.029,0.234,0.223,0.61,0.84,3.652,
1981,0.175,0.728,0.364,0.049,0.208,0.173,0.775,1.08,1.896,
1982,0.145,1.232,0.465,0.104,0.304,0.264,0.603,0.56,6.15,
1983,0.287,1.38,0.324,0.053,0.211,0.21,0.585,0.56,0.925,
1984,0.289,1.156,0.187,0.046,0.296,0.03,0.431,0.94,1.389,
1985,0.4,0.96,0.35,0.071,0.067,0.055,0.909,1.04,2.593,
1986,0.157,0.706,0.441,0.101,0.282,0.199,0.949,1.16,2.852,
1987,0.23,0.843,0.232,0.083,0.172,0.059,0.576,2.208,3.554,
1988,0.1,0.817,0.157,0.076,0.113,0.072,0.441,1.208,2.985,
1989,0.307,1.132,0.279,0.075,0.085,0.072,0.68,1.02,6.307,
1990,0.291,1.279,0.369,0.077,0.356,0.05,0.721,0.979,4.023,
1991,0.298,1.452,0.285,0.085,0.215,0.134,0.825,1.354,2.287,
1992,0.158,0.913,0.217,0.06,0.072,0.116,0.621,1.688,2.265,
1993,0.147,0.826,0.581,0.11,0.121,0.149,0.799,1.18,1.289,
1994,0.234,1.116,0.315,0.083,0.361,0.043,0.734,1.02,2.078,
1995,0.243,1.446,0.31,0.062,0.259,0.373,0.718,0.72,1.18,
1996,0.727,1.141,0.44,0.069,0.516,0.23,0.573,0.8,3.599,
1997,0.185,1.146,0.234,0.099,0.25,0.145,0.837,1.217,1.594,
1998,0.347,1.498,0.398,0.087,0.371,0.162,1.077,0.909,0.656,
1999,0.667,1.101,0.25,0.112,0.284,0.084,0.423,1.16,1.209,
