Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1909,-999.0,50.4,48.13,39.97,40.7,26.73,34.27,41.0,58.3,51.0,-999.0,33.2,27.7,38.2,37.7,37.4,42.77,55.63,33.27,40.7,26.07,28.37,25.83,41.0,51.67,25.7,45.23,26.0,31.37,28.17,37.97,33.87,32.23,31.1,37.17,44.93,30.53,35.13,34.83,49.9,28.7,45.07,50.8,30.57,41.4,26.93,32.77,28.3,38.4,23.6
1910,-999.0,49.83,49.17,44.7,44.23,31.17,36.73,43.0,55.27,50.67,-999.0,38.2,32.57,41.03,39.8,41.8,43.4,55.07,36.23,43.07,30.7,32.57,31.87,44.13,51.4,33.37,46.43,32.07,36.43,32.03,39.9,38.3,36.67,34.6,38.9,48.3,34.97,37.13,37.9,50.23,34.93,45.57,52.2,35.57,43.2,31.73,36.5,33.03,39.13,30.33
1911,-999.0,51.67,49.4,42.93,41.3,30.63,33.7,39.53,58.4,51.47,-999.0,37.4,28.07,40.73,39.53,41.23,43.43,57.63,32.7,39.97,25.03,31.6,30.4,43.27,52.9,29.23,44.47,29.37,35.37,26.93,37.07,39.17,32.33,31.1,38.27,48.57,29.97,35.1,33.87,48.63,32.67,45.83,53.47,33.1,40.77,25.73,32.03,32.8,38.33,27.2
1912,-999.0,50.97,48.17,41.27,40.63,27.0,33.7,41.5,60.83,52.23,-999.0,33.67,28.23,38.47,38.23,38.07,43.7,56.37,33.43,41.43,25.47,27.1,26.27,41.27,52.27,24.77,47.27,25.6,31.2,27.47,38.27,35.07,32.23,30.13,37.83,45.63,31.77,35.67,35.23,51.13,29.07,45.97,50.5,32.0,43.0,25.4,33.67,27.97,39.47,22.93
1913,-999.0,50.27,47.17,40.03,40.03,28.3,36.03,43.5,57.93,50.8,-999.0,34.87,29.13,38.63,38.13,39.33,43.0,53.93,34.97,42.9,27.53,29.03,26.07,41.43,50.27,26.3,46.97,26.1,33.23,30.17,40.47,34.87,31.87,33.4,38.03,45.3,31.73,36.97,36.6,49.83,29.37,45.13,49.2,31.63,43.37,29.67,33.47,28.77,39.57,26.4
1914,-999.0,48.8,47.87,43.8,43.77,30.07,33.93,39.63,55.9,49.57,-999.0,36.5,31.07,40.17,38.83,40.13,42.03,54.33,33.27,39.7,26.7,29.47,28.7,42.37,49.87,29.4,43.77,29.03,34.9,28.5,36.6,36.5,35.93,31.03,37.43,46.17,34.53,34.33,34.97,47.73,32.1,43.73,50.6,35.37,40.23,27.27,35.93,30.3,36.87,28.13
1915,-999.0,48.83,47.33,41.73,42.87,29.1,33.7,39.87,54.53,49.43,-999.0,36.27,32.17,39.8,38.43,38.8,41.83,52.83,33.17,39.77,27.7,30.6,30.53,42.17,49.37,30.7,43.67,28.93,33.37,28.47,37.17,35.2,35.0,30.83,36.67,45.2,34.83,34.27,34.47,47.23,30.53,43.87,49.3,34.6,40.03,27.73,37.03,31.4,37.0,28.2
1916,-999.0,49.77,49.0,43.0,41.9,29.27,31.97,40.0,54.8,49.77,-999.0,35.27,29.03,39.07,38.1,39.23,42.4,55.0,31.3,39.87,24.97,28.0,26.23,42.57,51.0,28.1,45.0,26.07,33.9,26.3,36.47,37.2,33.93,29.3,37.0,47.0,32.2,34.13,33.53,48.6,30.4,44.73,51.83,32.67,41.03,25.43,33.97,28.3,38.03,26.57
1917,-999.0,48.7,46.4,38.33,37.83,24.6,32.1,39.63,56.53,49.93,-999.0,33.13,25.13,37.57,36.8,36.2,40.47,53.6,31.33,39.6,25.4,27.73,25.57,39.93,49.53,24.1,44.3,25.1,30.43,26.7,36.03,32.23,29.5,29.93,35.87,43.7,29.93,34.17,33.5,48.53,27.9,42.87,49.07,28.63,40.63,26.07,32.23,27.03,36.87,21.47
1918,-999.0,52.93,50.37,42.47,40.73,29.3,35.37,43.43,58.57,52.77,-999.0,37.13,28.27,41.23,40.93,41.0,45.03,57.6,34.37,43.13,26.33,30.83,30.0,43.87,53.5,28.83,47.97,29.9,35.03,28.97,39.67,37.03,32.3,32.73,39.9,47.53,31.07,37.6,36.1,51.53,32.7,47.7,52.8,32.6,44.03,28.53,33.07,31.1,40.47,26.5
1919,-999.0,49.9,48.3,43.3,41.9,29.47,35.47,42.67,57.83,51.27,-999.0,36.2,29.6,39.97,39.03,40.67,43.2,54.47,35.1,41.87,28.5,30.83,29.07,42.47,50.47,27.5,46.27,27.4,34.1,30.6,39.57,37.2,34.63,32.3,37.73,47.23,32.33,36.17,36.4,50.67,31.03,45.27,51.3,34.0,42.67,29.37,34.0,30.57,38.67,27.0
1920,-999.0,50.4,49.0,40.6,39.9,26.7,32.73,39.1,57.33,50.1,-999.0,34.6,27.8,38.57,37.73,38.23,41.8,56.27,32.03,39.03,26.03,28.23,26.13,41.43,52.27,26.23,43.83,24.8,32.13,27.27,36.23,34.63,32.2,30.33,36.5,46.0,30.57,33.7,34.13,48.0,28.9,44.63,50.23,31.47,39.9,26.53,32.3,28.1,36.5,24.57
1921,-999.0,52.53,50.83,41.77,41.27,29.6,38.2,45.9,58.47,52.8,-999.0,40.07,30.5,44.03,43.53,42.3,46.33,57.37,37.37,45.73,30.57,35.13,30.5,45.57,53.47,28.57,48.83,27.77,36.17,33.03,42.53,36.6,34.7,36.5,42.57,49.0,33.4,40.2,38.87,51.57,32.27,48.17,52.73,33.67,45.57,32.5,33.87,34.67,41.97,27.67
