Year,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,AK,HI,PR,VI
1900,22.875,1.62,14.387,5.888,2.306,11.0,-999.0,20.169,19.093,2.677,8.349,8.843,9.885,7.021,10.851,19.807,17.192,-999.0,16.564,6.861,7.028,21.903,11.517,1.691,7.376,2.432,6.0,8.488,1.214,7.57,15.049,3.099,5.991,13.102,4.198,8.18,15.0,14.589,6.121,12.339,13.59,1.74,9.706,12.563,5.222,7.734,9.03,1.847,-999.0,-999.0,-999.0,
1901,17.884,2.411,10.525,6.077,1.443,17.0,-999.0,16.824,18.134,1.221,4.854,6.112,5.734,4.396,8.913,14.718,12.148,-999.0,16.54,5.311,5.905,16.729,7.319,1.86,6.496,1.932,8.0,10.7,0.863,7.95,20.271,5.093,6.52,6.652,6.097,10.839,18.0,14.382,4.544,15.136,6.42,0.954,4.583,18.204,5.246,8.902,4.86,1.847,-999.0,-999.0,-999.0,
1902,14.51,1.001,18.105,6.495,1.626,19.0,-999.0,15.747,15.688,1.485,10.864,8.041,12.54,9.1,13.022,14.328,12.186,-999.0,12.86,5.854,6.793,13.012,13.263,2.616,9.334,0.052,6.0,14.781,3.526,8.426,12.277,3.285,7.235,13.328,6.671,6.223,14.0,13.195,4.389,15.026,10.656,1.566,4.554,7.146,7.447,10.209,8.181,1.386,-999.0,-999.0,-999.0,
1903,15.083,1.736,13.539,5.683,1.59,12.0,-999.0,17.182,15.416,0.979,9.12,9.067,8.867,8.34,11.208,15.434,8.61,-999.0,12.364,5.578,8.844,15.376,10.786,1.215,8.127,1.932,5.0,12.787,1.302,9.073,15.284,5.539,7.479,8.924,6.092,7.021,22.0,12.517,4.407,14.425,10.429,1.061,4.266,11.658,5.173,8.329,7.934,0.63,-999.0,-999.0,-999.0,
1904,12.631,2.154,13.091,7.747,2.723,8.0,-999.0,14.806,9.112,0.909,9.158,8.998,6.462,8.082,8.349,12.007,13.391,3.0,12.36,5.296,4.944,11.672,12.908,0.821,6.726,0.552,5.0,8.645,4.068,5.823,10.316,3.509,7.447,8.593,7.899,5.813,14.0,10.479,3.921,10.166,9.082,1.738,6.176,5.207,5.27,2.843,8.754,0.63,-999.0,-999.0,-999.0,
1905,17.038,6.124,21.58,6.308,3.37,6.0,-999.0,16.784,15.303,0.665,8.802,11.995,9.053,7.739,12.635,26.529,8.712,11.0,8.287,7.062,8.478,20.029,13.968,1.224,8.351,0.071,6.0,7.529,4.877,8.611,14.973,4.68,8.262,11.323,3.614,8.849,15.0,10.815,5.909,13.562,13.58,2.584,6.929,10.665,5.913,10.385,8.713,0.57,-999.0,14.231,26.0,
1906,18.247,3.122,18.301,10.678,2.698,6.0,-999.0,17.567,16.23,2.289,9.164,9.809,7.335,6.694,13.687,15.286,12.676,10.0,14.571,6.155,6.029,16.539,9.872,1.821,7.232,0.071,5.0,9.772,1.31,8.032,14.121,4.488,6.339,9.922,6.205,4.521,15.0,15.904,6.476,14.749,9.794,3.561,4.989,11.598,5.936,7.564,7.586,3.298,-999.0,16.464,-999.0,
1907,18.06,2.956,15.465,6.856,1.494,13.0,-999.0,14.6,14.699,0.98,10.649,11.626,7.566,6.058,12.392,18.714,12.158,10.0,10.093,4.328,5.041,17.909,10.989,1.832,5.01,0.088,9.0,11.611,1.587,7.222,13.484,1.791,7.41,10.406,8.577,5.676,12.0,12.239,4.457,13.868,10.825,2.294,7.718,10.246,6.545,11.194,6.296,1.301,-999.0,24.429,27.0,
1908,16.186,3.264,15.215,4.414,2.265,10.0,-999.0,12.722,16.069,1.041,7.87,6.961,8.355,8.304,9.75,16.494,7.238,12.0,9.412,5.809,6.843,17.004,12.08,2.331,7.043,0.403,1.0,13.831,1.095,6.942,16.66,2.689,5.822,17.356,3.948,6.351,11.0,16.399,6.56,13.693,10.252,3.553,5.789,11.918,5.223,6.628,6.21,2.414,-999.0,13.117,24.0,
1909,20.053,2.625,13.764,12.963,1.764,10.0,-999.0,13.465,15.82,1.505,11.252,11.675,10.642,8.067,12.249,15.643,13.945,7.0,10.825,7.555,6.821,20.063,14.124,2.222,6.055,0.552,4.0,11.057,0.776,5.637,12.83,2.533,8.262,7.192,8.659,6.509,15.0,11.497,4.59,15.524,7.616,2.451,5.276,9.075,6.466,7.876,8.094,0.978,-999.0,13.544,-999.0,
1910,13.025,1.415,15.205,3.014,2.1,12.0,-999.0,15.069,12.512,0.424,6.549,9.087,3.651,5.148,14.45,16.262,5.707,1.0,7.073,4.229,2.253,14.545,10.743,0.951,3.858,0.5,3.0,8.285,1.093,6.571,13.016,1.866,7.889,4.582,5.024,6.989,13.0,12.994,2.02,10.871,6.582,0.9,5.396,7.392,6.14,5.549,4.164,1.386,-999.0,15.139,26.0,
1911,15.538,3.463,14.174,7.995,1.89,9.0,-999.0,12.1,14.395,1.113,8.796,7.413,7.395,6.378,12.471,21.114,7.46,15.0,9.046,6.454,5.847,18.96,10.256,2.208,6.173,0.069,5.0,12.249,1.805,5.579,11.172,2.707,6.74,8.817,4.012,7.434,18.0,11.097,4.3,14.556,9.521,0.269,4.881,8.45,4.219,10.199,8.437,0.771,-999.0,16.418,24.0,
1912,21.391,2.022,14.047,4.854,2.465,14.0,-999.0,18.106,20.451,1.589,8.192,7.858,6.136,6.988,11.513,20.018,13.442,12.0,11.276,7.329,3.592,20.491,11.667,1.672,4.639,0.5,7.0,13.68,1.616,6.354,11.917,4.08,7.538,8.446,6.884,6.292,21.0,14.701,3.414,15.939,8.301,1.402,5.789,10.539,5.753,8.203,7.269,0.736,-999.0,11.235,30.0,
1913,15.993,1.81,16.564,5.887,1.848,13.0,-999.0,11.414,12.933,1.14,8.729,9.684,7.02,5.073,12.862,21.294,8.448,7.0,12.194,4.08,6.612,19.239,9.991,1.725,5.446,0.656,5.0,10.539,1.302,8.945,15.161,1.851,8.831,9.402,5.754,9.011,12.0,16.071,3.416,13.872,11.601,1.141,7.587,11.168,4.507,12.485,8.651,1.365,-999.0,14.992,26.0,
1914,13.228,2.113,12.667,8.353,2.481,7.0,-999.0,14.032,14.183,0.537,5.488,7.229,8.393,5.91,9.874,15.113,7.696,9.0,10.6,6.23,7.004,14.97,9.575,1.876,5.283,0.322,6.0,6.942,2.568,7.243,11.667,4.405,7.699,6.749,4.962,5.225,15.0,11.81,4.295,11.316,11.958,3.024,5.571,7.872,4.575,6.874,7.677,0.305,-999.0,16.203,37.0,
1915,18.432,2.808,18.488,9.011,2.314,13.0,-999.0,17.825,16.613,0.722,9.326,9.425,9.449,11.292,16.726,18.497,10.262,8.0,14.409,4.875,6.095,19.134,14.324,1.957,10.057,0.0,4.0,10.39,2.986,8.94,14.294,3.399,7.766,14.033,5.022,5.888,16.0,15.125,5.781,16.343,9.817,2.538,6.305,10.923,5.346,8.836,6.67,3.502,-999.0,21.803,27.0,
1916,14.84,3.405,14.574,9.175,1.725,13.0,-999.0,13.866,13.385,1.452,8.928,9.289,7.058,5.475,13.086,17.188,10.983,6.0,10.902,5.924,5.687,15.125,10.651,2.274,4.675,0.322,6.0,5.419,3.061,6.936,11.534,4.315,6.588,9.421,6.983,5.928,-999.0,11.376,3.836,15.156,8.617,1.997,3.843,7.63,6.469,9.811,7.746,0.222,-999.0,34.03,16.0,
1917,17.249,2.247,12.063,4.17,1.278,14.0,-999.0,11.034,15.042,0.813,8.415,8.304,6.211,4.653,13.152,10.419,11.456,9.0,10.116,4.477,3.297,14.669,8.623,1.046,5.027,1.0,2.0,7.442,0.661,7.258,13.206,0.932,7.547,5.959,5.573,6.295,-999.0,11.142,2.873,14.704,4.699,0.479,4.229,7.461,5.624,9.032,4.4,1.179,-999.0,10.596,20.0,
1918,18.858,2.032,13.43,5.686,1.926,9.0,-999.0,15.748,15.807,0.821,10.579,9.792,7.396,7.417,9.764,17.407,9.242,11.0,8.538,5.101,5.153,16.325,10.448,1.341,4.923,0.25,3.0,7.508,1.531,8.301,13.366,3.164,4.908,11.308,4.76,6.381,14.0,13.212,4.323,12.064,9.929,0.958,7.077,12.641,4.867,11.27,6.215,1.631,-999.0,28.823,27.0,
1919,23.117,3.047,18.026,5.647,2.265,8.0,-999.0,15.285,16.13,0.408,9.435,9.534,9.564,6.083,16.271,23.84,6.498,9.0,11.027,5.735,5.182,22.324,12.671,0.494,5.79,0.0,6.0,9.584,2.621,6.99,12.512,2.578,8.061,9.155,7.023,6.771,23.0,13.464,4.103,14.421,15.436,0.949,5.681,10.251,5.121,12.736,7.118,0.719,-999.0,6.98,23.0,
1920,20.442,2.302,17.995,4.769,1.907,-999.0,-999.0,15.907,20.314,0.675,6.634,8.783,7.514,6.044,14.017,21.038,17.002,4.0,14.322,4.294,5.163,18.474,10.327,0.903,6.188,0.322,9.0,13.18,1.382,8.633,16.023,2.829,7.081,11.619,5.515,5.6,15.0,15.676,5.507,15.981,11.073,1.525,10.972,9.653,5.89,10.124,6.652,1.244,-999.0,9.606,23.0,
1921,14.692,2.823,15.568,4.932,2.236,-999.0,-999.0,12.662,12.27,1.316,10.42,12.255,8.16,5.456,11.754,15.373,5.03,13.0,6.676,6.595,3.995,14.401,12.62,1.138,5.234,0.5,2.0,10.227,1.943,5.139,10.457,3.356,7.099,9.86,7.272,6.894,13.0,10.779,4.901,12.929,9.262,1.748,3.89,7.783,5.768,10.306,6.515,0.577,-999.0,17.027,24.0,
1922,19.303,2.491,13.802,7.683,1.173,13.0,-999.0,15.638,17.798,0.848,8.051,9.949,7.543,7.914,11.421,21.793,11.374,9.0,11.491,6.735,3.737,18.099,11.627,1.32,5.522,0.5,7.0,8.174,0.838,7.671,16.432,3.206,6.942,10.193,6.091,5.972,16.0,18.583,3.674,14.118,9.945,0.648,3.771,11.248,3.872,8.952,6.774,1.799,-999.0,13.164,29.0,
1923,19.605,2.631,18.817,2.373,3.034,15.0,-999.0,13.242,17.463,1.754,8.574,10.417,6.204,9.01,16.063,23.662,8.931,10.0,11.544,5.629,4.712,23.385,11.452,2.144,8.001,0.5,11.0,10.15,2.51,5.453,11.092,4.677,7.879,15.222,5.65,4.691,15.0,12.698,4.284,17.592,13.639,0.96,5.947,9.191,5.557,9.36,4.946,2.961,-999.0,16.822,19.0,
1924,15.046,1.137,10.588,3.981,1.466,9.0,-999.0,17.63,16.773,0.193,7.725,8.881,7.151,5.834,10.242,11.213,9.951,-999.0,8.484,4.884,5.732,12.988,11.392,0.962,4.229,0.25,7.0,11.965,1.011,9.689,15.114,3.593,7.826,6.688,5.459,7.082,12.0,17.893,3.342,13.311,7.953,1.099,6.957,13.416,4.692,9.959,6.262,0.598,-999.0,13.823,-999.0,
1925,14.051,1.649,11.818,4.965,1.756,9.0,-999.0,15.215,11.243,0.995,7.809,8.265,6.321,6.652,11.769,15.601,10.964,8.0,11.535,3.85,4.969,15.301,11.178,1.376,4.378,0.656,9.0,10.345,1.485,8.193,9.034,3.186,5.582,7.728,3.79,4.865,12.0,11.394,3.251,10.369,7.708,0.996,8.842,4.558,4.693,8.403,6.204,1.365,-999.0,7.855,36.0,
1926,19.727,2.244,15.221,8.811,1.608,11.0,-999.0,17.464,15.295,1.348,9.707,9.015,7.717,5.489,15.431,21.11,8.883,9.0,7.846,6.289,4.997,17.548,12.226,1.297,4.91,0.25,4.0,8.885,2.171,7.402,12.0,1.601,8.484,13.304,6.294,7.342,-999.0,11.91,4.054,15.851,12.615,0.885,5.452,8.229,5.762,10.454,8.002,1.244,-999.0,6.66,23.0,
1927,14.446,3.271,19.834,6.917,2.188,11.0,-999.0,10.986,12.406,2.001,13.585,14.591,6.334,8.76,16.442,18.886,12.65,8.0,8.721,5.552,3.137,17.147,18.205,2.555,6.232,0.0,-999.0,14.287,1.367,8.661,12.855,3.651,8.287,11.808,7.374,7.359,-999.0,10.54,3.347,17.568,8.729,2.034,6.324,10.592,6.645,10.214,6.169,0.819,-999.0,19.613,26.0,
1928,16.604,1.882,16.411,4.898,2.179,5.0,-999.0,18.456,16.661,0.465,8.229,8.971,8.361,9.355,11.299,18.842,7.399,5.0,11.077,5.064,5.947,17.122,12.711,1.171,5.19,0.0,-999.0,12.181,1.285,6.479,14.291,4.975,6.449,10.631,5.309,6.335,-999.0,16.786,3.376,13.866,9.682,1.026,3.504,8.967,4.709,8.014,7.42,1.255,-999.0,11.362,30.0,
1929,25.249,1.616,12.997,2.949,2.128,8.0,-999.0,15.831,21.304,0.996,10.419,12.88,5.556,6.884,11.654,18.456,8.518,7.0,9.495,4.569,3.578,18.658,14.105,1.07,4.885,0.25,-999.0,11.468,2.491,6.883,18.416,2.178,9.425,12.061,5.262,7.232,-999.0,18.422,4.296,14.7,10.393,0.972,3.201,10.276,3.451,9.885,4.82,0.577,-999.0,20.612,24.0,
1930,11.991,2.277,14.957,3.848,3.065,6.0,-999.0,19.059,16.221,0.944,5.947,6.592,5.528,7.403,4.134,18.863,8.245,4.0,6.881,2.397,4.863,14.526,8.179,1.138,7.012,0.75,-999.0,7.997,1.649,4.505,8.286,1.431,3.884,8.554,3.162,4.369,-999.0,10.232,4.036,9.369,9.622,0.746,5.653,4.633,4.324,2.067,4.433,1.66,-999.0,18.758,23.0,
