Year,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,AK,HI,PR,VI
1900,2.92,3.422,5.853,0.719,0.0,0.0,-999.0,23.662,8.712,0.011,1.669,3.911,1.214,2.407,1.794,11.997,0.0,-999.0,0.001,0.973,0.815,14.152,3.175,0.073,1.905,0.082,1.0,1.862,0.56,2.336,5.119,0.0,0.558,-999.0,0.004,0.0,0.0,19.577,1.615,3.336,16.123,0.945,0.5,1.215,0.303,0.0,0.558,0.004,-999.0,-999.0,-999.0,
1901,2.445,2.585,10.556,0.229,0.175,0.0,-999.0,20.78,5.139,0.011,3.484,3.53,3.018,7.853,4.691,8.471,0.0,-999.0,0.166,0.709,1.557,13.598,10.26,0.009,2.222,0.183,0.0,1.982,0.0,2.208,4.462,0.138,1.944,-999.0,0.0,0.404,0.0,12.9,2.29,5.658,16.675,0.925,0.0,1.791,0.051,0.301,1.201,0.0,-999.0,-999.0,-999.0,
1902,12.712,1.832,7.495,0.189,0.0,0.0,-999.0,12.519,7.877,0.013,0.609,0.486,0.19,2.441,0.628,16.412,0.0,-999.0,0.001,0.16,0.059,18.176,1.165,0.004,0.491,0.22,0.0,0.679,0.809,0.431,4.084,0.0,0.377,-999.0,0.0,0.228,0.0,18.613,0.196,4.299,26.145,0.849,0.0,0.332,0.053,0.014,0.003,0.0,-999.0,-999.0,-999.0,
1903,2.631,0.452,6.248,0.292,0.054,0.0,-999.0,9.168,2.426,0.02,0.99,0.797,0.234,2.246,1.013,8.377,0.0,-999.0,0.001,0.186,0.077,6.92,0.536,0.014,0.927,0.082,0.0,0.717,0.0,0.576,4.186,0.0,0.292,1.564,0.003,0.106,0.0,12.556,0.262,1.258,12.208,0.95,0.0,0.801,0.161,0.036,0.159,0.0,-999.0,-999.0,-999.0,
1904,0.645,0.054,3.611,0.603,0.494,0.0,-999.0,5.193,2.36,0.008,0.287,0.345,0.196,2.829,0.087,2.354,0.0,0.0,0.001,0.129,0.055,4.978,0.771,0.014,0.628,0.031,0.0,0.668,0.058,0.442,1.117,0.0,0.134,0.0,0.003,0.803,0.0,7.859,0.319,1.245,9.716,0.607,0.0,0.152,0.044,0.025,0.212,0.004,-999.0,-999.0,-999.0,
1905,1.536,0.343,5.199,0.153,0.107,0.0,-999.0,14.927,2.516,0.009,0.738,0.96,0.45,3.403,0.323,19.331,0.0,0.0,0.001,0.219,0.221,10.617,1.149,0.022,0.558,0.183,0.333,1.342,1.415,0.848,2.845,0.0,0.048,0.0,0.003,1.104,0.0,11.882,0.173,1.438,18.27,0.915,0.0,0.117,0.172,0.544,0.108,0.0,0.0,-999.0,-999.0,
1906,2.419,0.692,1.769,0.259,0.004,0.0,-999.0,11.718,2.499,0.004,0.397,0.541,0.226,2.237,0.197,10.533,0.0,0.0,0.001,0.053,0.222,6.57,0.672,0.008,0.252,0.183,0.333,0.953,1.365,1.062,2.389,0.002,0.07,0.0,0.0,0.201,0.0,14.553,0.218,1.146,14.324,0.86,0.083,0.117,1.194,0.0,0.192,0.0,0.0,-999.0,-999.0,
1907,1.473,0.193,7.907,0.13,0.118,0.0,-999.0,11.246,2.357,0.0,0.681,0.5,0.276,2.087,0.539,16.92,0.0,0.0,0.001,0.039,0.125,8.591,2.58,0.004,0.738,0.183,0.0,0.361,0.359,0.881,1.98,0.002,0.16,-999.0,0.001,0.01,0.0,13.002,0.276,4.082,22.673,0.824,0.083,0.222,0.107,0.0,0.048,0.0,0.0,-999.0,-999.0,
1908,2.158,0.848,3.563,0.476,0.073,0.0,-999.0,7.121,1.329,0.286,0.56,0.726,0.278,1.299,0.106,12.124,0.0,0.0,0.168,0.169,0.23,6.668,1.093,0.008,0.432,0.082,0.0,0.361,0.038,1.725,1.716,0.106,0.127,1.564,0.0,0.01,0.0,11.409,0.243,2.062,12.587,0.817,0.083,0.181,0.168,0.0,0.098,0.0,0.0,-999.0,-999.0,
1909,3.637,0.365,12.614,0.425,0.209,0.0,-999.0,17.533,2.814,0.0,1.472,0.683,0.722,1.988,0.501,24.375,0.0,0.0,0.001,0.088,0.216,14.82,3.291,0.055,1.104,0.082,0.0,0.361,0.632,0.813,1.326,0.0,0.199,0.617,0.0,0.001,0.0,11.286,0.507,3.646,29.199,0.836,0.0,0.152,0.01,0.0,0.113,0.0,0.0,-999.0,-999.0,
