Year,National
1900,22.799
1901,21.417
1902,20.124
1903,15.987
1904,12.551
1905,20.17
1906,17.588
1907,16.44
1908,16.598
1909,19.355
1910,16.722
1911,22.563
1912,19.65
1913,20.593
1914,21.732
1915,16.433
1916,22.977
1917,15.46
1918,17.978
1919,19.649
1920,15.138
1921,24.401
1922,19.068
1923,18.949
1924,17.767
1925,22.791
1926,20.265
1927,17.392
1928,18.548
1929,17.494
1930,20.821
1931,26.096
1932,21.591
1933,23.883
1934,27.948
1935,23.499
1936,29.277
1937,23.682
1938,21.799
1939,22.508
1940,17.991
1941,24.502
1942,20.184
1943,24.76
1944,19.774
1945,18.379
1946,17.286
1947,21.161
1948,17.08
1949,22.322
1950,13.352
1951,18.274
1952,21.744
1953,22.275
1954,23.65
1955,22.395
1956,16.416
1957,18.574
1958,18.358
1959,21.09
1960,15.951
1961,14.006
1962,16.113
1963,17.066
1964,19.627
1965,15.733
1966,17.168
1967,12.007
1968,18.103
1969,18.408
1970,19.9
1971,15.59
1972,15.157
1973,17.538
1974,13.792
1975,16.619
1976,10.944
1977,21.687
1978,19.15
1979,15.38
1980,24.003
1981,18.926
1982,17.23
1983,21.06
1984,15.075
1985,16.61
1986,21.064
1987,20.003
1988,21.903
1989,17.92
1990,20.203
1991,23.764
1992,13.058
1993,20.889
1994,17.347
1995,22.163
1996,17.887
1997,17.379
1998,26.116
1999,22.503
2000,21.454
2001,21.956
2002,24.91
2003,20.113
2004,16.812
2005,23.219
2006,23.09
2007,21.776
2008,18.147
2009,17.719
2010,29.476
2011,28.254
2012,24.908
2013,21.434
2014,18.453
2015,22.416
2016,27.47
2017,21.077
2018,26.989
2019,24.024
2020,24.201
