Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1909,-999.0,38.03,34.1,32.0,35.03,13.23,19.63,28.5,49.03,38.7,-999.0,13.9,18.1,21.6,22.83,20.1,29.53,43.13,18.0,27.97,2.43,13.57,0.33,24.37,38.2,8.43,33.73,-0.13,13.0,9.2,24.8,23.5,23.07,15.37,23.97,28.6,24.27,22.07,21.3,37.77,6.83,32.4,37.13,17.93,29.53,7.43,21.83,8.23,26.6,9.53
1910,-999.0,31.87,26.9,27.43,31.37,8.47,16.9,23.33,43.57,32.2,-999.0,6.27,10.3,14.8,15.77,15.9,21.67,37.03,16.0,22.97,7.57,10.0,-2.4,17.8,32.1,4.67,27.33,-4.07,8.03,8.83,20.03,19.13,15.07,12.2,17.13,23.93,19.2,16.33,19.4,31.23,1.27,24.53,31.23,11.4,23.43,7.07,20.1,2.77,20.27,3.5
1911,-999.0,37.4,34.5,33.07,33.27,15.63,15.77,25.07,45.87,36.1,-999.0,12.37,16.1,20.47,21.07,20.53,27.33,46.07,14.63,24.83,1.27,12.23,-1.8,23.57,39.87,6.1,30.47,-4.83,14.27,5.77,20.47,25.3,21.1,11.0,21.83,29.5,23.23,18.53,17.37,34.67,6.23,30.37,38.77,20.33,26.07,3.1,23.57,7.03,24.03,10.6
1912,-999.0,32.57,26.8,25.67,32.2,9.67,14.8,22.57,46.4,33.47,-999.0,6.43,16.77,14.83,15.33,15.67,21.9,36.97,14.4,21.8,3.9,6.73,-4.03,17.5,32.47,9.7,27.57,-1.73,10.07,7.6,19.17,17.5,19.03,11.07,16.1,23.33,25.03,15.37,17.47,31.77,4.47,25.93,31.17,15.67,22.93,5.67,25.03,0.67,19.07,8.17
1913,-999.0,37.47,30.37,25.9,30.1,7.5,20.83,28.87,51.93,39.33,-999.0,10.8,11.57,19.7,20.73,16.07,26.93,41.83,20.4,27.53,7.8,12.13,-1.87,21.0,37.53,7.17,33.77,-1.57,10.33,13.13,24.87,16.97,16.17,17.0,22.0,25.13,20.37,21.47,23.0,38.53,4.83,30.0,33.33,12.77,28.37,11.8,20.77,5.47,24.0,5.6
1914,-999.0,35.33,32.13,30.97,35.0,10.7,15.93,25.67,47.03,35.53,-999.0,14.67,16.27,21.63,21.23,22.13,26.97,39.97,15.03,24.8,1.23,12.4,2.27,24.13,35.7,10.4,30.07,1.33,15.03,6.23,21.2,21.87,21.77,10.9,20.63,28.7,25.33,17.37,18.9,33.87,8.17,29.57,35.27,16.53,26.13,3.77,26.83,8.77,22.87,9.03
1915,-999.0,34.07,30.63,29.93,33.0,9.97,19.4,27.37,47.5,35.7,-999.0,11.07,13.57,18.9,19.63,18.9,26.33,38.7,18.2,26.03,6.9,12.2,1.1,21.8,34.53,8.33,31.2,-0.2,10.1,10.63,23.83,20.57,18.67,14.47,20.33,27.63,22.27,19.23,21.23,34.67,5.63,28.53,34.03,14.27,26.73,8.93,22.67,6.9,23.17,7.3
1916,-999.0,36.27,32.07,31.83,34.2,12.67,17.0,25.4,47.13,36.6,-999.0,10.03,13.73,18.9,20.1,17.43,26.57,41.47,16.37,24.9,7.3,11.6,-2.97,21.53,36.9,2.5,30.6,-5.07,10.63,10.03,21.77,23.9,20.63,13.3,21.07,26.9,22.33,19.03,19.4,35.23,2.97,29.93,36.03,17.47,26.4,8.33,19.5,5.37,23.27,7.17
1917,-999.0,36.9,30.17,27.13,29.43,9.6,16.6,24.13,48.13,36.77,-999.0,4.37,10.37,15.13,15.97,15.23,23.27,41.9,15.13,23.1,3.2,5.4,-9.83,18.9,37.07,2.47,30.1,-9.8,7.5,6.73,20.3,20.37,13.23,10.4,16.43,24.93,19.4,16.23,18.97,35.13,-1.27,27.9,34.37,11.1,24.77,4.3,20.7,-3.07,20.23,4.47
1918,-999.0,32.0,24.17,28.87,33.27,12.03,9.37,18.83,44.23,31.97,-999.0,3.9,20.73,10.63,10.27,12.73,17.23,37.2,8.1,17.87,-3.33,3.6,-7.03,13.17,31.47,6.53,25.27,-7.3,6.7,-1.6,14.3,20.93,21.6,3.7,11.27,21.03,28.77,10.27,12.33,30.13,0.53,22.07,30.3,18.93,19.43,-3.47,27.07,-1.33,15.07,9.47
1919,-999.0,36.03,32.7,26.2,31.27,8.97,20.63,28.2,47.67,37.47,-999.0,17.6,15.4,23.97,24.93,20.77,29.07,40.83,19.63,27.73,8.0,17.9,7.0,25.2,36.57,13.93,31.77,5.23,16.0,12.2,25.17,17.17,18.97,17.53,25.17,28.47,23.6,22.8,21.7,36.23,11.83,30.73,34.23,14.5,27.97,10.93,25.13,13.47,24.7,10.63
1920,-999.0,36.0,30.53,32.87,33.03,12.8,11.53,21.43,46.73,35.83,-999.0,8.43,12.77,15.43,15.7,19.03,23.93,42.03,10.67,20.8,-0.83,4.57,-3.93,20.17,36.7,8.67,28.2,-1.87,13.33,2.33,17.23,24.43,20.5,5.8,15.7,26.7,20.67,12.83,14.0,33.47,7.63,28.23,34.67,16.17,22.93,0.2,21.47,-0.73,19.5,9.27
1921,-999.0,36.73,34.43,28.5,33.2,14.17,19.7,28.47,47.3,37.1,-999.0,18.1,18.1,25.1,25.03,23.87,29.57,42.93,18.93,27.87,7.2,17.7,7.73,27.23,37.93,14.73,32.0,6.17,17.53,11.33,24.67,21.47,22.1,16.37,24.93,30.93,26.1,21.73,21.5,35.37,13.2,32.0,36.07,18.53,28.2,10.53,26.53,13.23,25.4,12.13
1922,-999.0,39.73,33.73,30.03,31.87,11.87,16.27,25.23,49.77,39.83,-999.0,11.53,10.53,20.0,21.43,17.9,28.33,44.4,14.83,25.0,2.2,11.53,-1.33,22.5,39.73,3.07,33.07,-2.53,10.17,5.1,21.1,21.87,17.43,11.23,21.83,27.97,18.93,18.2,18.1,37.33,3.4,32.3,35.9,15.0,27.63,3.93,18.3,3.93,24.23,5.1
1923,-999.0,39.23,34.3,31.17,33.23,13.53,13.2,25.43,49.97,39.5,-999.0,11.73,13.53,20.43,20.73,19.67,27.83,45.13,11.43,25.23,-1.8,9.27,-2.77,23.73,39.73,6.93,32.3,-3.43,12.93,2.9,20.27,24.07,21.23,9.67,20.97,29.73,22.6,17.6,14.73,37.17,6.17,31.63,38.23,18.1,27.17,1.03,20.97,3.6,23.87,8.9
