Year,Alaska,Hawaii,Midwest,Northeast,Northern Great Plains,Northwest,Southeast,Southern Great Plains,Southwest
1968,-999.0,-999.0,577.23,436.75,316.16,182.51,1153.21,1326.87,731.0
1969,-999.0,-999.0,551.06,435.94,361.18,181.84,1186.64,1506.05,867.67
1970,-999.0,-999.0,612.74,450.58,453.82,239.82,1118.31,1435.64,873.45
1971,-999.0,-999.0,558.21,402.28,388.77,245.04,1100.99,1374.91,832.64
1972,-999.0,-999.0,496.15,353.17,314.8,226.92,1042.35,1342.9,830.11
1973,-999.0,-999.0,660.99,552.32,412.52,193.16,1147.04,1321.71,803.9
1974,-999.0,-999.0,547.42,385.62,384.19,204.7,1007.36,1345.93,830.39
1975,-999.0,-999.0,642.0,467.91,398.32,178.5,1117.95,1336.8,744.01
1976,-999.0,-999.0,578.42,384.23,424.68,137.75,997.59,1273.82,744.43
1977,-999.0,-999.0,602.68,414.18,374.67,251.55,1260.7,1534.51,905.35
1978,-999.0,-999.0,569.19,419.71,334.24,182.67,1210.88,1556.3,845.02
1979,-999.0,-999.0,510.83,378.84,335.55,215.26,1064.0,1320.92,760.29
1980,-999.0,-999.0,710.4,488.47,414.6,136.98,1338.59,1765.74,865.6
1981,-999.0,-999.0,571.18,431.25,376.05,218.75,1237.61,1435.82,954.39
1982,-999.0,-999.0,480.75,325.79,331.89,182.14,1118.61,1444.5,773.4
1983,-999.0,-999.0,822.8,521.13,512.27,166.49,1223.84,1430.75,778.39
1984,-999.0,-999.0,636.64,460.78,430.25,204.47,1097.44,1473.63,821.95
1985,-999.0,-999.0,460.02,360.12,312.31,261.67,1121.66,1407.15,894.19
1986,-999.0,-999.0,580.12,380.33,372.85,256.24,1267.57,1460.68,846.88
1987,-999.0,-999.0,732.41,493.69,375.58,182.35,1283.88,1401.36,767.05
1988,-999.0,-999.0,834.18,569.14,570.83,235.08,1206.84,1468.29,882.24
1989,-999.0,-999.0,576.39,432.91,410.09,185.91,1109.32,1273.28,845.69
1990,-999.0,-999.0,555.37,452.54,379.23,268.16,1213.97,1483.02,858.45
1991,-999.0,-999.0,710.43,541.44,449.87,248.25,1206.97,1432.98,762.14
1992,-999.0,-999.0,347.84,298.88,185.98,255.4,1030.09,1209.41,782.95
1993,-999.0,-999.0,589.56,516.53,221.77,83.6,1307.29,1488.26,741.19
1994,-999.0,-999.0,530.93,521.36,347.36,277.22,1127.42,1455.83,1027.15
1995,-999.0,-999.0,777.04,570.84,399.07,163.45,1243.22,1412.66,836.22
1996,-999.0,-999.0,523.74,405.12,362.3,268.04,1122.63,1437.86,985.08
1997,-999.0,-999.0,524.11,393.07,366.05,219.46,1089.78,1384.02,833.52
1998,-999.0,-999.0,628.34,463.85,409.4,319.46,1355.75,1698.57,873.61
1999,-999.0,-999.0,680.8,588.11,376.97,191.33,1278.2,1502.98,787.34
2000,-999.0,-999.0,544.3,343.51,435.32,230.86,1229.98,1549.14,960.76
2001,-999.0,-999.0,649.5,483.1,473.9,241.86,1162.37,1569.94,945.45
2002,-999.0,-999.0,750.62,579.09,493.56,257.23,1254.7,1462.98,997.88
2003,-999.0,-999.0,593.99,476.87,497.34,357.5,1138.19,1470.32,1029.55
2004,-999.0,-999.0,403.69,391.21,250.53,300.15,1097.11,1247.19,842.24
2005,-999.0,-999.0,761.14,644.4,418.98,259.68,1285.23,1490.6,906.92
2006,-999.0,-999.0,699.58,549.16,523.27,305.85,1291.67,1588.21,1016.33
2007,-999.0,-999.0,686.46,481.32,519.77,312.97,1308.34,1379.51,1007.15
2008,-999.0,-999.0,574.14,490.48,370.32,230.74,1214.47,1480.93,943.6
2009,-999.0,-999.0,428.15,398.71,248.96,273.04,1176.49,1537.88,875.85
2010,-999.0,-999.0,793.64,655.73,398.68,180.73,1478.61,1640.89,901.32
2011,-999.0,-999.0,776.39,592.72,448.67,188.09,1441.11,1941.68,955.08
2012,-999.0,-999.0,812.92,588.84,561.77,276.13,1248.83,1628.89,1011.26
2013,-999.0,-999.0,560.9,527.05,415.63,344.77,1135.31,1486.17,992.38
2014,-999.0,-999.0,525.88,432.81,327.93,338.81,1131.91,1439.09,924.9
2015,-999.0,-999.0,537.0,502.08,386.57,396.77,1281.36,1501.8,973.21
2016,-999.0,-999.0,734.01,641.54,436.72,261.11,1390.74,1575.21,1027.2
2017,-999.0,-999.0,568.23,452.13,439.19,369.95,1182.27,1456.17,1039.02
2018,-999.0,-999.0,711.79,605.68,406.58,319.75,1302.55,1638.13,1061.04
2019,-999.0,-999.0,627.16,558.8,358.98,258.49,1263.77,1512.43,977.07
2020,-999.0,-999.0,737.57,657.75,482.98,254.73,1267.06,1564.3,1083.69
2021,-999.0,-999.0,747.84,603.08,555.75,430.05,1230.16,1459.69,1067.68
