Year,national
1895,64.44
1896,62.61
1897,66.66
1898,63.85
1899,66.91
1900,65.73
1901,65.83
1902,65.6
1903,64.86
1904,66.82
1905,65.35
1906,64.83
1907,65.1
1908,66.13
1909,66.63
1910,66.52
1911,63.7
1912,64.86
1913,65.08
1914,66.81
1915,66.7
1916,64.82
1917,65.79
1918,64.46
1919,63.91
1920,65.0
1921,67.63
1922,67.41
1923,64.63
1924,66.28
1925,63.34
1926,64.83
1927,67.3
1928,65.39
1929,63.84
1930,64.87
1931,68.26
1932,65.23
1933,67.98
1934,67.5
1935,64.93
1936,65.77
1937,65.65
1938,67.28
1939,68.01
1940,65.54
1941,65.82
1942,66.33
1943,66.07
1944,66.2
1945,66.1
1946,64.89
1947,66.38
1948,66.39
1949,67.16
1950,66.29
1951,64.12
1952,66.83
1953,69.08
1954,67.78
1955,65.98
1956,67.2
1957,63.15
1958,66.79
1959,64.21
1960,67.02
1961,64.48
1962,66.49
1963,69.33
1964,66.0
1965,65.84
1966,65.96
1967,65.56
1968,65.18
1969,64.49
1970,64.37
1971,65.13
1972,62.48
1973,66.06
1974,65.08
1975,65.83
1976,63.5
1977,65.94
1978,66.15
1979,66.33
1980,66.13
1981,65.98
1982,64.18
1983,66.05
1984,64.16
1985,63.02
1986,63.84
1987,66.78
1988,66.21
1989,66.41
1990,68.14
1991,65.03
1992,64.76
1993,63.98
1994,65.8
1995,66.14
1996,63.66
1997,65.32
1998,67.86
1999,69.31
2000,64.71
2001,68.44
2002,64.97
2003,66.75
2004,66.15
2005,68.35
2006,65.34
2007,68.1
2008,66.56
2009,65.77
2010,67.67
2011,67.43
2012,67.35
2013,65.65
2014,65.96
2015,68.52
2016,69.6
2017,67.78
2018,64.63
2019,65.7
2020,68.02
2021,68.81
