Year,National
1900,114.009
1901,121.071
1902,110.28
1903,117.428
1904,121.08
1905,116.222
1906,113.858
1907,120.17
1908,116.117
1909,117.885
1910,113.936
1911,116.82
1912,125.103
1913,113.094
1914,114.939
1915,115.787
1916,121.044
1917,127.737
1918,110.952
1919,116.623
1920,118.797
1921,103.295
1922,110.975
1923,115.709
1924,121.872
1925,116.396
1926,119.564
1927,106.965
1928,116.324
1929,118.83
1930,115.817
1931,104.411
1932,114.047
1933,110.453
1934,108.767
1935,114.665
1936,120.246
1937,117.655
1938,106.294
1939,113.565
1940,114.349
1941,109.54
1942,117.454
1943,121.381
1944,118.011
1945,114.185
1946,103.92
1947,120.299
1948,116.497
1949,112.647
1950,118.694
1951,121.23
1952,119.483
1953,108.924
1954,115.862
1955,119.843
1956,119.993
1957,111.59
1958,117.364
1959,120.668
1960,124.77
1961,119.316
1962,117.237
1963,116.625
1964,121.917
1965,116.593
1966,122.0
1967,118.841
1968,119.651
1969,122.84
1970,122.377
1971,117.976
1972,117.879
1973,107.979
1974,114.015
1975,119.245
1976,127.379
1977,112.805
1978,120.96
1979,121.364
1980,118.737
1981,112.688
1982,114.467
1983,111.876
1984,115.57
1985,116.993
1986,106.346
1987,110.448
1988,119.58
1989,119.516
1990,108.776
1991,110.86
1992,108.526
1993,117.337
1994,109.327
1995,112.557
1996,120.185
1997,115.029
1998,95.62
1999,108.235
2000,111.376
2001,107.477
2002,119.302
2003,109.025
2004,104.427
2005,107.29
2006,106.146
2007,111.288
2008,120.614
2009,114.027
2010,113.552
2011,113.591
2012,103.548
2013,127.248
2014,118.222
2015,104.55
2016,102.013
2017,103.92
2018,123.635
2019,117.845
2020,109.194
