Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1909,-999.0,79.87,79.97,77.13,71.2,64.93,67.07,71.6,80.6,79.1,-999.0,71.93,61.5,73.47,72.1,76.67,74.67,82.2,66.0,71.7,61.33,65.73,66.93,76.13,80.87,62.53,74.47,66.57,72.5,62.47,69.6,71.53,69.0,64.93,70.6,81.13,60.2,67.4,66.4,78.23,70.3,75.87,82.07,68.57,72.17,62.03,59.77,67.3,69.87,63.17
1910,-999.0,77.97,77.17,78.4,71.7,64.97,67.23,71.73,79.1,77.57,-999.0,71.53,61.63,72.33,70.8,75.47,72.83,80.5,66.17,71.57,61.47,65.7,66.73,73.83,78.87,62.73,74.17,66.5,70.77,62.67,69.77,72.5,69.27,65.2,70.03,79.97,60.6,67.47,66.7,77.2,69.2,73.93,82.27,69.03,71.5,62.27,59.97,67.83,69.27,62.83
1911,-999.0,79.27,78.73,76.37,71.03,63.8,68.37,73.97,80.07,79.3,-999.0,73.63,60.73,74.53,73.0,77.7,75.33,81.4,67.2,74.0,63.43,66.47,66.17,77.13,79.8,60.77,76.73,64.87,72.3,64.1,71.33,70.4,67.8,66.87,72.1,81.33,61.2,69.5,67.53,79.57,69.67,75.73,82.37,67.07,74.1,63.87,61.27,67.43,71.33,61.47
1912,-999.0,77.97,77.33,75.3,69.93,62.1,66.77,71.77,80.03,78.0,-999.0,70.03,59.57,71.6,70.6,74.8,73.2,80.5,65.93,71.23,60.03,63.1,63.63,74.33,78.53,60.2,74.5,63.67,69.5,61.7,69.5,69.77,66.37,63.63,69.4,78.83,59.7,66.27,66.33,77.8,67.47,74.17,80.97,66.07,71.97,60.93,60.83,64.27,68.77,59.73
1913,-999.0,79.9,79.83,75.5,71.3,64.47,68.13,72.83,79.63,79.23,-999.0,74.17,60.97,76.2,74.7,79.47,76.93,80.57,66.77,72.73,61.5,66.43,66.6,78.97,80.13,62.4,75.43,66.7,73.7,63.13,70.7,69.93,66.3,65.4,72.17,81.5,61.13,68.27,67.0,78.83,71.07,77.27,80.53,66.9,72.83,62.5,61.73,67.2,70.83,62.2
1914,-999.0,81.37,80.67,76.7,71.33,64.07,66.53,73.73,81.07,80.5,-999.0,73.6,61.23,76.17,74.73,78.17,77.03,82.33,65.43,73.03,60.2,65.53,66.37,78.77,81.8,62.57,76.73,66.23,73.2,61.97,70.2,69.97,68.1,64.97,72.13,81.77,61.57,68.37,65.8,79.53,70.27,78.07,80.87,66.8,73.8,61.8,61.73,66.5,70.87,61.73
1915,-999.0,79.33,76.07,76.37,71.8,60.97,66.23,71.8,81.07,79.47,-999.0,66.23,60.77,69.0,68.77,70.43,72.47,81.23,64.9,71.3,61.23,61.2,61.43,71.27,79.5,59.37,74.7,61.17,65.93,62.03,69.17,69.3,68.13,64.03,67.93,75.5,61.87,66.37,65.47,77.93,63.23,74.17,80.2,66.6,71.47,62.07,62.57,61.5,68.2,58.03
1916,-999.0,78.5,79.27,76.1,70.23,63.63,67.2,72.23,79.67,78.3,-999.0,72.23,59.83,74.27,73.27,76.4,74.67,81.13,65.93,71.9,62.9,66.63,66.67,76.47,79.33,61.03,74.53,65.5,71.47,63.73,69.87,70.57,66.7,66.37,71.23,80.3,59.27,68.27,66.7,77.63,68.77,75.3,81.6,66.2,72.1,64.03,59.77,67.53,69.63,60.8
1917,-999.0,78.67,76.93,77.83,73.53,63.07,68.8,73.23,79.77,78.53,-999.0,69.4,61.33,71.2,70.43,75.17,72.73,81.03,67.9,72.7,63.2,62.97,64.03,73.6,79.4,62.6,74.7,65.27,69.93,64.6,71.33,71.23,69.8,65.9,69.47,78.97,62.27,68.07,68.57,78.07,67.83,73.83,82.3,67.97,72.17,64.33,61.33,63.97,69.07,60.53
1918,-999.0,79.37,80.37,77.53,73.1,65.17,67.1,72.33,79.97,78.7,-999.0,72.57,62.7,74.17,72.97,78.83,75.0,82.03,65.93,72.17,61.0,65.2,65.53,78.13,80.6,63.37,74.43,65.1,73.33,62.7,70.07,71.77,69.9,64.9,71.53,82.67,62.5,68.2,66.73,77.9,69.3,76.03,83.23,68.83,71.7,62.63,62.23,66.03,69.77,62.53
