Year,national
1895,62.56
1896,63.72
1897,63.38
1898,63.3
1899,62.92
1900,64.57
1901,63.96
1902,63.37
1903,62.48
1904,63.37
1905,62.53
1906,63.31
1907,63.26
1908,64.17
1909,63.32
1910,64.91
1911,63.96
1912,61.96
1913,63.47
1914,63.73
1915,63.03
1916,63.1
1917,62.48
1918,63.91
1919,63.3
1920,62.68
1921,65.94
1922,64.03
1923,63.4
1924,62.9
1925,64.61
1926,63.86
1927,63.9
1928,63.91
1929,62.91
1930,64.17
1931,65.62
1932,63.76
1933,65.39
1934,66.74
1935,63.67
1936,64.58
1937,63.42
1938,65.2
1939,65.89
1940,63.71
1941,64.07
1942,63.83
1943,64.58
1944,63.82
1945,63.68
1946,65.13
1947,63.86
1948,63.82
1949,64.19
1950,63.6
1951,63.18
1952,64.68
1953,65.75
1954,65.76
1955,63.95
1956,64.9
1957,63.45
1958,63.71
1959,64.14
1960,63.42
1961,63.81
1962,63.95
1963,64.63
1964,63.9
1965,63.46
1966,63.63
1967,63.81
1968,63.2
1969,63.18
1970,63.53
1971,63.52
1972,63.07
1973,63.81
1974,64.3
1975,63.23
1976,64.05
1977,64.57
1978,62.76
1979,62.7
1980,64.42
1981,65.05
1982,62.82
1983,63.07
1984,63.58
1985,63.04
1986,64.88
1987,65.32
1988,65.17
1989,63.95
1990,65.62
1991,64.79
1992,64.11
1993,62.68
1994,64.78
1995,64.33
1996,63.7
1997,63.7
1998,65.62
1999,66.18
2000,65.3
2001,65.63
2002,65.18
2003,65.1
2004,64.6
2005,65.48
2006,66.4
2007,65.62
2008,64.44
2009,64.16
2010,64.65
2011,65.15
2012,67.67
2013,64.14
2014,64.32
2015,66.06
2016,66.68
2017,66.33
2018,65.08
2019,64.07
2020,66.32
2021,66.35
