Year,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,AK,HI,PR,VI
1914,4.976,0.261,7.834,0.09,0.055,0.0,-999.0,11.806,5.449,0.0,2.977,3.114,2.052,3.715,1.682,16.872,0.0,0.0,0.001,0.256,0.363,13.208,5.29,0.102,1.978,0.213,0.0,1.048,0.284,0.384,4.129,0.002,0.479,2.556,0.001,0.073,0.0,14.666,0.553,4.22,20.9,0.953,0.0,0.745,0.01,0.0,0.484,0.0,0.0,-999.0,-999.0,
1915,2.523,0.298,4.833,0.257,0.005,1.0,-999.0,23.264,5.512,0.001,0.352,0.414,0.094,1.019,0.915,17.337,0.0,0.0,0.001,0.141,0.054,9.2,0.867,0.009,0.279,0.213,0.0,0.619,0.757,0.549,3.302,0.0,0.173,2.138,0.137,0.073,0.0,11.512,0.141,1.917,23.768,0.86,0.5,0.169,0.102,0.0,0.046,0.0,1.0,-999.0,-999.0,
1916,1.228,0.406,7.419,0.445,0.056,0.0,-999.0,12.778,3.918,0.0,2.965,2.859,1.871,4.136,3.182,10.483,0.0,0.0,0.001,2.078,0.996,6.752,5.523,0.052,2.495,0.213,0.0,1.418,0.757,1.482,1.96,0.127,0.313,10.525,0.001,0.396,-999.0,11.318,0.705,2.829,26.683,1.206,0.5,0.47,0.009,0.0,1.957,0.004,0.0,-999.0,-999.0,
1917,1.746,0.345,2.784,0.59,0.056,1.0,-999.0,11.466,1.616,0.0,1.808,1.48,2.568,4.001,0.4,8.198,0.0,0.0,1.001,1.416,0.862,6.287,2.345,0.686,2.137,0.126,0.0,2.795,1.229,1.813,2.208,0.278,0.388,8.157,0.0,0.6,-999.0,10.499,0.84,1.112,24.787,1.184,0.0,0.702,0.009,0.0,1.919,0.0,0.0,-999.0,-999.0,
1918,1.471,0.559,8.519,0.231,0.096,1.0,-999.0,9.532,1.519,0.0,2.232,3.647,1.357,5.139,3.383,6.853,0.25,0.0,0.166,1.144,0.42,8.202,5.089,0.009,1.31,0.126,1.0,2.523,0.284,1.454,3.39,0.007,1.429,12.756,0.0,1.585,0.0,11.905,0.263,2.6,26.103,1.153,0.0,0.7,0.149,1.855,0.472,0.0,0.0,-999.0,-999.0,
1919,3.407,0.489,6.09,0.2,0.227,1.0,-999.0,14.004,1.655,0.0,1.04,1.884,1.569,2.676,2.151,12.348,1.0,0.0,0.834,1.097,0.594,8.567,1.449,0.34,1.326,0.126,0.0,0.471,0.284,0.655,2.809,0.132,0.318,1.496,0.002,0.497,0.0,12.477,0.588,2.461,12.178,1.668,0.0,0.256,0.009,0.0,0.926,0.0,0.0,-999.0,-999.0,
1920,2.846,0.406,3.813,0.18,0.014,-999.0,-999.0,8.556,2.163,0.0,0.478,0.93,0.542,1.406,0.089,4.976,0.0,0.0,0.001,0.03,0.159,7.927,0.704,0.052,0.584,0.126,0.0,0.691,1.55,0.425,1.242,0.007,0.328,2.5,0.001,0.001,0.0,9.034,0.206,0.671,15.149,1.983,0.0,0.15,0.104,0.181,0.067,0.0,0.0,-999.0,-999.0,
1921,6.434,0.712,8.371,0.24,0.299,-999.0,-999.0,13.766,2.31,0.0,1.661,2.006,0.553,2.157,1.764,11.128,0.25,0.0,0.166,0.967,0.838,11.007,2.404,0.066,0.715,4.935,0.0,0.421,0.284,1.673,2.685,0.778,0.207,12.026,0.0,0.989,0.0,12.51,0.647,2.094,17.943,1.616,0.0,0.295,0.009,0.0,1.428,0.0,0.0,-999.0,-999.0,
1922,1.695,0.933,11.245,0.094,0.105,0.0,-999.0,9.333,2.624,0.004,0.959,1.289,0.679,3.706,1.012,13.382,0.0,0.0,0.001,0.049,0.356,7.772,3.606,0.052,0.894,0.126,0.0,0.372,0.847,0.425,1.969,0.0,0.148,15.54,0.0,0.001,0.0,9.354,0.638,1.543,18.941,1.915,0.0,0.115,0.003,0.0,0.177,0.0,0.0,-999.0,-999.0,
1923,2.751,0.261,15.279,0.11,0.056,0.0,-999.0,12.532,5.628,0.004,0.854,0.847,0.593,2.699,1.002,13.572,0.0,0.0,0.166,0.232,0.189,7.377,4.543,0.01,0.516,0.126,0.0,0.471,0.757,0.526,1.615,0.111,0.021,12.026,0.0,0.001,0.0,10.793,0.449,1.714,21.171,1.565,0.0,0.418,0.003,0.0,0.127,0.0,0.0,-999.0,-999.0,
1924,4.214,0.708,12.896,0.182,0.056,0.0,-999.0,24.097,3.118,0.147,0.681,0.676,0.437,4.521,0.915,27.13,0.0,0.0,0.038,0.07,0.094,16.525,2.618,0.009,0.777,0.126,0.0,0.829,0.284,0.49,1.655,0.0,0.173,23.678,0.0,0.199,0.0,10.668,0.367,2.179,26.828,2.285,0.0,0.299,0.419,0.0,0.042,0.0,0.0,-999.0,-999.0,
1925,6.119,0.261,12.712,0.6,0.113,0.0,-999.0,22.344,9.751,0.009,1.095,1.749,0.467,4.069,1.182,20.397,0.0,0.0,0.333,0.049,0.244,14.765,3.158,0.267,0.826,0.126,0.333,0.458,0.757,0.732,2.957,0.222,0.023,12.363,0.0,0.001,0.0,17.233,0.776,2.079,30.572,1.986,0.0,1.794,0.154,0.1,0.104,0.0,0.0,-999.0,-999.0,
1926,2.396,0.606,6.949,0.165,0.056,0.0,-999.0,19.564,2.868,0.158,0.64,0.333,0.586,3.052,1.831,23.93,0.0,0.0,0.333,0.232,0.33,9.211,1.598,0.008,0.907,0.126,0.0,1.616,0.284,1.105,2.803,0.111,0.238,3.447,0.0,0.001,0.0,11.955,0.787,3.237,16.521,1.944,0.5,1.015,0.056,0.4,0.32,0.0,0.0,-999.0,-999.0,
1927,3.687,0.298,4.021,0.205,0.004,0.0,-999.0,18.8,1.923,0.0,0.387,0.274,0.159,1.105,1.513,27.281,0.0,0.0,0.001,0.183,0.221,12.914,0.363,0.009,0.949,0.126,0.0,0.372,0.374,0.384,1.32,0.0,0.06,2.917,0.0,0.001,0.0,9.451,0.609,1.541,20.008,1.009,0.0,0.331,0.175,0.0,0.163,0.0,0.0,-999.0,-999.0,
1928,2.723,0.604,9.322,0.348,0.017,0.0,-999.0,16.277,3.415,0.0,0.783,1.013,0.23,1.775,0.108,17.943,0.0,0.0,0.001,0.205,0.152,9.365,2.554,0.005,0.662,0.126,0.0,1.011,1.387,0.703,2.57,0.002,0.171,6.93,0.0,0.001,0.0,11.051,0.741,2.444,21.67,1.245,0.0,0.15,0.268,0.0,0.394,0.0,0.0,-999.0,-999.0,
1929,1.958,0.298,6.178,0.24,0.0,0.0,-999.0,17.058,2.284,0.0,0.471,0.534,0.34,2.634,0.682,13.774,0.0,0.0,0.498,0.637,0.279,8.017,1.696,0.851,1.189,0.126,0.0,0.68,0.284,0.74,2.032,0.132,0.016,5.284,0.0,0.001,0.0,9.126,1.075,1.331,14.349,1.93,1.0,0.115,0.268,0.0,0.389,0.0,0.0,-999.0,-999.0,
1930,5.15,0.451,14.379,0.128,0.308,0.0,-999.0,22.416,5.841,0.071,5.527,5.43,3.837,5.645,6.518,21.436,0.0,0.0,0.166,0.986,0.465,20.138,6.307,0.139,2.227,0.126,0.0,2.134,0.284,0.683,3.727,0.111,2.329,20.388,0.0,0.396,0.0,18.221,1.741,5.018,25.219,1.12,0.0,2.494,0.009,1.5,0.572,0.0,0.0,-999.0,-999.0,
1931,3.202,0.336,7.399,0.515,0.221,0.0,-999.0,22.592,11.959,0.0,5.32,6.359,4.115,6.504,4.24,22.55,0.25,0.0,0.496,2.333,3.939,11.619,4.909,0.283,4.268,0.228,0.0,0.508,0.284,1.554,2.373,0.556,1.165,18.935,0.0,0.396,0.0,17.065,6.844,2.803,16.854,2.875,0.5,1.016,0.009,0.494,3.577,0.5,0.0,-999.0,-999.0,
1932,8.952,0.485,12.841,0.267,0.106,0.0,-999.0,27.318,5.888,0.0,2.041,2.405,1.476,4.515,3.084,38.985,0.0,0.0,0.001,0.563,0.675,17.057,3.767,0.009,2.193,0.126,0.0,0.557,0.87,0.422,2.413,0.167,0.24,6.873,0.0,0.199,0.0,17.799,1.135,2.985,21.087,1.325,0.0,0.361,0.009,0.0,1.518,0.0,0.0,-999.0,-999.0,
1933,3.091,0.523,11.27,0.386,0.0,0.0,-999.0,23.541,5.536,0.0,2.192,3.713,0.366,7.347,2.056,30.788,0.0,0.0,1.002,0.952,0.741,11.326,4.36,0.123,1.66,0.228,0.0,1.467,0.892,0.934,1.842,0.0,0.861,15.484,0.0,0.199,0.0,13.822,1.632,1.765,24.389,1.752,0.0,0.866,0.081,0.0,0.697,0.0,0.0,-999.0,-999.0,
1934,7.803,1.155,26.563,0.34,0.397,0.0,-999.0,21.422,8.744,0.0,9.31,9.37,5.759,25.149,4.543,32.592,0.0,0.0,0.166,0.623,1.202,18.051,22.238,0.196,10.084,0.126,0.0,1.406,0.464,0.524,5.631,0.179,2.123,35.459,0.0,0.199,0.0,15.785,2.808,5.772,35.385,1.469,0.0,0.814,0.009,0.0,1.754,0.0,0.0,-999.0,-999.0,
1935,6.168,0.336,10.319,0.201,0.12,0.0,-999.0,19.582,4.359,0.0,4.294,3.171,3.01,9.334,2.11,27.633,0.0,0.0,0.166,0.417,0.575,15.112,6.509,0.183,4.472,0.126,0.0,0.817,0.892,0.434,2.652,0.116,0.699,13.559,0.09,0.001,0.0,13.28,1.452,3.218,17.246,1.102,0.0,0.418,0.081,0.0,0.415,0.0,0.0,-999.0,-999.0,
1936,6.886,0.787,22.878,0.141,0.784,0.0,-999.0,39.283,8.899,0.0,11.25,14.401,6.224,17.798,6.289,27.937,0.0,0.0,0.166,1.041,3.386,18.197,19.794,0.571,11.255,0.126,0.0,1.737,0.802,1.78,3.983,3.056,2.235,37.241,0.0,0.001,0.0,21.504,6.948,6.822,19.647,1.697,0.0,0.401,0.009,0.619,2.629,0.0,0.0,-999.0,-999.0,
1937,3.303,0.373,7.038,0.291,0.362,0.0,-999.0,21.342,2.805,0.0,1.375,1.799,1.73,9.429,0.837,21.445,0.0,0.0,0.498,0.43,0.953,9.192,2.707,0.096,3.887,0.126,0.0,1.026,0.554,0.848,1.989,0.389,0.202,24.344,0.0,0.001,0.0,11.182,2.268,1.671,22.612,2.204,0.0,0.185,0.056,0.0,0.899,0.0,0.0,-999.0,-999.0,
1938,1.117,0.406,4.581,0.158,0.004,0.0,-999.0,12.28,2.136,0.0,1.803,2.05,1.788,7.732,1.568,17.082,0.0,0.0,0.663,0.807,0.766,8.225,3.885,0.009,3.028,0.126,0.0,1.011,0.284,0.717,1.567,0.0,0.167,11.584,0.0,0.001,1.0,9.698,1.554,1.063,15.012,1.752,0.0,0.447,0.081,0.0,0.594,0.0,0.0,-999.0,-999.0,
1939,1.613,0.89,9.474,0.237,0.004,0.0,-999.0,15.297,2.498,0.0,2.07,1.221,1.548,7.527,1.161,20.668,0.0,0.0,0.501,0.149,0.545,9.548,2.94,0.153,3.811,0.126,0.0,1.505,0.87,0.609,1.77,0.0,0.284,10.3,0.0,0.199,0.0,11.896,1.239,1.514,17.197,2.115,0.0,0.196,0.056,0.2,0.413,0.0,0.0,-999.0,-999.0,
1940,2.051,0.597,5.105,0.085,0.106,0.0,-999.0,24.17,2.779,0.0,3.173,3.051,2.001,5.853,0.708,17.028,0.25,0.0,0.166,0.469,0.71,6.608,1.805,0.055,4.169,0.126,0.0,0.718,0.284,1.02,1.962,0.0,0.814,7.571,0.0,0.207,0.0,14.933,1.338,1.419,12.341,2.287,0.5,0.366,0.009,0.1,0.82,0.0,0.0,-999.0,-999.0,
1941,3.216,0.261,5.649,0.11,0.004,0.0,-999.0,28.977,6.303,0.0,2.547,2.272,1.576,3.372,1.122,28.002,0.25,0.0,0.166,0.345,0.532,9.956,3.361,0.009,1.338,0.213,0.0,0.68,0.284,0.639,4.503,0.0,0.424,4.811,0.0,0.207,0.0,17.185,0.694,2.906,14.412,1.917,0.0,0.831,0.247,0.0,1.454,0.0,0.0,-999.0,-999.0,
1942,1.612,0.671,8.477,0.087,0.039,0.0,-999.0,21.159,2.21,0.0,2.814,1.913,1.597,5.096,1.032,15.512,0.0,0.0,0.001,0.653,0.252,8.955,1.882,0.009,1.913,0.126,0.0,1.467,0.284,0.524,3.129,0.0,1.202,5.284,0.0,0.597,0.0,15.316,0.501,2.277,11.838,0.966,0.5,0.563,0.009,0.244,1.136,0.0,0.0,-999.0,-999.0,
