Year,National
1900,113.996
1901,121.103
1902,110.274
1903,117.384
1904,121.044
1905,116.307
1906,113.942
1907,120.293
1908,116.144
1909,117.962
1910,114.012
1911,116.931
1912,125.122
1913,113.095
1914,114.996
1915,115.779
1916,121.129
1917,127.728
1918,110.983
1919,116.65
1920,118.829
1921,103.318
1922,110.958
1923,115.769
1924,121.869
1925,116.391
1926,119.589
1927,106.996
1928,116.339
1929,118.83
1930,115.835
1931,104.43
1932,114.0
1933,110.418
1934,108.774
1935,114.687
1936,120.296
1937,117.666
1938,106.252
1939,113.543
1940,114.374
1941,109.608
1942,117.504
1943,121.425
1944,117.99
1945,114.106
1946,103.854
1947,120.258
1948,116.457
1949,112.597
1950,118.712
1951,121.212
1952,119.468
1953,108.899
1954,115.86
1955,119.862
1956,119.965
1957,111.668
1958,117.418
1959,120.697
1960,124.76
1961,119.289
1962,117.215
1963,116.611
1964,121.897
1965,116.579
1966,121.987
1967,118.832
1968,119.641
1969,122.826
1970,122.358
1971,117.949
1972,117.853
1973,107.967
1974,113.998
1975,119.233
1976,127.345
1977,112.779
1978,120.946
1979,121.343
1980,118.718
1981,112.665
1982,114.459
1983,111.865
1984,115.555
1985,116.98
1986,106.346
1987,110.439
1988,119.563
1989,119.503
1990,108.756
1991,110.848
1992,108.517
1993,117.328
1994,109.311
1995,112.537
1996,120.16
1997,115.005
1998,95.575
1999,108.21
2000,111.367
2001,107.462
2002,119.287
2003,109.004
2004,104.41
2005,107.261
2006,106.123
2007,111.258
2008,120.594
2009,114.013
2010,113.53
2011,113.577
2012,103.535
2013,127.238
2014,118.205
2015,104.52
2016,102.013
2017,103.92
2018,123.633
2019,119.081
2020,116.64
2021,110.913
