Year,Northeast,Southeast,Midwest,Northern Great Plains,Northwest,Southwest,Southern Great Plains,Alaska,Hawaii,Puerto Rico
1950,0.301,0.932,0.38,0.059,0.237,0.23,0.593,0.619,3.592,
1951,0.183,0.849,0.261,0.068,0.193,0.161,0.579,0.696,3.408,
1952,0.333,0.706,0.209,0.07,0.024,0.166,0.4,1.208,1.651,
1953,0.182,1.059,0.17,0.063,0.26,0.08,0.569,0.6,0.963,
1954,0.632,0.689,0.331,0.049,0.2,0.161,0.299,0.72,3.661,
1955,0.552,0.952,0.231,0.046,0.316,0.254,0.46,1.0,3.389,
1956,0.182,0.858,0.193,0.055,0.163,0.109,0.218,0.98,3.282,
1957,0.037,1.195,0.322,0.107,0.093,0.118,1.093,0.854,2.664,
1958,0.157,0.812,0.35,0.063,0.137,0.14,0.67,1.1,2.21,
1959,0.24,0.97,0.33,0.042,0.351,0.139,0.819,1.34,1.869,
1960,0.407,0.816,0.178,0.035,0.202,0.128,0.721,1.2,1.726,
1961,0.127,1.157,0.397,0.058,0.352,0.038,0.977,0.86,1.798,
1962,0.209,0.759,0.182,0.083,0.172,0.222,0.338,1.083,0.827,
1963,0.168,0.784,0.165,0.062,0.176,0.168,0.302,1.188,2.775,
1964,0.067,1.702,0.329,0.1,0.258,0.146,0.591,0.522,2.339,
1965,0.111,0.853,0.281,0.092,0.157,0.116,0.608,1.48,4.079,
1966,0.283,0.988,0.195,0.082,0.118,0.157,0.583,1.25,1.958,
1967,0.23,0.871,0.183,0.071,0.164,0.136,0.758,0.611,3.343,
1968,0.17,0.69,0.274,0.069,0.237,0.076,0.562,0.9,3.696,
1969,0.513,1.153,0.342,0.052,0.09,0.315,0.656,0.86,4.072,
1970,0.136,0.89,0.315,0.04,0.124,0.199,0.586,0.826,1.879,
1971,0.322,0.799,0.14,0.105,0.245,0.063,0.632,1.109,2.301,
1972,0.535,1.026,0.243,0.062,0.386,0.049,0.501,1.273,1.755,
1973,0.342,1.49,0.369,0.087,0.12,0.153,1.097,0.609,1.775,
1974,0.145,1.033,0.23,0.056,0.272,0.143,0.901,1.174,1.558,
1975,0.323,1.209,0.322,0.074,0.302,0.081,0.536,0.63,2.326,
1976,0.179,0.766,0.163,0.045,0.075,0.048,0.497,1.24,1.758,
1977,0.238,1.008,0.299,0.095,0.194,0.099,0.567,0.72,1.5,
1978,0.136,0.921,0.325,0.069,0.043,0.194,0.448,1.08,2.542,
1979,0.367,1.6,0.332,0.069,0.212,0.101,0.919,0.96,3.947,
1980,0.143,1.15,0.233,0.029,0.226,0.225,0.61,0.84,3.652,
1981,0.175,0.731,0.364,0.048,0.218,0.174,0.775,1.08,1.896,
1982,0.132,1.227,0.465,0.104,0.254,0.267,0.603,0.56,6.15,
1983,0.287,1.374,0.326,0.053,0.226,0.209,0.585,0.56,0.925,
1984,0.289,1.148,0.187,0.047,0.285,0.031,0.431,0.94,1.389,
1985,0.4,0.958,0.348,0.072,0.056,0.054,0.909,1.04,2.593,
1986,0.157,0.707,0.441,0.097,0.264,0.201,0.949,1.16,2.852,
1987,0.23,0.844,0.232,0.084,0.142,0.06,0.576,2.208,3.554,
1988,0.1,0.817,0.157,0.076,0.121,0.073,0.441,1.208,2.985,
1989,0.307,1.135,0.277,0.075,0.111,0.074,0.68,1.02,6.307,
1990,0.291,1.272,0.37,0.077,0.377,0.052,0.721,0.979,4.023,
1991,0.298,1.453,0.285,0.085,0.236,0.135,0.825,1.354,2.287,
1992,0.158,0.909,0.216,0.06,0.08,0.115,0.621,1.688,2.265,
1993,0.147,0.82,0.582,0.11,0.121,0.151,0.799,1.18,1.289,
1994,0.234,1.112,0.314,0.083,0.358,0.044,0.734,1.02,2.078,
1995,0.243,1.447,0.312,0.062,0.275,0.381,0.718,0.72,1.18,
1996,0.727,1.134,0.443,0.069,0.468,0.231,0.573,0.8,3.599,
1997,0.185,1.148,0.233,0.099,0.241,0.147,0.837,1.217,1.594,
1998,0.347,1.498,0.397,0.087,0.375,0.163,1.077,0.909,0.656,
1999,0.667,1.1,0.249,0.112,0.274,0.085,0.423,1.16,1.209,
2000,0.256,0.749,0.343,0.093,0.079,0.103,0.553,0.396,1.609,
2001,0.239,1.223,0.249,0.067,0.175,0.075,0.802,0.375,1.597,
2002,0.132,1.168,0.493,0.056,0.237,0.213,0.816,1.04,2.836,
2003,0.224,1.222,0.331,0.072,0.339,0.077,0.6,1.34,1.474,
2004,0.765,1.429,0.35,0.06,0.127,0.184,0.84,1.38,3.948,
2005,0.739,1.182,0.325,0.089,0.195,0.217,0.424,0.396,2.438,
2006,0.479,1.009,0.321,0.066,0.435,0.115,0.67,1.26,3.536,
2007,0.307,0.678,0.408,0.185,0.364,0.052,1.108,0.98,0.674,
2008,0.419,1.445,0.758,0.092,0.117,0.143,0.803,1.1,2.872,
2009,0.253,1.434,0.353,0.053,0.234,0.092,0.706,1.18,2.527,
2010,0.795,0.949,0.523,0.091,0.169,0.203,0.801,0.208,0.748,
2011,0.693,1.291,0.309,0.085,0.242,0.07,0.33,0.92,1.209,
2012,0.428,1.007,0.217,0.03,0.349,0.135,0.544,0.58,1.5,
2013,0.367,1.278,0.448,0.097,0.092,0.051,0.636,1.0,1.461,
2014,0.285,1.132,0.446,0.178,0.144,0.141,0.456,1.393,2.735,
2015,0.244,1.37,0.504,0.093,0.347,0.067,1.517,0.417,4.045,
2016,0.18,1.333,0.448,0.104,0.263,0.145,0.869,0.98,2.917,
2017,0.33,1.493,0.465,0.086,0.228,0.267,0.939,0.438,2.3,
2018,0.324,1.433,0.504,0.106,0.114,0.122,1.093,0.542,3.9,
2019,0.185,1.081,0.368,0.171,0.218,0.166,0.837,1.04,1.574,
2020,0.212,1.662,0.345,0.036,0.16,0.027,0.569,0.5,3.13,
2021,0.554,1.261,0.322,0.074,0.279,0.182,0.637,0.792,3.317,
