Year,Northeast,Southeast,Midwest,Northern Great Plains,Northwest,Southwest,Southern Great Plains,Alaska,Hawaii,Puerto Rico
1950,10.978,0.209,23.937,42.537,11.231,5.635,1.741,58.583,0.0,
1951,10.654,0.736,24.525,42.848,7.897,6.999,2.792,64.841,0.0,
1952,6.192,0.01,10.509,29.085,9.562,8.918,0.898,59.903,0.0,
1953,4.707,0.112,10.412,12.988,1.739,4.117,0.293,61.28,0.0,
1954,9.326,0.1,9.724,21.888,4.205,3.663,0.679,67.187,0.0,
1955,11.65,0.23,20.665,41.626,10.09,8.575,0.725,70.213,0.0,
1956,8.056,0.022,15.192,30.479,9.052,6.523,0.871,80.8,0.0,
1957,11.107,0.159,16.194,27.541,10.83,5.127,0.865,47.125,0.0,
1958,16.224,0.711,21.032,22.726,2.986,3.766,0.748,57.707,0.0,
1959,12.807,0.389,19.788,29.114,4.112,4.505,1.98,67.133,0.0,
1960,11.865,0.603,18.638,35.082,7.798,7.867,2.406,51.507,0.0,
1961,16.047,0.486,16.604,22.382,3.886,6.025,1.467,71.187,0.0,
1962,17.55,1.621,23.412,33.714,7.215,8.199,3.458,52.361,0.0,
1963,20.701,1.774,34.853,34.974,6.641,7.918,4.803,50.069,0.0,
1964,10.142,0.236,14.091,29.147,9.67,8.072,0.98,71.076,0.0,
1965,12.587,0.579,19.455,33.683,3.573,5.64,0.65,62.947,0.0,
1966,10.596,0.93,20.576,35.528,4.103,8.052,2.682,71.903,0.0,
1967,13.231,0.262,18.851,25.932,4.312,5.826,0.492,56.986,0.0,
1968,19.768,0.422,18.571,28.317,5.338,7.048,1.454,63.587,0.0,
1969,9.783,0.13,16.339,33.153,6.249,4.729,0.543,58.293,0.0,
1970,19.351,1.503,24.699,31.548,3.866,4.721,0.989,57.377,0.0,
1971,14.865,0.422,19.801,30.924,5.818,6.99,1.684,74.275,0.0,
1972,15.142,0.4,26.91,39.037,11.192,7.706,2.753,71.182,0.0,
1973,10.671,0.136,12.817,22.631,4.898,7.694,1.453,65.159,0.0,
1974,10.735,0.029,15.374,22.777,7.866,8.241,2.383,68.913,0.0,
1975,11.722,0.034,16.522,30.998,5.182,6.829,0.66,74.13,0.0,
1976,18.136,0.318,23.105,27.07,4.362,6.48,1.488,59.413,0.0,
1977,17.543,2.296,30.29,31.289,5.363,5.134,2.632,55.127,0.0,
1978,18.079,0.808,33.002,48.334,6.134,6.098,3.086,44.787,0.0,
1979,16.105,0.963,30.22,42.732,11.738,8.898,5.436,58.48,0.0,
1980,15.946,0.33,20.048,28.608,4.709,3.124,1.646,55.04,0.0,
1981,13.627,0.586,16.731,15.571,1.797,2.314,0.989,38.213,0.0,
1982,17.791,1.506,25.896,37.182,7.862,6.221,3.673,63.667,0.0,
1983,11.218,1.18,17.364,24.468,6.232,4.369,4.106,53.213,0.0,
1984,13.709,0.745,17.415,24.964,8.508,7.216,1.763,58.387,0.0,
1985,13.67,1.595,29.08,42.809,16.372,7.436,3.71,57.88,0.0,
1986,9.815,0.27,15.216,18.687,2.915,3.073,0.601,52.8,0.0,
1987,11.908,0.173,5.76,10.063,4.239,5.99,0.4,47.907,0.0,
1988,15.462,0.51,21.929,28.455,5.128,7.715,2.17,55.053,0.0,
1989,19.576,1.581,27.644,36.86,8.268,8.611,4.917,62.293,0.0,
1990,6.382,0.04,10.728,21.237,8.27,7.869,2.066,64.431,0.0,
1991,9.497,0.037,15.412,22.464,4.233,5.759,0.5,54.222,0.0,
1992,11.191,0.086,8.901,14.217,4.593,6.364,0.065,58.194,0.0,
1993,15.989,0.1,17.828,31.762,8.935,5.757,0.995,42.08,0.0,
1994,19.362,1.055,22.329,25.93,3.722,3.83,0.715,58.027,0.0,
1995,10.324,0.221,16.597,23.643,2.288,2.478,0.766,57.507,0.0,
1996,12.865,0.823,25.54,43.291,5.829,4.271,3.575,68.947,0.0,
1997,9.683,0.394,16.231,23.37,4.122,5.266,1.269,53.14,0.0,
1998,5.215,0.04,7.811,19.115,3.661,3.826,0.906,49.5,0.0,
1999,8.646,0.046,12.391,11.004,1.774,2.023,0.28,69.96,0.0,
2000,12.802,0.164,19.764,23.915,2.139,2.724,0.625,43.917,0.0,
2001,7.546,0.075,11.054,19.16,4.74,4.71,0.491,53.778,0.0,
2002,5.329,0.047,6.896,20.634,4.756,5.419,0.662,40.36,0.0,
2003,16.352,0.326,19.011,24.583,1.773,2.688,0.763,47.213,0.0,
2004,14.298,0.214,17.011,21.1,3.319,5.302,1.522,52.613,0.0,
2005,13.376,0.046,14.122,23.1,4.75,3.274,1.29,49.486,0.0,
2006,3.955,0.007,5.221,12.122,3.923,4.204,0.283,61.9,0.0,
2007,12.738,0.091,16.927,24.846,4.74,7.493,1.067,55.78,0.0,
2008,9.202,0.025,23.293,31.626,6.109,6.454,1.175,63.013,0.0,
2009,11.996,0.241,20.134,30.797,5.499,5.807,0.702,58.547,0.0,
