Year,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,AK,HI,PR,VI
1964,21.9,1.942,15.158,4.582,1.117,5.548,8.653,19.74,22.402,1.93,7.487,8.657,7.921,6.342,11.605,18.72,5.28,6.883,7.117,4.251,5.565,20.578,9.414,2.391,4.291,0.551,5.114,9.174,1.075,4.427,15.531,3.748,6.896,10.114,8.383,7.161,8.744,22.872,4.085,16.457,6.913,0.801,4.217,8.676,8.975,6.094,5.116,1.362,10.525,16.259,11.001,
1965,14.524,2.696,12.947,5.785,2.668,4.819,4.675,15.28,13.157,0.998,11.071,9.063,9.721,9.517,10.667,14.554,4.478,5.777,4.48,5.025,6.974,13.852,11.924,1.547,6.837,0.795,4.444,4.008,1.89,3.71,12.452,2.961,6.708,8.691,5.958,5.696,4.337,13.804,3.745,14.224,8.276,0.951,4.219,7.349,8.046,5.116,7.238,1.145,10.808,19.263,20.078,
1966,19.166,1.751,13.396,4.718,1.428,10.067,7.295,18.189,16.714,0.815,9.061,9.703,6.085,4.492,13.084,18.975,7.732,6.677,9.115,4.493,5.268,16.909,8.708,0.973,4.28,0.555,6.842,10.529,1.803,5.955,13.333,2.954,6.874,6.776,6.89,6.247,10.726,14.079,3.712,13.407,8.238,0.762,5.388,9.656,7.775,5.422,5.412,0.737,10.006,12.629,15.68,
1967,16.695,2.599,14.85,5.44,1.711,11.774,12.59,14.402,14.89,1.165,9.529,8.342,6.655,8.905,12.389,16.393,8.413,10.393,11.451,5.558,3.607,15.305,11.473,1.557,5.146,0.604,6.686,9.941,1.949,7.092,12.452,1.535,6.089,9.078,5.505,8.749,12.295,13.346,3.193,15.577,7.335,0.751,5.077,9.161,8.832,7.943,6.271,1.065,10.801,19.525,11.501,
1968,11.789,1.718,19.569,4.361,0.962,13.11,8.684,15.281,11.221,1.243,8.804,10.935,7.241,7.384,10.948,16.487,6.851,8.475,11.997,5.423,7.119,16.925,11.552,1.591,5.473,0.436,9.077,10.483,1.376,6.728,10.46,2.994,6.835,11.155,6.648,7.766,11.967,11.585,4.474,10.756,9.331,0.689,5.054,8.383,9.306,6.938,7.727,1.004,9.634,19.286,15.624,
1969,18.383,1.396,13.453,7.649,2.355,15.668,11.55,20.436,15.354,0.983,10.343,10.583,7.786,8.869,9.984,16.964,11.853,8.896,12.868,4.62,4.406,16.461,11.463,1.774,5.197,0.845,12.025,12.056,2.661,7.476,14.887,2.239,7.04,9.708,6.864,7.67,15.675,15.911,3.539,14.04,9.672,1.278,7.278,10.246,7.382,7.054,4.481,0.949,10.316,17.704,20.108,
1970,16.767,1.521,15.673,6.516,1.371,7.9,10.753,16.379,14.237,1.049,11.087,8.254,8.001,6.693,12.152,16.049,9.728,9.538,9.945,5.506,5.537,16.179,12.664,1.536,4.4,0.524,8.31,8.67,1.301,5.45,11.096,3.024,6.351,7.094,7.403,8.87,12.706,12.261,3.592,13.559,6.951,0.962,4.736,8.066,8.668,8.268,6.989,0.873,10.357,15.164,20.694,
1971,18.834,2.058,11.206,3.616,1.192,12.59,16.649,13.499,17.597,0.964,8.501,9.267,7.425,7.825,10.944,15.74,6.226,15.062,8.841,4.585,6.165,18.746,8.259,1.376,4.883,0.72,6.247,15.582,1.946,6.423,15.521,4.079,6.289,9.39,7.084,7.871,11.038,17.594,4.807,12.652,8.524,0.662,6.036,12.458,9.371,7.195,5.841,1.668,9.987,15.074,12.64,
1972,16.895,3.119,14.331,3.829,1.218,18.212,12.899,15.471,14.124,0.632,10.285,11.352,8.324,7.635,15.626,19.996,9.52,15.685,15.949,6.28,5.379,19.715,9.89,1.252,5.131,0.408,9.866,15.204,3.188,9.618,13.84,2.042,7.546,7.694,7.006,9.832,20.38,14.781,3.977,16.05,7.996,1.106,5.165,14.844,9.698,10.671,7.183,0.556,9.131,14.596,13.146,
1973,22.007,0.869,22.75,6.387,1.391,18.062,14.391,17.249,17.826,0.981,12.333,9.001,11.197,11.712,12.344,23.224,11.807,11.102,13.167,5.086,6.19,24.336,15.946,1.466,7.033,0.483,12.748,12.727,1.448,8.765,14.263,3.024,6.876,13.391,6.909,8.955,14.343,16.695,3.856,18.513,10.029,0.695,10.459,10.618,7.661,7.235,7.629,1.809,8.811,10.293,11.484,
1974,17.285,1.362,17.419,5.512,1.077,11.724,10.713,13.982,14.174,0.832,9.497,8.333,6.657,6.547,11.25,21.784,7.952,9.325,10.111,4.469,3.724,22.038,11.162,1.815,2.603,0.254,8.636,10.561,2.273,6.738,13.212,2.289,6.883,10.913,6.796,7.955,12.273,14.595,1.701,16.397,9.6,0.445,6.235,8.707,9.381,8.188,5.387,0.845,9.788,15.453,17.31,
1975,23.572,0.964,15.215,4.39,1.069,14.273,16.648,14.302,18.227,1.32,9.41,11.681,6.193,7.122,15.484,22.437,7.262,14.075,15.527,6.003,5.493,21.105,10.668,2.401,4.919,0.269,11.448,14.958,1.717,8.872,16.93,3.766,7.204,9.045,6.784,11.185,16.761,17.739,2.628,17.206,7.759,0.685,7.459,13.678,10.633,9.576,6.007,1.161,10.25,13.887,15.172,
1976,15.849,1.534,11.992,4.163,0.876,13.162,10.625,14.997,16.519,0.828,6.906,7.781,5.429,5.932,10.202,15.939,12.383,11.494,9.015,4.175,2.594,15.649,6.911,1.366,3.874,1.05,9.902,8.63,1.422,9.651,12.592,1.427,5.147,7.559,4.51,7.816,11.616,15.701,2.405,11.231,9.145,0.453,10.113,10.47,6.519,7.468,3.669,0.747,11.377,11.741,11.233,
1977,19.18,1.558,14.519,4.623,1.467,16.217,13.939,13.841,14.169,1.047,10.939,10.952,8.887,9.478,12.605,18.758,9.964,9.017,14.988,3.944,7.113,19.145,11.47,0.839,8.02,0.769,11.661,10.299,1.921,11.251,12.454,3.423,7.449,9.106,6.581,10.484,16.596,12.176,5.64,16.037,6.517,0.492,7.509,8.598,8.159,6.572,6.678,0.951,9.643,11.363,16.303,
1978,15.767,3.387,14.578,7.767,1.54,11.668,14.351,16.303,11.046,0.603,7.672,10.121,8.471,6.022,14.771,15.342,6.042,11.131,12.342,5.194,5.498,14.849,10.603,1.952,4.436,0.838,6.736,13.379,2.537,6.934,14.834,3.272,6.471,7.984,5.186,9.227,15.383,12.566,3.763,13.641,8.015,1.14,4.483,11.68,6.248,10.045,7.925,1.435,9.856,15.552,17.211,
1979,22.278,1.625,19.739,5.753,1.442,17.046,17.381,19.448,17.632,0.963,9.781,12.956,8.339,8.637,17.095,23.446,10.132,16.026,17.066,5.282,5.613,24.609,10.842,0.891,5.711,0.439,10.309,16.093,2.14,8.332,16.993,2.011,8.592,10.015,6.217,10.373,18.323,16.809,4.001,20.047,8.745,0.874,6.557,15.318,7.891,9.85,6.048,0.542,10.781,16.337,22.088,
1980,19.497,1.876,12.448,6.286,1.563,10.342,7.903,15.691,13.465,1.584,7.952,7.535,7.387,6.053,7.828,19.072,5.414,8.992,8.408,4.438,4.13,20.828,6.978,1.907,3.736,0.758,6.531,8.891,1.775,6.381,10.398,2.822,7.458,7.721,6.951,7.706,11.308,13.202,2.819,10.896,7.295,1.408,2.986,6.903,8.617,8.224,7.22,0.619,11.235,18.26,11.397,
1981,14.561,1.527,12.646,5.833,1.464,9.392,7.311,13.641,11.123,1.024,10.91,9.928,8.08,8.46,10.722,13.312,8.622,6.772,10.56,6.182,6.078,12.822,12.18,1.457,5.711,0.492,10.607,7.869,2.574,6.297,10.714,2.516,7.676,9.941,7.532,7.566,9.603,11.194,3.071,12.088,9.572,0.883,9.878,7.108,8.3,6.446,6.24,1.08,11.539,10.822,19.152,
