Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1909,-999.0,91.1,91.43,91.13,86.07,79.2,78.67,81.8,89.97,89.87,-999.0,82.97,77.0,84.93,83.23,89.03,85.43,91.83,77.5,82.13,73.83,77.97,78.37,87.7,91.67,75.87,85.0,78.43,85.47,75.33,80.77,85.83,85.23,76.43,81.83,93.5,75.5,79.33,76.87,88.7,82.7,87.17,94.07,82.83,83.1,74.93,73.77,79.47,81.57,77.7
1910,-999.0,88.97,87.5,93.27,87.63,80.37,78.3,81.2,88.73,88.17,-999.0,84.53,78.33,84.53,83.2,88.67,83.87,90.17,77.03,81.3,72.47,78.73,80.47,85.07,89.6,77.87,84.07,80.7,84.9,74.77,80.4,87.73,86.3,76.57,82.2,92.37,76.6,79.13,76.63,87.57,83.63,84.73,95.2,83.9,81.6,74.03,73.93,81.87,80.8,78.77
1911,-999.0,90.93,89.63,90.67,86.47,78.1,79.63,84.1,90.23,91.07,-999.0,86.97,75.83,87.07,85.57,91.73,87.43,91.13,78.33,84.67,75.0,78.67,78.8,89.53,90.57,74.43,88.3,77.73,86.83,76.4,81.93,84.37,84.03,78.17,84.1,93.73,76.73,81.1,77.83,91.4,83.93,87.43,94.8,81.47,85.77,76.43,75.2,79.93,83.9,76.37
1912,-999.0,88.73,88.27,89.57,84.43,75.97,78.47,81.87,89.23,88.57,-999.0,82.03,73.7,82.8,81.6,87.67,84.0,89.83,77.47,81.5,71.1,74.53,75.3,85.73,88.8,73.1,85.03,75.6,82.73,74.07,80.73,84.27,82.03,74.87,80.33,91.0,73.27,77.43,76.8,88.53,80.47,84.97,93.43,80.17,83.0,73.6,73.3,75.77,80.0,73.2
1913,-999.0,92.4,92.33,90.13,85.0,79.27,80.5,83.63,89.9,91.13,-999.0,86.93,74.77,89.27,87.7,94.0,89.9,90.57,79.07,83.67,73.8,79.17,78.93,92.53,92.4,76.13,86.13,79.97,88.5,76.87,82.6,84.6,80.9,78.0,85.03,94.63,74.5,80.97,77.67,90.27,84.9,90.47,92.67,80.9,83.63,76.23,74.77,79.43,83.0,76.2
1914,-999.0,93.3,91.9,90.1,86.23,77.97,77.0,84.37,91.4,92.03,-999.0,85.93,76.43,89.1,87.73,91.13,89.8,92.43,75.83,84.07,71.97,77.77,78.3,91.0,93.43,77.07,88.0,79.03,86.93,73.7,80.77,83.37,83.3,76.03,84.87,93.83,76.5,80.27,75.2,90.83,84.07,90.7,92.3,80.37,85.5,73.67,75.97,78.33,83.67,75.97
1915,-999.0,91.03,86.53,91.07,87.4,75.1,76.7,81.53,91.1,90.9,-999.0,77.07,76.23,79.4,79.13,81.27,82.97,91.27,75.07,81.37,72.37,72.57,73.33,81.53,91.03,72.2,85.2,73.47,77.47,73.27,79.27,84.0,84.77,74.83,78.27,86.1,76.67,76.9,74.6,88.9,74.93,85.43,92.17,81.83,81.93,73.8,76.2,73.27,79.13,71.83
1916,-999.0,89.2,90.83,90.83,85.4,78.37,77.47,81.53,89.3,88.67,-999.0,84.5,75.23,86.4,85.13,89.9,85.57,90.93,75.97,81.83,73.7,78.8,77.83,88.73,89.97,74.83,84.43,77.3,85.03,74.67,79.7,85.2,83.33,77.2,83.27,93.03,73.53,79.5,75.47,87.57,81.3,86.1,93.97,80.93,82.2,75.3,72.63,79.67,80.8,75.67
1917,-999.0,90.43,88.53,92.6,89.2,78.43,79.0,82.37,89.9,90.17,-999.0,81.47,77.57,82.87,82.07,89.2,84.0,92.13,78.03,82.63,73.2,74.33,76.5,85.53,91.43,77.7,85.53,80.07,84.73,75.5,81.4,86.73,86.27,76.07,80.83,91.87,78.2,78.97,77.3,88.97,82.43,85.4,95.83,83.2,83.2,75.43,76.0,75.97,80.8,75.87
1918,-999.0,91.73,93.23,91.03,88.47,79.93,78.33,82.93,90.3,90.77,-999.0,84.7,77.83,86.37,85.4,92.83,87.27,93.33,76.83,83.0,72.23,77.83,77.6,90.93,93.17,77.47,85.77,78.0,87.63,74.57,81.27,86.03,86.17,76.57,84.17,96.1,78.23,80.1,76.47,89.6,82.5,88.53,96.4,82.93,82.8,74.9,75.87,78.37,81.7,77.13
1919,-999.0,89.53,90.27,91.1,88.23,80.5,78.33,81.83,89.4,88.77,-999.0,84.7,80.4,87.03,87.0,89.17,87.87,90.27,77.83,82.7,74.83,80.1,78.8,88.0,90.67,81.97,85.83,82.53,86.27,77.2,80.5,84.13,87.87,78.2,84.87,90.9,78.63,80.6,76.43,87.83,84.57,88.03,90.53,85.37,83.13,76.6,75.63,79.9,82.57,81.1
1920,-999.0,88.73,87.47,90.6,86.77,77.17,77.27,81.7,89.3,89.17,-999.0,82.0,77.2,84.5,82.9,86.6,83.77,89.53,76.87,81.8,74.77,76.37,77.77,85.4,89.33,77.37,84.7,79.8,83.27,75.5,80.17,84.03,84.37,76.0,80.23,88.63,76.77,77.87,76.33,88.57,80.77,85.13,91.1,81.57,81.53,75.33,75.6,77.9,79.53,75.5
1921,-999.0,92.63,91.13,89.73,87.6,77.7,79.23,84.23,90.33,90.63,-999.0,86.03,78.03,87.8,87.67,89.0,88.9,91.93,78.4,84.4,75.7,81.7,81.7,88.6,92.97,79.27,86.77,82.33,86.4,77.13,82.33,82.93,85.6,79.2,85.1,90.9,77.2,81.2,77.33,89.6,86.13,89.23,92.77,81.9,84.53,77.43,74.8,82.73,82.93,77.87
1922,-999.0,90.47,90.5,92.4,88.03,81.03,77.9,81.6,89.43,89.67,-999.0,83.73,79.27,86.17,85.4,90.1,86.5,90.63,76.9,82.63,73.53,77.77,79.27,88.27,91.07,78.4,85.17,79.73,86.73,75.13,80.57,87.97,85.73,76.43,82.6,93.0,78.97,79.3,76.2,88.57,83.23,87.4,94.53,83.63,82.33,75.07,77.97,78.4,81.1,78.37
1923,-999.0,88.43,89.57,88.83,84.5,77.27,79.0,82.87,88.7,88.8,-999.0,83.4,75.3,85.5,84.6,88.07,85.9,89.63,77.8,83.97,71.83,78.37,79.83,87.0,89.1,75.83,86.9,79.17,82.9,74.87,82.23,85.23,82.17,77.4,82.97,93.3,75.23,80.6,76.7,88.93,80.97,86.5,94.03,80.3,84.13,74.7,75.47,80.0,81.43,75.67
1924,-999.0,92.27,91.23,93.3,88.27,80.23,78.63,81.3,91.57,91.87,-999.0,79.97,77.7,82.33,82.47,88.8,85.43,94.27,77.87,81.97,73.47,74.77,75.53,84.87,93.77,74.57,86.2,75.6,83.17,75.77,80.4,88.07,86.43,75.97,81.17,92.97,77.4,78.13,77.03,90.13,79.73,88.23,95.77,84.1,82.8,74.73,75.6,75.07,80.27,76.77
1925,60.3,93.4,93.13,90.1,87.1,77.83,80.0,85.37,90.0,93.07,-999.0,83.9,77.23,86.5,85.93,91.07,88.7,92.8,78.87,85.37,73.4,78.63,78.07,88.87,93.4,76.9,88.77,78.9,85.7,75.5,83.33,85.03,83.43,77.57,83.53,94.43,77.3,80.73,78.33,92.33,83.13,91.47,95.57,80.5,86.2,75.0,76.63,78.57,83.37,75.37
1926,62.37,90.23,90.33,92.63,89.73,79.1,77.6,82.5,89.8,90.13,-999.0,82.8,79.3,84.53,83.8,90.27,85.83,91.23,76.2,82.53,71.83,75.73,76.83,87.03,91.57,77.6,87.47,78.87,85.83,73.7,79.67,85.73,86.9,75.1,81.67,90.8,79.8,78.3,75.37,90.4,83.07,87.57,92.5,83.7,84.33,73.07,77.63,76.1,80.97,76.53
1927,60.53,90.17,87.47,90.63,87.23,75.77,75.53,79.73,91.53,89.3,-999.0,80.83,76.83,81.13,80.43,84.4,82.87,90.9,75.13,79.83,71.77,74.8,75.33,82.8,90.73,74.17,83.53,75.83,81.17,73.03,78.07,84.9,84.9,73.73,78.67,88.57,76.97,76.23,74.33,87.0,78.87,85.33,93.7,81.43,80.67,72.33,75.6,75.63,78.17,73.6
