Year,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,AK,HI,PR,VI
1950,31.967,28.263,26.904,23.767,0.465,2.174,9.539,116.262,36.422,0.288,6.151,7.113,2.679,9.824,7.889,80.036,0.098,15.993,2.184,0.963,0.788,44.338,8.214,0.092,3.105,7.049,0.152,14.767,4.334,2.603,24.055,0.137,2.478,23.949,0.163,3.421,3.284,40.517,0.888,14.769,63.645,3.139,1.162,12.578,0.336,3.722,0.75,0.023,0.0,111.38,122.479,
1951,54.811,30.78,48.945,23.159,0.545,4.042,16.698,119.612,49.494,0.532,9.197,9.242,4.7,16.849,16.657,91.505,0.098,18.275,1.884,0.885,0.951,62.72,14.727,0.349,5.217,7.552,0.152,16.203,8.133,2.642,28.641,0.521,3.352,47.438,0.156,3.739,7.539,47.278,1.42,21.719,81.037,4.845,0.164,14.315,0.306,3.227,1.217,0.146,0.0,114.85,-999.0,
1952,62.665,31.345,46.638,23.964,0.581,8.738,30.802,129.609,59.938,0.317,24.547,24.134,12.236,32.788,32.304,75.611,0.362,31.016,6.204,3.031,2.147,62.157,29.73,0.135,9.596,7.336,0.514,24.78,6.916,6.78,36.402,0.294,12.993,57.762,0.272,11.312,10.502,54.183,3.094,32.709,70.679,4.421,2.307,22.675,0.541,8.096,3.128,0.09,0.0,93.255,157.051,
1953,57.916,30.323,52.089,22.765,0.747,5.333,22.636,141.087,57.865,0.317,23.251,20.291,16.176,28.49,24.924,86.715,0.129,21.063,5.755,3.42,4.625,69.328,31.526,0.174,14.247,7.741,0.841,14.855,7.592,6.416,30.697,0.444,8.589,48.422,0.184,6.043,4.056,54.503,5.718,30.409,78.496,4.88,4.698,19.008,0.369,5.656,4.183,0.107,0.0,105.62,130.76,
1954,64.659,33.527,63.625,23.754,1.372,2.491,12.289,134.079,52.218,0.422,25.214,18.139,13.757,44.712,24.879,90.84,0.046,15.748,1.36,1.012,2.041,78.659,42.205,0.27,13.744,7.907,0.152,10.492,6.802,2.568,26.706,0.612,5.762,68.8,0.171,3.55,1.803,50.125,5.426,31.856,82.444,6.933,0.164,14.953,0.329,2.82,2.328,0.859,0.0,101.743,149.082,
1955,45.791,27.225,43.351,22.75,0.688,11.457,39.693,116.982,46.417,0.335,26.338,24.667,23.962,33.361,27.925,72.711,1.017,31.634,11.411,5.279,7.077,58.524,25.227,0.396,19.716,7.2,2.604,30.363,4.239,10.754,34.804,1.28,13.622,44.71,0.345,11.474,15.135,54.858,7.926,25.304,72.152,5.403,4.953,20.545,0.533,6.134,9.052,0.21,0.0,72.933,158.725,
1956,37.006,29.953,41.071,22.969,0.383,2.241,13.597,108.101,37.13,0.299,13.815,13.843,8.642,27.845,17.605,59.07,0.393,17.308,1.729,1.269,1.874,50.57,23.16,0.153,6.7,7.543,0.762,11.02,5.053,2.5,24.444,0.285,4.735,53.553,0.316,3.721,2.512,39.116,2.264,19.807,71.282,4.877,0.794,13.019,0.69,2.148,1.379,0.088,0.0,97.737,98.9,
1957,49.03,33.182,42.795,22.751,0.404,5.034,19.047,134.894,42.399,0.258,19.535,13.01,15.235,26.629,18.205,81.925,0.061,22.043,3.632,2.004,2.792,61.31,25.571,0.213,9.515,7.153,0.413,14.882,6.748,4.227,23.698,0.758,4.879,45.089,0.162,5.539,4.506,43.161,4.563,20.505,71.445,4.985,1.102,15.825,0.334,3.18,2.092,0.094,0.0,108.617,139.423,
1958,54.66,35.19,48.982,25.621,0.499,3.435,19.492,132.942,47.246,0.308,10.57,9.312,5.004,17.146,19.149,99.011,0.101,18.208,1.858,1.257,1.595,65.744,17.728,0.169,4.852,7.624,0.548,12.117,6.273,3.194,31.191,0.774,2.845,44.092,0.338,3.482,4.703,51.364,2.775,23.226,77.785,5.771,1.164,15.78,1.124,2.605,1.125,0.058,0.0,106.665,161.304,
1959,53.759,33.529,41.39,25.443,0.494,10.451,38.042,148.53,48.341,0.404,26.565,22.99,15.632,22.857,26.218,87.093,0.02,36.486,7.622,6.05,4.413,56.923,24.091,0.336,9.037,8.071,1.476,27.03,5.502,10.882,34.929,0.95,12.714,42.078,0.378,10.699,11.786,50.773,5.22,19.885,70.201,6.209,5.866,22.805,0.462,5.414,5.973,0.053,0.0,116.577,124.597,
1960,46.958,32.466,41.773,26.675,0.574,3.248,6.698,123.564,42.428,0.491,10.45,6.709,6.809,17.444,12.62,78.172,0.062,16.879,1.359,1.256,3.543,54.099,15.157,0.457,7.186,8.231,0.152,12.179,5.274,2.339,25.623,1.575,2.74,36.132,0.423,3.094,1.48,46.356,6.214,16.295,68.043,5.993,0.704,13.686,0.759,2.587,2.359,0.102,0.0,127.693,150.92,
1961,32.954,31.212,29.373,27.438,0.39,5.94,26.816,111.495,32.033,0.484,12.74,11.541,5.018,16.279,14.548,62.156,0.316,24.695,5.133,2.352,2.341,32.147,14.581,0.463,5.856,8.814,0.644,22.869,3.815,5.156,26.064,0.757,4.854,28.56,0.717,5.072,8.114,36.024,2.909,11.678,60.222,6.477,2.307,16.673,1.148,3.352,2.753,0.065,0.0,139.223,111.967,
1962,51.675,31.496,45.048,22.046,0.337,1.832,4.342,122.87,41.343,0.291,9.097,6.374,4.035,16.155,13.472,93.85,0.061,12.843,0.962,0.769,1.082,57.83,16.721,0.075,3.826,6.639,0.152,10.041,4.254,2.294,18.156,0.449,2.442,36.048,0.296,3.17,1.417,38.808,1.239,16.677,72.996,5.001,0.164,10.027,0.462,2.276,0.65,0.028,0.0,113.285,113.433,
