Year,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,AK,HI,PR,VI
1900,5.944,0.079,3.394,1.631,0.57,3.0,-999.0,4.061,3.839,0.367,1.072,1.125,1.864,1.346,2.113,6.1,4.741,-999.0,4.288,0.848,1.662,6.747,2.22,0.511,2.049,0.0,0.0,1.785,0.462,1.775,2.557,1.181,0.469,2.695,0.21,0.789,2.0,2.324,1.232,2.79,4.939,0.022,0.695,2.659,0.52,0.068,2.03,0.08,-999.0,-999.0,-999.0,
1901,4.886,0.367,2.358,2.023,0.42,5.0,-999.0,5.566,5.079,0.117,0.804,1.245,0.922,0.357,1.347,3.411,1.866,-999.0,4.281,0.619,1.185,5.347,1.304,0.125,0.988,0.0,0.0,2.986,0.101,0.881,7.216,0.713,0.655,1.561,0.957,1.746,5.0,3.659,0.889,3.234,1.552,0.39,0.695,4.193,1.014,1.736,0.437,0.08,-999.0,-999.0,-999.0,
1902,4.084,0.0,5.476,1.788,0.685,2.0,-999.0,4.955,3.576,0.29,2.13,1.277,2.725,2.332,2.559,3.359,2.345,-999.0,1.7,0.894,1.355,4.7,2.458,0.036,2.077,0.002,0.0,2.054,1.306,1.918,1.898,0.147,0.789,4.738,0.775,0.372,1.0,3.083,0.639,3.233,3.27,0.015,0.164,0.938,1.414,0.472,1.27,0.004,-999.0,-999.0,-999.0,
1903,3.31,0.127,3.003,1.121,0.149,2.0,-999.0,4.5,4.51,0.0,1.473,1.31,1.893,1.59,1.397,3.353,0.95,-999.0,3.078,0.655,1.686,3.283,2.656,0.114,1.848,0.0,1.0,3.024,0.306,1.648,3.254,0.499,0.889,1.821,1.459,0.372,3.0,2.851,0.858,2.587,2.969,0.0,0.67,2.031,1.11,0.82,1.346,0.08,-999.0,-999.0,-999.0,
1904,1.604,0.261,3.586,2.291,0.421,1.0,-999.0,3.589,1.212,0.162,1.851,1.645,0.904,1.702,1.017,2.725,2.157,0.0,2.051,0.586,0.891,2.193,3.245,0.014,0.992,0.002,1.0,2.384,2.306,0.962,2.325,0.203,0.776,2.319,1.0,0.727,5.0,1.755,0.819,1.041,2.126,0.015,0.968,0.42,0.952,0.512,0.838,0.08,-999.0,-999.0,-999.0,
1905,4.949,0.817,4.641,1.207,0.323,1.0,-999.0,4.22,2.89,0.0,2.047,2.187,1.655,1.783,2.281,8.08,1.853,1.0,1.24,1.339,0.911,4.653,3.194,0.081,1.777,0.011,2.0,1.978,0.674,0.749,3.658,0.465,0.995,1.829,0.1,0.321,3.0,2.233,0.667,3.062,3.794,0.111,0.912,1.371,0.565,1.626,0.95,0.004,-999.0,3.955,5.0,
1906,4.872,0.758,6.659,2.348,0.358,0.0,-999.0,5.519,3.88,0.161,1.481,1.862,1.309,1.114,2.055,5.22,1.319,0.0,1.77,0.374,0.876,5.058,2.18,0.534,1.357,0.011,1.0,1.771,0.26,0.923,3.353,0.23,0.941,2.129,0.493,0.546,6.0,3.066,1.182,3.199,2.477,0.61,0.506,1.303,0.732,0.752,1.101,0.002,-999.0,6.057,-999.0,
1907,3.376,0.005,4.449,1.579,0.265,1.0,-999.0,3.09,2.724,0.001,1.586,1.81,1.429,1.103,1.103,6.762,0.915,1.0,2.174,0.04,1.084,4.591,1.995,0.299,0.673,0.011,0.0,1.861,0.411,0.612,2.903,0.128,0.704,2.471,1.256,0.26,5.0,3.26,0.61,2.545,2.746,0.005,1.4,1.869,0.896,0.252,1.682,0.0,-999.0,8.947,8.0,
1908,3.823,0.615,3.092,0.654,0.274,3.0,-999.0,3.269,4.799,0.001,1.041,0.739,1.054,1.777,1.658,4.82,0.611,0.0,0.783,0.487,0.96,3.955,2.523,0.354,1.171,0.005,0.0,2.556,0.159,0.593,3.686,0.184,0.408,5.548,0.426,0.26,4.0,4.226,1.361,1.365,3.044,0.171,0.0,2.638,0.704,0.336,0.901,0.002,-999.0,4.939,3.0,
1909,4.411,0.025,3.372,2.858,0.364,3.0,-999.0,3.711,3.174,0.001,1.64,1.76,2.172,1.816,3.38,4.828,2.526,0.0,1.08,0.912,1.309,5.825,3.879,0.236,0.883,0.002,0.0,3.026,0.088,0.689,2.732,0.377,0.956,2.249,0.962,1.188,2.0,2.212,1.012,2.916,1.674,0.327,0.017,1.706,1.108,0.41,0.883,0.004,-999.0,5.214,-999.0,
1910,2.687,0.544,3.279,0.552,0.357,3.0,-999.0,4.54,2.855,0.0,1.138,2.004,0.428,1.048,1.381,3.859,0.84,0.0,0.415,0.362,0.344,3.487,3.006,0.073,0.746,0.0,1.0,1.494,0.015,0.611,1.92,0.125,1.259,0.761,0.623,0.938,1.0,2.519,0.194,2.248,1.637,0.493,0.726,0.548,1.321,0.843,0.684,0.004,-999.0,4.87,8.0,
1911,2.866,0.262,3.072,2.479,0.128,1.0,-999.0,2.809,2.924,0.142,1.342,0.914,0.99,1.177,1.563,6.498,0.611,2.0,1.594,0.539,1.128,5.395,2.272,0.267,1.288,0.005,1.0,2.559,0.47,0.823,1.862,0.059,1.291,1.829,0.738,1.133,2.0,1.586,0.651,2.29,2.102,0.004,0.67,1.06,0.533,1.241,1.182,0.004,-999.0,4.14,1.0,
1912,5.103,0.352,3.359,0.992,0.05,1.0,-999.0,5.139,5.39,0.0,1.293,1.198,1.163,1.069,2.105,6.204,1.548,1.0,0.444,0.895,0.363,5.624,2.28,0.1,0.497,0.0,0.0,1.318,0.114,0.786,2.882,0.438,1.385,1.829,0.696,0.662,1.0,3.362,0.491,3.303,2.24,0.045,0.422,1.904,0.922,1.091,1.345,0.25,-999.0,1.677,9.0,
1913,4.102,0.0,4.787,1.497,0.205,2.0,-999.0,2.072,2.77,0.139,1.078,2.351,0.925,0.758,4.3,6.106,1.09,0.0,1.344,0.122,1.042,4.35,2.056,0.167,0.425,0.003,0.0,1.371,0.177,1.878,3.319,0.0,2.194,2.559,0.531,0.245,3.0,2.973,0.609,2.977,3.553,0.004,1.287,2.117,0.502,1.684,0.866,0.25,-999.0,4.066,6.0,
1914,2.232,0.276,2.581,2.187,0.4,1.0,-999.0,2.955,3.085,0.0,0.812,0.857,1.888,1.268,2.043,4.88,1.699,0.0,1.624,0.764,1.211,3.299,1.944,0.112,1.048,0.003,0.0,0.901,0.673,1.121,1.822,0.94,0.559,1.008,0.353,0.149,3.0,1.7,0.881,2.025,3.861,0.02,0.372,0.816,0.696,0.478,1.394,0.026,-999.0,7.516,6.0,
1915,4.746,0.286,4.679,2.343,0.323,2.0,-999.0,4.422,4.756,0.0,1.616,1.428,1.82,2.126,3.144,6.73,1.319,1.0,2.882,0.476,1.138,5.23,3.347,0.29,1.972,0.003,1.0,0.887,0.427,1.208,2.696,0.562,0.893,2.778,0.603,0.792,4.0,2.647,0.854,3.249,3.102,0.0,0.614,2.294,0.855,1.244,1.031,0.5,-999.0,9.232,5.0,
1916,4.919,0.359,2.202,2.003,0.195,2.0,-999.0,3.577,3.122,0.0,1.389,1.185,1.021,1.314,0.847,5.297,2.103,1.0,1.167,0.735,0.69,4.575,2.445,0.326,0.488,0.003,0.0,0.487,0.864,1.027,2.701,0.565,0.459,2.544,0.524,0.812,-999.0,3.063,0.405,2.735,2.48,0.011,0.726,0.818,0.837,0.328,0.85,0.024,-999.0,9.947,2.0,
1917,4.077,0.143,2.036,1.12,0.314,0.0,-999.0,2.087,3.154,0.0,1.312,1.304,0.956,0.793,1.992,2.228,1.494,0.0,1.73,0.382,0.355,2.793,1.693,0.006,1.041,0.0,0.0,1.067,0.052,0.768,2.172,0.188,0.677,0.828,0.84,1.017,-999.0,2.042,0.261,2.223,1.092,0.0,0.67,0.821,0.767,1.282,0.576,0.004,-999.0,4.371,4.0,
