Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1909,-999.0,61.93,55.3,55.13,51.2,37.0,38.0,47.2,72.63,62.1,-999.0,32.67,32.53,39.83,40.9,45.2,48.77,64.9,36.2,45.93,25.1,29.77,20.3,45.7,61.6,27.5,56.3,18.0,36.97,30.2,42.37,51.07,43.1,32.6,40.77,54.1,37.63,38.1,38.53,61.17,26.9,52.73,64.2,37.97,50.4,28.27,33.47,26.53,46.47,30.53
1910,-999.0,55.53,48.33,52.27,49.47,32.8,34.23,40.87,67.57,55.47,-999.0,24.37,26.13,31.73,33.07,36.6,41.1,59.43,33.7,39.67,26.43,26.0,16.5,37.37,55.17,23.5,49.97,14.07,29.13,29.13,37.0,46.13,36.17,28.5,33.3,46.73,34.13,32.1,35.77,54.47,20.33,45.63,57.23,32.43,43.7,26.8,32.1,22.17,39.27,23.47
1911,-999.0,59.97,55.27,55.67,52.2,40.03,33.5,41.63,70.23,59.43,-999.0,31.53,31.73,37.87,38.17,45.07,46.23,65.47,32.7,41.13,22.87,28.23,19.6,44.6,61.17,26.37,52.53,16.53,37.47,27.13,37.27,50.4,41.47,28.77,37.87,53.6,36.73,34.23,34.67,58.23,29.63,50.8,62.83,38.5,46.23,25.1,35.7,25.7,42.97,31.1
1912,-999.0,55.53,47.63,55.53,54.57,34.37,33.07,40.37,67.83,55.0,-999.0,23.87,32.0,30.63,31.9,35.27,41.0,58.53,32.37,39.03,24.17,22.43,14.77,36.2,54.8,28.03,48.87,15.0,30.2,27.2,36.8,46.9,43.8,27.57,32.7,45.17,39.17,32.03,34.73,53.47,23.77,46.53,55.77,38.2,42.37,25.33,37.07,18.83,38.7,27.93
1913,-999.0,59.2,51.27,50.17,51.9,33.6,39.63,48.07,72.13,60.17,-999.0,32.87,29.3,38.37,39.2,41.03,47.1,60.93,38.7,47.1,28.03,28.87,20.67,42.4,58.07,27.4,55.5,20.03,35.8,32.87,43.67,44.33,40.9,34.37,40.1,47.77,36.8,39.13,41.0,59.63,30.43,50.93,55.97,35.13,50.43,31.47,34.37,25.5,46.07,27.13
1914,-999.0,57.8,51.87,53.83,53.1,34.57,34.87,43.43,68.2,57.23,-999.0,33.47,32.7,37.4,37.63,42.77,45.0,61.07,33.8,42.5,23.1,29.13,23.23,42.5,58.07,31.27,51.97,22.73,36.7,27.9,39.27,47.5,42.2,29.3,36.83,50.47,39.1,34.27,36.37,55.97,30.93,49.8,59.0,36.13,46.5,25.8,37.73,27.87,41.37,30.1
1915,-999.0,54.57,47.37,50.37,49.97,34.7,36.27,42.87,66.37,55.0,-999.0,27.5,31.5,34.2,35.87,38.5,43.13,57.6,35.4,41.17,27.27,27.3,19.77,38.37,54.17,27.5,50.1,18.3,29.87,31.03,39.43,44.1,40.27,31.37,35.93,46.63,36.8,34.63,37.43,54.07,25.17,46.6,55.5,35.1,44.3,29.43,35.73,24.1,40.8,29.27
1916,-999.0,60.17,53.4,54.7,51.7,37.8,34.87,43.47,70.37,60.0,-999.0,28.3,30.07,36.0,38.27,41.13,46.77,64.13,33.97,42.77,26.07,27.4,17.07,41.3,60.07,22.47,53.33,14.07,33.33,29.13,38.73,51.17,40.67,30.07,37.7,50.7,36.47,35.2,36.8,58.47,24.53,51.1,63.43,37.37,47.53,27.57,32.4,23.83,43.67,28.47
1917,-999.0,59.7,53.53,50.97,49.8,34.7,33.9,41.97,71.3,59.5,-999.0,27.0,27.17,35.53,36.93,42.9,45.97,63.97,32.7,41.53,23.13,23.0,12.73,42.33,59.77,21.6,52.9,10.77,33.7,26.77,37.9,47.67,36.4,28.43,35.87,51.3,35.23,34.27,35.1,58.0,22.13,50.17,62.47,32.5,46.53,25.03,33.43,19.2,42.83,24.57
1918,-999.0,54.9,46.4,57.57,55.4,38.47,28.83,36.47,67.9,54.57,-999.0,24.47,36.0,29.83,31.03,39.03,39.0,59.33,28.0,35.47,19.03,20.97,14.0,35.63,54.53,25.07,46.7,12.87,32.17,21.8,32.47,51.4,46.63,24.1,30.7,46.13,42.2,28.67,31.03,52.43,22.73,44.1,58.27,42.2,39.67,20.2,39.0,18.27,36.0,30.03
