Year,Northeast,Southeast,Midwest,Northern Great Plains,Northwest,Southwest,Southern Great Plains,Alaska,Hawaii,Puerto Rico
1950,8.712,14.721,8.434,2.245,7.278,2.592,7.989,9.167,16.735,
1951,9.289,13.859,8.566,2.983,6.316,2.767,7.921,8.841,18.245,
1952,9.129,12.764,6.2,1.715,3.138,2.987,5.852,11.042,12.778,
1953,9.027,14.903,5.21,2.738,6.833,1.64,6.824,9.887,6.843,
1954,9.199,10.625,7.445,2.201,5.477,2.67,5.589,9.387,17.291,
1955,8.045,12.475,6.112,2.029,6.192,2.564,6.747,10.273,14.811,
1956,6.917,12.884,5.93,1.879,5.838,1.56,4.145,11.32,18.607,
1957,5.9,17.16,8.148,2.913,4.883,2.789,11.053,8.458,13.789,
1958,9.158,14.089,6.744,1.973,5.908,3.085,8.631,10.3,13.198,
1959,8.29,15.274,8.244,2.181,5.409,2.063,9.514,10.66,12.27,
1960,8.262,13.552,6.96,2.229,5.286,2.447,8.633,10.987,14.212,
1961,7.862,16.374,7.935,2.101,6.174,1.802,9.601,11.753,11.917,
1962,8.144,13.859,6.201,3.559,4.783,2.477,7.269,11.59,10.671,
1963,6.631,11.716,5.422,2.3,4.979,2.593,5.568,12.743,16.196,
1964,5.834,17.08,6.639,3.079,6.381,2.16,7.384,8.457,17.671,
1965,4.588,12.959,8.371,2.936,4.736,3.054,8.465,11.16,18.468,
1966,6.698,14.948,6.635,2.246,5.096,2.282,7.016,10.979,12.951,
1967,8.281,13.991,7.033,2.365,5.345,2.909,8.065,11.062,19.618,
1968,7.775,13.274,7.985,2.87,6.284,2.087,9.413,9.907,17.397,
1969,9.115,14.975,7.268,2.547,4.843,3.638,9.405,9.88,20.936,
1970,8.021,13.877,7.874,2.513,6.151,3.005,7.105,11.051,17.438,
1971,7.879,14.697,6.822,3.034,6.287,2.015,8.351,10.862,13.726,
1972,10.787,15.79,7.939,2.399,6.117,2.435,7.78,9.636,13.34,
1973,9.945,18.047,9.109,3.155,5.344,2.89,11.589,8.928,12.205,
1974,8.09,15.37,6.873,1.822,6.56,2.531,9.406,11.435,15.008,
1975,10.26,17.259,7.692,2.831,6.985,2.168,7.875,10.261,12.593,
1976,9.555,13.567,5.066,1.813,3.505,1.537,8.303,13.18,12.683,
1977,10.423,14.466,8.185,3.413,5.254,2.107,7.617,9.64,11.213,
1978,8.545,14.214,7.659,2.858,3.217,3.607,7.297,10.36,15.583,
1979,10.72,19.258,8.176,2.38,5.13,2.75,9.265,10.64,16.574,
1980,6.98,13.476,6.241,2.261,5.793,2.872,6.881,11.72,18.972,
1981,7.616,11.856,8.082,2.543,6.087,2.973,9.385,12.547,10.283,
1982,7.913,16.206,8.677,3.662,6.828,3.628,8.089,8.133,26.589,
1983,12.253,18.176,8.083,2.471,6.856,4.524,7.555,8.653,7.289,
1984,9.164,15.873,8.154,2.598,5.859,2.359,7.679,10.3,10.611,
1985,7.122,14.341,9.596,2.344,3.073,2.277,10.143,10.68,12.429,
