Year,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,AK,HI,PR,VI
1900,47.952,105.971,67.079,36.635,166.743,142.0,-999.0,7.968,41.906,133.369,127.214,108.584,152.025,120.543,97.029,26.772,166.773,-999.0,141.037,151.042,160.067,39.346,103.882,139.298,148.815,173.195,169.659,125.107,124.676,144.916,80.767,175.798,130.379,-999.0,82.477,131.748,144.0,41.354,157.594,76.534,41.066,146.694,168.368,109.617,83.311,125.744,155.592,210.839,-999.0,-999.0,-999.0,
1901,64.578,111.41,64.282,52.062,167.647,148.0,-999.0,10.686,61.325,141.235,137.466,124.103,155.383,130.896,106.731,30.109,167.272,-999.0,123.377,164.106,170.785,46.358,109.105,166.689,152.585,169.486,155.866,123.945,124.676,150.655,92.227,187.963,134.767,-999.0,101.551,140.183,137.0,56.597,165.41,80.934,40.201,151.111,149.179,127.502,112.834,145.228,159.662,185.41,-999.0,-999.0,-999.0,
1902,55.252,107.165,75.453,56.96,162.548,127.0,-999.0,7.411,53.977,153.681,113.686,106.636,137.169,117.26,94.701,29.909,154.891,-999.0,124.527,144.829,169.422,45.304,102.206,175.643,143.499,167.87,152.986,103.058,126.065,138.679,78.166,187.059,120.577,-999.0,102.909,122.497,128.0,47.967,167.705,71.599,37.815,153.21,143.191,108.206,99.711,115.931,137.824,204.754,-999.0,-999.0,-999.0,
1903,60.713,116.668,79.396,63.404,175.513,124.0,-999.0,8.085,55.455,165.523,126.162,121.673,145.691,133.318,105.332,30.762,172.261,-999.0,130.694,153.002,173.917,48.653,112.997,177.936,156.271,168.508,161.805,108.422,138.875,140.282,82.43,192.687,121.676,93.933,110.56,124.613,126.0,51.351,172.164,86.1,42.159,154.855,154.043,110.586,107.58,124.012,150.046,230.059,-999.0,-999.0,-999.0,
1904,58.02,109.565,70.668,50.623,170.228,166.0,-999.0,5.085,60.659,156.626,130.926,131.975,158.236,134.742,118.79,30.894,177.013,182.0,161.362,164.96,171.693,46.009,117.492,179.906,162.881,148.908,184.108,137.911,126.205,166.861,103.288,189.584,144.148,93.933,86.766,155.479,169.0,51.456,170.103,86.325,42.988,158.666,172.985,135.898,93.658,151.555,163.689,214.475,-999.0,-999.0,-999.0,
1905,52.133,91.805,76.798,51.57,166.414,145.0,-999.0,8.973,53.202,154.739,131.551,120.218,150.439,123.63,105.88,36.182,174.094,162.0,151.663,161.343,172.117,45.633,113.325,176.41,158.286,181.858,177.733,137.703,105.654,148.099,83.183,193.503,137.106,89.391,100.442,137.743,149.0,45.27,168.709,76.861,49.47,138.691,154.089,125.475,114.917,122.107,161.944,216.826,209.0,-999.0,-999.0,
1906,48.965,96.897,67.95,48.081,161.423,140.0,-999.0,6.646,47.15,150.401,125.93,119.786,151.094,122.761,105.287,22.14,174.783,149.0,144.874,156.568,169.936,41.904,116.002,170.146,156.3,142.886,175.228,112.312,112.377,148.883,85.21,186.694,129.936,70.315,86.663,142.867,137.0,36.175,165.413,79.139,41.948,140.166,175.011,121.945,97.83,132.813,157.897,205.715,240.0,-999.0,-999.0,
1907,50.096,81.013,50.539,40.049,158.457,145.0,-999.0,1.799,42.053,143.998,135.602,129.22,168.726,125.591,96.339,13.181,189.396,161.0,159.342,182.295,198.408,32.393,108.965,181.814,171.305,128.328,169.941,129.748,104.638,156.809,77.456,225.519,140.459,-999.0,88.084,145.896,154.0,33.741,188.497,65.405,26.851,131.353,173.801,123.413,108.942,132.687,179.58,213.594,203.0,-999.0,-999.0,
1908,50.844,104.243,56.123,51.137,175.867,127.0,-999.0,5.245,40.663,162.654,120.897,115.499,156.088,122.034,93.721,22.716,176.02,158.0,146.737,157.513,174.547,35.458,99.393,173.449,161.583,193.038,170.653,128.002,114.695,153.654,73.799,197.869,131.207,86.665,99.97,140.446,141.0,33.983,173.933,68.682,35.24,169.246,147.162,119.116,107.648,127.946,159.662,217.735,229.0,-999.0,-999.0,
1909,53.821,118.272,60.208,43.924,173.33,140.0,-999.0,8.408,45.17,160.796,120.548,113.223,156.499,127.616,97.372,31.555,170.726,155.0,144.544,162.839,183.798,40.529,99.568,190.661,169.485,167.417,161.304,121.39,113.347,150.66,75.968,201.276,128.854,98.475,102.359,137.066,137.0,36.364,178.083,68.168,44.55,151.125,146.459,119.791,114.131,131.228,166.382,218.291,231.0,-999.0,-999.0,
1910,66.089,90.471,73.316,48.316,154.61,130.0,-999.0,9.03,63.202,149.889,130.734,123.586,145.621,125.026,109.954,31.757,171.859,161.0,135.399,151.106,168.042,49.421,113.24,164.296,148.052,161.233,165.761,123.284,96.28,143.127,94.597,184.968,139.343,86.668,86.774,141.894,128.0,52.349,142.487,89.739,42.283,131.608,153.525,126.27,95.914,144.338,154.539,190.916,228.0,-999.0,-999.0,
1911,36.953,106.787,50.496,64.109,162.825,140.0,-999.0,4.165,35.633,182.037,124.821,110.373,156.694,126.555,90.613,22.912,187.398,152.0,153.364,155.997,178.185,30.773,102.309,185.47,161.846,179.539,184.478,128.483,97.883,156.33,67.708,185.75,128.674,77.278,121.975,139.243,155.0,31.675,173.159,59.677,35.497,155.044,170.097,120.921,129.415,118.349,161.463,212.684,216.0,-999.0,-999.0,
1912,68.518,134.893,88.765,54.376,177.99,133.0,-999.0,4.492,59.083,175.349,134.899,127.805,155.766,139.452,116.407,41.102,179.762,157.0,142.044,157.305,179.364,58.116,122.416,182.957,163.862,182.005,167.283,121.029,137.993,140.398,90.021,194.099,134.143,98.04,96.903,134.848,139.0,50.978,178.132,94.643,56.782,163.965,170.168,125.409,109.228,137.826,161.102,229.452,226.0,-999.0,-999.0,
1913,46.596,127.73,65.983,58.88,167.372,103.0,-999.0,2.246,36.647,170.91,114.243,104.392,140.103,121.752,86.891,18.632,154.578,145.0,119.135,142.213,169.141,40.424,101.335,186.847,152.458,181.669,154.346,96.03,120.385,126.383,59.882,199.136,116.106,88.298,112.756,120.104,122.0,25.146,166.813,68.951,47.295,164.326,147.162,99.914,120.313,123.195,151.506,204.452,249.0,-999.0,-999.0,
1914,65.457,99.391,72.974,44.188,159.415,138.0,-999.0,4.229,55.405,150.483,120.182,117.589,142.016,122.881,109.114,32.428,181.142,164.0,152.439,146.489,165.835,52.834,106.771,172.578,151.658,173.397,172.374,124.347,111.915,153.484,90.672,186.241,130.055,95.973,91.669,136.096,159.0,55.355,161.099,89.338,48.656,139.341,167.67,118.859,93.688,136.913,151.227,194.25,245.0,-999.0,-999.0,
1915,59.336,123.563,72.517,47.916,163.193,132.0,-999.0,4.301,52.438,144.639,126.913,121.965,142.273,125.159,107.26,32.156,170.746,162.0,135.461,148.241,161.738,43.49,111.437,164.006,152.057,162.779,159.319,130.826,121.067,151.595,95.445,182.248,136.952,96.576,90.918,142.386,149.0,47.215,158.853,88.723,48.18,142.379,142.673,136.386,93.932,140.512,150.068,194.401,234.0,-999.0,-999.0,
1916,57.803,115.385,65.781,63.9,170.523,134.0,-999.0,5.034,46.918,181.212,126.453,118.574,155.822,129.368,99.902,34.717,176.641,163.0,141.754,147.521,181.795,48.968,107.714,186.501,161.666,190.163,172.23,125.691,110.668,142.683,80.683,205.958,132.22,92.692,122.518,140.919,-999.0,40.671,181.535,82.059,47.666,152.428,152.56,120.941,131.11,139.541,163.001,228.11,237.0,-999.0,-999.0,
1917,63.224,147.949,72.381,68.777,178.775,159.0,-999.0,10.152,54.339,162.024,134.893,128.963,164.012,135.782,108.231,35.006,184.804,170.0,157.982,169.663,193.318,52.099,118.996,187.78,169.071,178.782,179.222,143.914,131.99,163.331,84.328,212.524,151.865,100.672,100.502,159.347,-999.0,48.347,186.437,84.881,49.97,153.778,173.052,131.639,104.701,137.674,179.045,221.877,236.0,-999.0,-999.0,
