Year,national
1895,70.2
1896,71.92
1897,70.93
1898,71.76
1899,71.13
1900,72.08
1901,72.61
1902,70.46
1903,69.58
1904,69.76
1905,70.77
1906,70.5
1907,69.65
1908,70.25
1909,71.48
1910,71.15
1911,71.43
1912,69.68
1913,71.51
1914,71.7
1915,69.07
1916,70.78
1917,70.85
1918,72.0
1919,71.96
1920,70.22
1921,72.34
1922,71.97
1923,70.96
1924,70.83
1925,71.78
1926,71.28
1927,69.73
1928,70.36
1929,71.21
1930,72.1
1931,72.8
1932,71.96
1933,72.85
1934,73.5
1935,71.9
1936,73.97
1937,72.66
1938,72.08
1939,72.11
1940,71.94
1941,71.27
1942,71.2
1943,72.15
1944,71.07
1945,70.31
1946,71.09
1947,71.18
1948,71.34
1949,71.84
1950,69.71
1951,70.73
1952,72.54
1953,72.14
1954,72.14
1955,71.6
1956,71.68
1957,71.53
1958,71.26
1959,72.23
1960,71.7
1961,71.78
1962,70.68
1963,71.4
1964,71.11
1965,70.15
1966,71.27
1967,70.41
1968,70.64
1969,71.36
1970,72.01
1971,71.26
1972,70.67
1973,71.59
1974,70.94
1975,70.85
1976,70.45
1977,72.16
1978,71.49
1979,70.63
1980,72.4
1981,71.94
1982,70.52
1983,72.03
1984,71.63
1985,71.05
1986,71.86
1987,71.79
1988,73.08
1989,71.2
1990,71.91
1991,71.96
1992,69.49
1993,70.41
1994,72.24
1995,71.79
1996,71.96
1997,71.06
1998,72.53
1999,71.82
2000,72.3
2001,72.66
2002,73.17
2003,72.71
2004,70.36
2005,72.55
2006,73.5
2007,73.06
2008,71.96
2009,71.01
2010,73.08
2011,73.64
2012,73.68
2013,72.51
2014,71.69
2015,72.73
2016,73.49
2017,72.68
2018,73.49
2019,72.35
2020,73.53
2021,73.98
