Year,Northeast,Southeast,Midwest,Northern Great Plains,Northwest,Southwest,Southern Great Plains,Alaska,Hawaii,Puerto Rico
1900,1.626,3.891,1.384,1.368,0.222,0.714,2.769,-999.0,-999.0,
1901,2.006,4.285,0.9,0.717,0.868,0.929,1.022,-999.0,-999.0,
1902,1.19,3.709,1.636,1.015,1.087,1.0,3.252,-999.0,-999.0,
1903,1.54,3.222,1.435,0.948,0.837,0.48,2.376,-999.0,-999.0,
1904,1.352,2.125,1.311,0.582,0.828,1.171,2.142,-999.0,-999.0,
1905,1.146,3.873,1.632,0.852,0.396,0.675,2.759,-999.0,4.0,
1906,1.156,4.31,1.216,0.898,0.494,1.081,1.975,-999.0,5.0,
1907,0.898,3.415,1.265,0.441,0.809,0.744,2.257,-999.0,5.0,
1908,0.828,3.43,1.016,0.855,0.517,0.367,3.129,-999.0,2.0,
1909,1.061,3.466,1.68,0.659,0.884,1.225,1.742,-999.0,3.667,
1910,0.863,2.774,1.149,0.337,0.855,0.326,1.253,-999.0,6.5,
1911,1.115,3.03,1.222,0.631,0.419,0.954,1.716,-999.0,4.333,
1912,0.812,4.116,1.204,0.34,0.599,0.408,1.703,-999.0,2.0,
1913,1.359,3.718,1.246,0.29,0.421,0.607,2.23,-999.0,3.333,
1914,0.828,2.59,1.173,0.669,0.45,1.014,2.426,-999.0,4.0,
1915,1.314,4.209,1.428,0.985,0.461,0.909,2.675,-999.0,5.0,
1916,0.873,3.155,1.07,0.401,0.632,0.767,2.074,-999.0,5.5,
1917,1.0,2.398,0.869,0.417,0.594,0.326,0.882,-999.0,3.0,
1918,0.808,3.217,1.201,0.451,0.285,0.393,1.897,-999.0,14.0,
1919,1.172,4.318,1.286,0.617,0.732,0.754,2.554,-999.0,2.0,
1920,1.556,4.192,1.031,0.495,0.539,0.353,2.183,-999.0,4.0,
1921,0.904,2.983,1.377,0.617,1.225,0.57,1.635,-999.0,6.333,
1922,1.121,3.517,1.181,0.621,0.324,0.42,1.989,-999.0,5.667,
1923,0.895,3.148,1.004,0.7,0.569,0.245,2.617,-999.0,8.0,
1924,1.711,2.917,1.139,0.392,0.558,0.227,1.276,-999.0,4.0,
1925,0.801,2.654,1.241,0.418,0.186,0.327,1.615,-999.0,3.333,
1926,1.281,3.567,1.489,0.494,0.599,0.654,2.493,-999.0,1.0,
1927,1.177,3.503,1.54,0.324,0.824,0.577,2.301,-999.0,9.667,
1928,0.719,4.202,1.286,0.386,0.411,0.359,1.921,-999.0,3.333,
1929,0.809,4.319,1.151,0.548,0.457,0.381,2.315,-999.0,12.0,
1930,0.553,2.659,0.702,0.353,0.118,0.346,2.124,-999.0,11.0,
