Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1909,-999.0,385.0,343.0,523.0,94.0,8.0,15.0,68.0,790.0,273.0,-999.0,42.0,31.0,42.0,50.0,200.0,130.0,632.0,8.0,65.0,0.0,13.0,12.0,154.0,460.0,12.0,129.0,28.0,80.0,0.0,33.0,58.0,250.0,18.0,43.0,372.0,16.0,29.0,11.0,252.0,44.0,179.0,617.0,17.0,80.0,0.0,12.0,13.0,57.0,11.0
1910,-999.0,468.0,382.0,664.0,119.0,21.0,24.0,148.0,725.0,378.0,-999.0,65.0,25.0,72.0,100.0,216.0,221.0,620.0,9.0,154.0,0.0,25.0,15.0,176.0,509.0,5.0,265.0,11.0,99.0,0.0,75.0,122.0,348.0,32.0,96.0,460.0,5.0,73.0,13.0,400.0,46.0,293.0,636.0,39.0,188.0,0.0,4.0,18.0,143.0,10.0
1911,-999.0,585.0,439.0,536.0,58.0,27.0,18.0,126.0,988.0,515.0,-999.0,84.0,12.0,102.0,137.0,305.0,290.0,726.0,6.0,136.0,0.0,30.0,8.0,257.0,619.0,5.0,344.0,9.0,139.0,0.0,60.0,129.0,280.0,25.0,110.0,492.0,0.0,57.0,10.0,507.0,50.0,393.0,672.0,29.0,190.0,0.0,2.0,23.0,152.0,14.0
1912,-999.0,440.0,326.0,400.0,72.0,0.0,17.0,137.0,891.0,396.0,-999.0,49.0,4.0,92.0,113.0,143.0,210.0,651.0,8.0,143.0,0.0,48.0,11.0,158.0,494.0,0.0,303.0,2.0,47.0,0.0,60.0,35.0,167.0,25.0,104.0,305.0,7.0,68.0,12.0,424.0,15.0,276.0,600.0,4.0,193.0,0.0,2.0,24.0,137.0,0.0
1913,-999.0,291.0,230.0,518.0,167.0,1.0,9.0,96.0,678.0,215.0,-999.0,67.0,27.0,63.0,82.0,159.0,166.0,488.0,2.0,91.0,0.0,23.0,14.0,158.0,350.0,9.0,147.0,20.0,89.0,0.0,45.0,27.0,265.0,15.0,58.0,238.0,9.0,31.0,6.0,229.0,56.0,194.0,443.0,19.0,102.0,0.0,4.0,17.0,67.0,6.0
1914,-999.0,314.0,305.0,635.0,103.0,20.0,20.0,71.0,739.0,249.0,-999.0,80.0,12.0,79.0,91.0,246.0,143.0,542.0,10.0,70.0,0.0,24.0,20.0,174.0,386.0,9.0,154.0,29.0,114.0,0.0,37.0,94.0,315.0,25.0,56.0,366.0,5.0,26.0,14.0,243.0,62.0,203.0,527.0,26.0,94.0,0.0,2.0,26.0,64.0,13.0
1915,-999.0,441.0,324.0,521.0,92.0,9.0,54.0,148.0,912.0,391.0,-999.0,70.0,16.0,92.0,120.0,193.0,211.0,658.0,40.0,140.0,7.0,39.0,12.0,195.0,499.0,1.0,281.0,10.0,84.0,15.0,96.0,57.0,310.0,61.0,97.0,351.0,9.0,81.0,44.0,417.0,30.0,274.0,587.0,18.0,165.0,16.0,4.0,23.0,119.0,2.0
1916,-999.0,326.0,259.0,440.0,76.0,3.0,24.0,81.0,774.0,264.0,-999.0,48.0,22.0,48.0,71.0,162.0,118.0,492.0,13.0,63.0,0.0,22.0,6.0,138.0,363.0,5.0,164.0,10.0,72.0,0.0,46.0,66.0,211.0,28.0,44.0,309.0,10.0,32.0,22.0,271.0,33.0,162.0,522.0,14.0,86.0,3.0,5.0,8.0,50.0,7.0
1917,-999.0,260.0,211.0,636.0,168.0,13.0,2.0,27.0,655.0,200.0,-999.0,44.0,46.0,41.0,57.0,154.0,112.0,387.0,0.0,28.0,0.0,8.0,6.0,123.0,288.0,12.0,106.0,14.0,86.0,0.0,12.0,78.0,363.0,7.0,28.0,259.0,13.0,9.0,0.0,199.0,38.0,144.0,461.0,31.0,45.0,0.0,8.0,8.0,36.0,12.0
1918,-999.0,316.0,193.0,591.0,156.0,2.0,3.0,57.0,825.0,252.0,-999.0,27.0,47.0,24.0,28.0,111.0,87.0,505.0,0.0,57.0,0.0,4.0,1.0,78.0,361.0,7.0,144.0,3.0,45.0,0.0,21.0,68.0,361.0,5.0,17.0,234.0,37.0,17.0,5.0,250.0,14.0,136.0,456.0,36.0,72.0,0.0,24.0,4.0,37.0,2.0
