Year,National
1900,9.529
1901,8.068
1902,9.516
1903,8.958
1904,7.787
1905,10.061
1906,9.107
1907,8.593
1908,8.635
1909,9.101
1910,6.739
1911,8.032
1912,8.366
1913,8.399
1914,7.788
1915,9.669
1916,7.872
1917,6.653
1918,8.028
1919,9.243
1920,8.918
1921,7.788
1922,8.522
1923,8.953
1924,7.516
1925,6.859
1926,8.621
1927,8.878
1928,8.368
1929,8.51
1930,6.539
1931,7.192
1932,8.215
1933,7.402
1934,6.959
1935,7.975
1936,7.127
1937,8.403
1938,7.984
1939,6.95
1940,7.677
1941,8.298
1942,8.694
1943,7.02
1944,8.286
1945,9.261
1946,8.712
1947,7.945
1948,8.367
1949,7.936
1950,8.54
1951,8.44
1952,6.854
1953,7.612
1954,6.855
1955,7.195
1956,6.409
1957,9.207
1958,8.018
1959,8.384
1960,7.573
1961,8.571
1962,7.491
1963,6.308
1964,8.261
1965,7.793
1966,7.422
1967,7.848
1968,7.941
1969,8.505
1970,7.839
1971,7.898
1972,8.425
1973,10.132
1974,8.286
1975,8.949
1976,6.902
1977,8.357
1978,7.781
1979,9.714
1980,7.245
1981,7.802
1982,9.36
1983,9.772
1984,8.58
1985,8.516
1986,8.449
1987,7.895
1988,6.717
1989,8.373
1990,9.495
1991,9.335
1992,8.617
1993,8.81
1994,8.809
1995,9.162
1996,9.48
1997,8.63
1998,9.747
1999,8.082
2000,7.772
2001,8.472
2002,8.744
2003,8.714
2004,9.377
2005,8.032
2006,8.65
2007,8.19
2008,8.991
2009,9.621
2010,8.793
2011,8.773
2012,7.251
2013,9.363
2014,8.689
2015,10.421
2016,8.717
2017,9.35
2018,10.596
2019,10.287
2020,9.087
