Year,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,AK,HI,PR,VI
1950,0.466,0.0,0.33,0.303,0.0,0.333,0.0,0.647,0.325,0.0,0.067,0.153,0.18,0.155,0.023,0.813,0.178,0.133,0.051,0.023,0.072,0.576,0.061,0.0,0.065,0.0,0.035,0.15,0.018,0.025,0.352,0.0,0.023,0.393,0.151,0.09,0.0,0.186,0.022,0.1,0.187,0.0,0.008,0.089,0.055,0.019,0.13,0.0,0.311,1.263,0.37,
1951,0.754,0.055,0.17,0.111,0.039,0.0,0.0,0.628,0.077,0.0,0.263,0.064,0.137,0.268,0.185,0.353,0.0,0.067,0.052,0.013,0.072,0.607,0.066,0.001,0.044,0.0,0.0,0.05,0.0,0.027,0.177,0.0,0.001,0.222,0.025,0.0,0.0,0.09,0.0,0.184,0.168,0.0,0.008,0.062,0.152,0.02,0.064,0.0,0.523,1.523,-999.0,
1952,0.143,0.0,0.286,0.197,0.0,0.167,0.667,0.242,0.085,0.0,0.076,0.048,0.093,0.004,0.092,0.556,0.0,0.206,0.001,0.013,0.035,0.082,0.03,0.001,0.029,0.0,0.035,0.37,0.007,0.088,0.171,0.057,0.014,0.166,0.016,0.147,0.486,0.13,0.014,0.087,0.28,0.0,0.004,0.032,0.001,0.0,0.031,0.0,0.518,1.146,0.708,
1953,0.612,0.0,0.123,0.102,0.0,0.0,0.0,0.95,0.511,0.0,0.051,0.038,0.069,0.056,0.0,1.514,0.0,0.2,0.167,0.0,0.081,0.492,0.018,0.0,0.009,0.0,0.0,0.3,0.0,0.06,0.275,0.0,0.0,0.361,0.167,0.0,0.486,0.193,0.01,0.046,0.264,0.0,0.004,0.069,0.12,0.0,0.041,0.0,0.313,0.679,0.352,
1954,0.187,0.009,0.162,0.144,0.0,0.167,0.0,0.493,0.062,0.0,0.119,0.06,0.222,0.021,0.014,0.351,0.5,0.2,0.783,0.03,0.053,0.485,0.05,0.0,0.029,0.0,0.571,0.096,0.055,0.175,0.292,0.0,0.08,0.083,0.042,0.252,0.986,0.217,0.01,0.042,0.126,0.0,0.004,0.272,0.158,0.183,0.025,0.0,0.464,2.035,0.928,
1955,0.585,0.001,0.245,0.338,0.0,1.583,0.0,0.24,0.09,0.0,0.065,0.074,0.022,0.146,0.016,1.083,0.0,0.7,0.617,0.047,0.09,0.665,0.143,0.0,0.015,0.0,0.107,0.53,0.045,0.247,0.7,0.0,0.023,0.342,0.118,0.208,0.486,0.055,0.0,0.098,0.181,0.0,0.0,0.324,0.181,0.092,0.042,0.0,0.403,1.706,0.006,
1956,0.698,0.001,0.111,0.188,0.0,0.0,0.0,0.527,0.457,0.0,0.05,0.069,0.011,0.026,0.07,0.619,0.0,0.3,0.0,0.002,0.024,0.411,0.11,0.0,0.043,0.0,0.0,0.1,0.0,0.0,0.136,0.018,0.0,0.011,0.054,0.014,0.0,0.057,0.02,0.326,0.087,0.0,0.0,0.169,0.067,0.019,0.038,0.0,0.414,1.624,0.45,
1957,0.758,0.001,0.811,0.12,0.04,0.0,0.0,0.625,0.295,0.0,0.18,0.155,0.015,0.144,0.204,0.566,0.0,0.0,0.0,0.059,0.104,0.517,0.265,0.0,0.049,0.0,0.0,0.0,0.0,0.008,0.161,0.023,0.022,0.366,0.059,0.011,0.0,0.162,0.057,0.305,0.58,0.0,0.0,0.2,0.011,0.0,0.023,0.0,0.488,1.363,0.266,
1958,0.111,0.0,0.339,0.084,0.008,0.0,0.333,0.49,0.122,0.0,0.062,0.161,0.08,0.248,0.0,0.551,0.045,0.133,0.0,0.019,0.025,0.333,0.298,0.0,0.095,0.0,0.0,0.485,0.018,0.0,0.291,0.001,0.009,0.214,0.0,0.033,0.0,0.092,0.01,0.024,0.324,0.0,0.0,0.171,0.113,0.015,0.125,0.0,0.506,1.101,0.872,
1959,0.179,0.046,0.198,0.135,0.008,0.167,0.0,0.776,0.299,0.0,0.093,0.095,0.129,0.086,0.0,0.634,0.044,0.167,0.083,0.093,0.085,0.343,0.1,0.0,0.023,0.0,0.154,0.285,0.0,0.035,0.24,0.001,0.064,0.417,0.071,0.019,0.0,0.759,0.0,0.015,0.294,0.0,0.0,0.185,0.258,0.049,0.084,0.0,0.409,1.062,0.199,
