Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1909,-999.0,0.0,2.0,2.0,118.0,213.0,77.0,2.0,0.0,0.0,-999.0,63.0,280.0,59.0,37.0,16.0,3.0,0.0,115.0,9.0,321.0,118.0,163.0,15.0,0.0,561.0,2.0,214.0,62.0,260.0,42.0,32.0,41.0,89.0,48.0,0.0,482.0,66.0,113.0,0.0,137.0,0.0,0.0,239.0,7.0,327.0,522.0,137.0,33.0,333.0
1910,-999.0,1.0,6.0,2.0,126.0,200.0,107.0,22.0,0.0,3.0,-999.0,62.0,303.0,56.0,67.0,30.0,27.0,0.0,151.0,27.0,334.0,132.0,168.0,33.0,0.0,545.0,13.0,227.0,77.0,278.0,66.0,24.0,40.0,116.0,84.0,0.0,502.0,92.0,136.0,1.0,163.0,12.0,0.0,224.0,27.0,334.0,537.0,110.0,67.0,346.0
1911,-999.0,0.0,2.0,4.0,140.0,242.0,79.0,6.0,0.0,0.0,-999.0,36.0,312.0,31.0,27.0,7.0,1.0,0.0,125.0,4.0,261.0,85.0,192.0,7.0,0.0,644.0,1.0,294.0,42.0,239.0,32.0,47.0,48.0,79.0,28.0,0.0,430.0,43.0,112.0,0.0,147.0,0.0,0.0,293.0,4.0,264.0,459.0,111.0,22.0,405.0
1912,-999.0,1.0,8.0,3.0,138.0,364.0,106.0,12.0,0.0,3.0,-999.0,110.0,357.0,97.0,75.0,41.0,21.0,0.0,137.0,22.0,428.0,204.0,309.0,39.0,0.0,664.0,9.0,346.0,112.0,319.0,57.0,61.0,61.0,138.0,94.0,4.0,425.0,106.0,133.0,0.0,228.0,9.0,0.0,339.0,18.0,414.0,411.0,235.0,69.0,527.0
1913,-999.0,0.0,1.0,5.0,119.0,231.0,64.0,7.0,0.0,0.0,-999.0,31.0,295.0,27.0,17.0,9.0,3.0,0.0,108.0,6.0,325.0,88.0,162.0,3.0,0.0,550.0,2.0,210.0,32.0,236.0,29.0,55.0,65.0,85.0,36.0,0.0,377.0,52.0,114.0,0.0,104.0,0.0,0.0,304.0,8.0,299.0,382.0,119.0,29.0,378.0
1914,-999.0,0.0,2.0,3.0,113.0,230.0,102.0,0.0,0.0,0.0,-999.0,38.0,310.0,35.0,16.0,3.0,0.0,0.0,143.0,0.0,392.0,117.0,207.0,1.0,0.0,557.0,0.0,258.0,36.0,296.0,42.0,46.0,52.0,102.0,31.0,0.0,402.0,50.0,141.0,0.0,129.0,0.0,0.0,315.0,0.0,343.0,420.0,154.0,22.0,408.0
1915,-999.0,0.0,16.0,4.0,81.0,450.0,116.0,18.0,0.0,0.0,-999.0,217.0,338.0,183.0,121.0,89.0,23.0,0.0,173.0,25.0,349.0,291.0,426.0,76.0,0.0,740.0,9.0,490.0,213.0,308.0,66.0,65.0,52.0,135.0,124.0,15.0,362.0,103.0,165.0,0.0,402.0,4.0,0.0,347.0,24.0,335.0,348.0,379.0,74.0,656.0
1916,-999.0,0.0,3.0,3.0,131.0,280.0,133.0,34.0,0.0,0.0,-999.0,115.0,364.0,106.0,70.0,29.0,22.0,0.0,183.0,35.0,292.0,171.0,247.0,31.0,0.0,656.0,7.0,322.0,105.0,282.0,86.0,47.0,66.0,134.0,99.0,2.0,496.0,103.0,155.0,0.0,230.0,7.0,0.0,332.0,26.0,285.0,492.0,202.0,73.0,480.0
1917,-999.0,0.0,7.0,3.0,59.0,320.0,56.0,6.0,0.0,0.0,-999.0,129.0,318.0,115.0,74.0,35.0,16.0,0.0,83.0,8.0,284.0,217.0,322.0,36.0,0.0,555.0,6.0,313.0,107.0,184.0,27.0,44.0,41.0,82.0,80.0,2.0,360.0,58.0,77.0,0.0,232.0,8.0,0.0,316.0,12.0,221.0,472.0,266.0,56.0,507.0
1918,-999.0,0.0,0.0,0.0,42.0,188.0,110.0,17.0,0.0,0.0,-999.0,52.0,219.0,48.0,33.0,2.0,9.0,0.0,152.0,16.0,371.0,125.0,206.0,0.0,0.0,471.0,5.0,289.0,27.0,303.0,58.0,27.0,23.0,125.0,49.0,0.0,310.0,66.0,138.0,0.0,143.0,0.0,0.0,201.0,20.0,334.0,363.0,161.0,56.0,337.0
1919,-999.0,0.0,3.0,2.0,76.0,199.0,72.0,4.0,0.0,0.0,-999.0,45.0,207.0,27.0,19.0,20.0,1.0,0.0,107.0,8.0,246.0,66.0,153.0,14.0,0.0,337.0,2.0,144.0,53.0,178.0,37.0,60.0,35.0,65.0,25.0,1.0,429.0,44.0,104.0,0.0,114.0,0.0,1.0,171.0,8.0,219.0,506.0,92.0,26.0,256.0
1920,-999.0,0.0,9.0,4.0,92.0,326.0,96.0,9.0,0.0,0.0,-999.0,89.0,289.0,59.0,53.0,39.0,18.0,0.0,124.0,13.0,224.0,151.0,224.0,30.0,0.0,539.0,5.0,229.0,88.0,208.0,41.0,66.0,49.0,97.0,73.0,8.0,390.0,70.0,126.0,0.0,200.0,6.0,0.0,283.0,16.0,250.0,422.0,181.0,59.0,465.0
1921,-999.0,0.0,1.0,2.0,75.0,236.0,73.0,4.0,0.0,0.0,-999.0,31.0,216.0,21.0,15.0,12.0,0.0,0.0,105.0,6.0,245.0,60.0,98.0,5.0,0.0,420.0,1.0,141.0,34.0,206.0,34.0,61.0,34.0,73.0,31.0,1.0,369.0,56.0,107.0,0.0,85.0,0.0,0.0,235.0,7.0,238.0,464.0,65.0,27.0,321.0
1922,-999.0,0.0,2.0,2.0,64.0,167.0,58.0,0.0,0.0,0.0,-999.0,55.0,168.0,40.0,26.0,14.0,2.0,0.0,87.0,4.0,218.0,109.0,167.0,6.0,0.0,401.0,3.0,215.0,43.0,187.0,23.0,23.0,28.0,73.0,49.0,0.0,301.0,51.0,86.0,0.0,137.0,0.0,0.0,193.0,9.0,224.0,368.0,132.0,40.0,315.0
1923,-999.0,0.0,1.0,8.0,174.0,297.0,72.0,0.0,0.0,0.0,-999.0,60.0,313.0,36.0,31.0,16.0,5.0,0.0,124.0,1.0,361.0,107.0,167.0,15.0,0.0,515.0,2.0,234.0,73.0,275.0,27.0,48.0,78.0,84.0,48.0,0.0,362.0,49.0,126.0,0.0,164.0,0.0,0.0,354.0,6.0,334.0,347.0,121.0,32.0,408.0
