Year,Northeast,Southeast,Midwest,Northern Great Plains,Northwest,Southwest,Southern Great Plains,Alaska,Hawaii,Puerto Rico
1950,0.0,0.388,0.004,0.0,0.0,2.224,0.569,0.0,0.0,
1951,0.0,0.631,0.0,0.0,0.0,2.599,1.457,0.0,0.0,
1952,0.076,0.783,0.046,0.004,0.006,2.581,1.688,0.0,0.0,
1953,0.0,0.285,0.071,0.012,0.0,2.717,2.079,0.0,0.0,
1954,0.0,0.567,0.263,0.003,0.0,2.559,2.724,0.0,0.0,
1955,0.028,0.169,0.064,0.078,0.0,2.57,0.566,0.0,0.0,
1956,0.0,0.158,0.02,0.0,0.006,2.719,1.354,0.0,0.0,
1957,0.025,0.223,0.006,0.0,0.0,2.501,1.014,0.0,0.0,
1958,0.0,0.73,0.0,0.0,0.0,3.875,1.403,0.0,0.0,
1959,0.01,0.591,0.0,0.0,0.0,3.799,0.761,0.0,0.0,
1960,0.0,0.698,0.004,0.0,0.006,3.647,0.719,0.0,0.0,
1961,0.0,0.732,0.005,0.0,0.02,2.807,0.315,0.0,0.0,
1962,0.0,0.732,0.002,0.0,0.0,2.222,0.774,0.0,0.0,
1963,0.005,0.789,0.0,0.014,0.0,2.324,0.643,0.0,0.0,
1964,0.0,0.789,0.046,0.065,0.0,2.173,1.358,0.0,0.0,
1965,0.022,0.748,0.004,0.0,0.0,1.56,0.499,0.0,0.0,
1966,0.03,0.489,0.041,0.036,0.0,2.523,0.889,0.0,0.0,
1967,0.0,0.697,0.0,0.0,0.006,2.609,0.698,0.0,0.0,
1968,0.024,0.597,0.01,0.0,0.008,1.747,0.509,0.0,0.0,
1969,0.0,1.087,0.02,0.02,0.0,3.373,2.3,0.0,0.0,
1970,0.0,0.656,0.016,0.011,0.0,3.279,1.314,0.0,0.0,
1971,0.0,0.595,0.007,0.0,0.006,3.101,0.525,0.0,0.0,
1972,0.011,0.673,0.012,0.002,0.0,2.5,0.622,0.0,0.0,
1973,0.01,0.588,0.004,0.003,0.0,2.25,0.396,0.0,0.0,
1974,0.007,0.714,0.009,0.021,0.0,2.548,0.616,0.0,0.0,
1975,0.005,0.681,0.008,0.013,0.011,2.099,0.353,0.0,0.0,
1976,0.0,0.526,0.008,0.039,0.0,1.779,0.264,0.0,0.0,
1977,0.009,0.966,0.044,0.024,0.0,3.112,0.866,0.0,0.0,
1978,0.03,1.03,0.033,0.004,0.0,2.902,1.571,0.0,0.0,
1979,0.0,0.97,0.006,0.0,0.0,1.697,0.5,0.0,0.0,
1980,0.053,2.071,0.327,0.043,0.0,2.61,3.703,0.0,0.0,
1981,0.027,1.408,0.02,0.002,0.0,3.58,1.267,0.0,0.0,
1982,0.025,0.81,0.022,0.011,0.01,2.221,1.025,0.0,0.0,
1983,0.056,0.913,0.127,0.008,0.0,2.386,0.867,0.0,0.0,
1984,0.015,0.623,0.023,0.003,0.006,2.793,0.567,0.0,0.0,
1985,0.035,0.783,0.017,0.004,0.0,2.782,0.812,0.0,0.0,
1986,0.008,1.103,0.026,0.006,0.0,2.416,0.947,0.0,0.25,
1987,0.089,1.173,0.05,0.004,0.0,1.893,1.086,0.0,0.125,
1988,0.149,0.843,0.184,0.067,0.0,2.995,1.078,0.0,0.0,
1989,0.028,0.909,0.02,0.008,0.0,2.835,0.791,0.0,0.0,
1990,0.012,0.93,0.045,0.012,0.006,3.004,1.073,0.0,0.125,
1991,0.019,0.917,0.052,0.004,0.011,1.9,0.743,0.0,0.0,
1992,0.003,0.976,0.004,0.0,0.01,2.375,0.823,0.0,0.0,
1993,0.088,1.149,0.069,0.0,0.0,1.608,1.32,0.0,0.0,
1994,0.023,0.853,0.012,0.0,0.02,3.682,0.951,0.0,0.5,
1995,0.096,1.135,0.159,0.006,0.0,3.201,1.013,0.0,0.0,
1996,0.007,0.83,0.068,0.012,0.006,3.62,2.057,0.0,0.0,
1997,0.045,0.931,0.051,0.004,0.0,2.85,0.976,0.0,0.25,
1998,0.134,2.187,0.042,0.009,0.009,3.529,4.514,0.0,0.0,
1999,0.261,1.375,0.119,0.006,0.0,2.796,1.192,0.0,0.0,
2000,0.037,1.242,0.019,0.0,0.0,3.648,1.577,0.0,0.0,
2001,0.057,0.722,0.051,0.017,0.0,3.345,1.978,0.0,0.0,
2002,0.131,1.015,0.044,0.013,0.017,3.445,0.794,0.0,0.0,
2003,0.012,1.159,0.005,0.012,0.004,3.877,0.867,0.0,0.0,
2004,0.0,1.05,0.003,0.0,0.0,2.753,0.768,0.0,0.125,
2005,0.049,1.545,0.038,0.0,0.0,3.201,1.001,0.0,0.0,
2006,0.158,1.079,0.142,0.055,0.0,4.848,2.29,0.0,0.0,
2007,0.035,1.862,0.041,0.002,0.0,4.554,0.961,0.0,0.0,
2008,0.022,1.213,0.007,0.006,0.0,2.964,1.027,0.0,0.0,
2009,0.0,1.404,0.028,0.008,0.0,3.35,2.382,0.0,0.0,
2010,0.196,2.687,0.077,0.0,0.0,3.81,2.664,0.0,0.0,
2011,0.19,2.603,0.371,0.08,0.0,3.741,7.85,0.0,0.0,
2012,0.09,1.193,0.267,0.025,0.0,4.037,2.652,0.0,0.0,
2013,0.113,1.117,0.01,0.004,0.0,4.165,1.723,0.0,0.0,
2014,0.0,1.335,0.017,0.0,0.0,3.512,1.524,0.0,0.0,
2015,0.034,1.841,0.04,0.0,0.036,4.397,1.621,0.0,0.875,
2016,0.132,2.19,0.095,0.023,0.0,4.4,2.561,0.0,0.0,
2017,0.018,1.804,0.034,0.019,0.006,4.49,1.447,0.0,0.5,
2018,0.066,1.567,0.031,0.009,0.0,5.127,2.096,0.0,0.375,
2019,0.121,2.296,0.087,0.017,0.0,3.845,3.669,0.0,6.75,
2020,0.109,2.545,0.015,0.0,0.0,4.918,3.4,0.0,1.25,
2021,0.033,1.584,0.037,0.009,0.105,5.655,2.023,0.0,0.0,
