 Year,National,#grids
1900,     3.772,       334
1901,     9.669,       346
1902,     5.003,       364
1903,     2.318,       374
1904,     2.417,       375
1905,     3.242,       388
1906,     2.371,       385
1907,     3.580,       384
1908,     2.598,       386
1909,     4.258,       392
1910,     4.871,       385
1911,     7.541,       395
1912,     3.750,       397
1913,     9.181,       396
1914,     6.825,       397
1915,     3.052,       399
1916,     4.771,       397
1917,     5.668,       399
1918,     8.585,       394
1919,     3.811,       396
1920,     2.472,       398
1921,     4.551,       396
1922,     5.450,       400
1923,     3.335,       401
1924,     6.055,       403
1925,     8.852,       401
1926,     5.263,       401
1927,     3.926,       398
1928,     3.940,       399
1929,     4.908,       402
1930,    10.838,       401
1931,     8.720,       407
1932,     5.309,       406
1933,     8.197,       405
1934,    15.041,       405
1935,     6.181,       406
1936,    17.418,       404
1937,     7.025,       404
1938,     5.944,       405
1939,     7.989,       406
1940,     5.377,       406
1941,     3.841,       407
1942,     3.865,       410
1943,     7.368,       406
1944,     5.140,       404
1945,     3.846,       404
1946,     4.849,       398
1947,     6.885,       396
1948,     4.226,       398
1949,     2.895,       399
1950,     2.758,       405
1951,     5.555,       405
1952,     7.830,       403
1953,     7.309,       408
1954,    11.899,       407
1955,     4.715,       405
1956,     7.104,       403
1957,     4.052,       405
1958,     3.416,       401
1959,     3.259,       405
1960,     4.406,       406
1961,     3.094,       403
1962,     4.040,       409
1963,     4.630,       405
1964,     5.011,       405
1965,     2.155,       406
1966,     4.120,       407
1967,     3.155,       407
1968,     2.410,       404
1969,     4.879,       407
1970,     4.827,       404
1971,     3.509,       405
1972,     2.495,       404
1973,     2.894,       399
1974,     4.033,       400
1975,     2.143,       397
1976,     2.929,       403
1977,     4.331,       403
1978,     5.867,       398
1979,     2.651,       397
1980,    10.326,       398
1981,     3.788,       402
1982,     2.485,       401
1983,     5.733,       397
1984,     3.640,       400
1985,     4.194,       397
1986,     3.553,       401
1987,     3.218,       399
1988,     6.668,       398
1989,     2.820,       402
1990,     4.625,       400
1991,     2.846,       398
1992,     1.875,       401
1993,     2.946,       400
1994,     3.431,       400
1995,     3.987,       398
1996,     3.815,       400
1997,     2.125,       402
1998,     6.348,       399
1999,     3.937,       397
2000,     7.029,       394
2001,     4.088,       397
2002,     3.705,       398
2003,     4.866,       393
2004,     1.772,       395
2005,     3.272,       380
2006,     5.759,       390
2007,     3.721,       385
2008,     2.463,       378
2009,     3.285,       377
2010,     3.457,       376
2011,     8.269,       374
2012,     7.713,       370
2013,     2.775,       359
2014,     2.465,       357
2015,     2.943,       351
2016,     2.895,       357
2017,     3.080,       345
2018,     3.458,       338
