Year,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,AK,HI,PR,VI
1950,0.126,0.739,0.225,0.527,20.488,6.234,0.006,0.0,0.075,20.354,7.671,5.122,26.847,5.719,1.356,0.0,35.228,0.895,9.47,17.408,63.624,0.002,3.152,40.659,22.642,5.724,24.047,1.374,3.946,13.626,0.087,80.466,2.922,0.978,5.907,3.809,3.467,0.002,46.142,0.73,0.12,8.741,19.846,0.279,10.732,0.798,40.753,25.81,64.09,0.0,0.0,
1951,0.114,1.239,1.553,0.259,25.464,3.666,0.006,0.0,0.012,16.618,11.833,8.016,29.225,7.176,3.067,0.167,30.994,1.065,4.111,18.436,58.64,0.939,7.745,44.784,19.955,4.416,22.417,1.04,7.666,12.303,0.149,74.744,7.652,2.143,2.341,4.755,0.496,0.001,43.859,1.652,1.015,8.674,15.835,0.621,2.535,2.667,37.764,28.283,66.815,0.0,-999.0,
1952,0.005,0.924,0.07,0.333,25.925,2.085,0.006,0.0,0.003,17.927,1.653,0.622,10.857,3.108,0.053,0.0,19.833,0.644,2.872,7.283,33.443,0.004,0.808,31.132,11.776,5.7,15.516,0.427,5.556,7.573,0.04,45.776,0.316,0.316,2.659,1.458,1.599,0.0,26.252,0.063,0.086,9.77,12.881,0.283,1.948,0.429,16.953,28.57,58.796,0.0,0.0,
1953,0.005,0.818,0.071,0.165,14.931,0.823,0.006,0.0,0.004,5.118,2.805,2.247,8.701,1.151,0.764,0.0,18.552,0.573,1.643,6.608,32.681,0.0,1.079,9.305,4.572,1.23,10.792,0.617,4.813,5.726,0.082,30.384,0.85,0.3,0.996,0.927,0.113,0.0,13.786,0.292,0.087,2.703,8.077,0.244,0.801,0.356,18.142,11.006,60.18,0.0,0.0,
1954,0.005,0.604,0.121,0.183,14.256,4.824,0.006,0.0,0.002,8.773,1.979,0.883,9.496,2.319,0.796,0.0,27.308,0.753,6.883,9.334,29.818,0.0,1.296,25.319,8.42,2.721,20.398,2.233,3.079,12.021,0.081,37.742,0.914,0.505,1.659,2.485,3.422,0.0,20.792,0.081,0.126,3.626,20.279,0.317,2.256,0.881,15.796,16.203,65.846,0.0,0.0,
1955,0.005,1.272,0.071,0.346,24.825,6.552,0.006,0.0,0.003,20.936,6.823,5.318,19.297,2.535,1.208,0.0,31.139,1.466,7.3,13.21,57.88,0.0,2.838,42.747,16.659,9.998,22.82,2.258,4.965,14.191,0.127,76.316,5.59,0.334,2.492,5.231,4.188,0.0,39.027,0.271,0.084,14.451,21.414,0.628,3.021,2.978,32.867,33.766,66.875,0.0,0.0,
1956,0.005,1.162,0.073,0.283,21.807,1.349,0.006,0.0,0.003,18.317,1.974,1.591,14.137,2.974,0.066,0.0,25.754,0.771,3.565,10.999,45.451,0.0,1.106,30.758,10.827,5.187,20.347,0.628,4.259,8.927,0.058,55.002,1.102,0.42,2.76,1.563,0.113,0.0,30.626,0.061,0.159,6.017,13.38,0.301,3.895,0.534,26.052,26.399,76.984,0.0,0.0,
1957,0.005,0.511,0.071,0.437,17.075,5.243,0.958,0.0,0.084,20.655,5.36,3.206,13.592,2.961,0.6,0.0,33.006,2.726,8.885,13.43,42.148,0.0,1.89,31.239,11.882,5.416,23.893,2.65,3.403,12.171,0.135,43.817,3.04,0.398,4.566,4.621,5.673,0.0,26.693,0.306,0.095,5.817,21.47,0.685,5.767,2.385,28.664,23.875,51.382,0.0,0.0,
1958,0.588,0.601,0.414,0.18,14.844,6.767,0.006,0.0,0.172,7.406,11.815,9.142,25.38,2.523,2.944,0.0,35.076,2.521,9.165,19.779,43.98,0.041,5.787,18.015,13.294,1.51,30.591,2.713,3.599,19.515,0.633,45.553,8.917,0.666,1.103,7.336,4.233,0.278,26.117,2.559,0.081,3.072,35.852,1.321,1.022,3.853,32.433,13.709,56.19,0.0,0.0,
1959,0.01,0.592,0.402,0.192,18.636,3.355,0.006,0.0,0.003,8.982,8.361,5.449,21.537,5.779,1.968,0.0,36.875,1.227,6.026,20.165,44.215,0.0,4.463,30.298,14.176,2.958,28.181,1.255,4.222,15.193,0.118,49.004,4.538,2.402,1.632,3.883,0.496,0.0,30.663,0.742,0.307,3.405,26.072,0.865,1.976,2.855,34.114,20.885,63.863,0.0,0.0,
1960,0.005,1.55,0.103,0.224,29.825,3.133,0.006,0.0,0.022,17.31,7.947,6.531,23.328,7.287,4.53,0.0,25.106,2.351,4.472,15.381,47.113,0.0,4.657,30.52,23.222,3.908,24.955,2.25,6.198,14.911,0.259,60.728,5.519,1.33,2.066,7.605,0.879,0.0,38.391,1.06,0.292,8.786,17.404,1.138,2.2,4.23,24.293,27.979,51.732,0.0,0.0,
1961,0.005,1.153,0.142,0.177,20.723,13.037,2.995,0.0,0.02,9.4,9.971,7.425,19.341,4.753,2.688,0.0,36.656,3.527,17.126,16.039,33.523,0.0,5.441,18.175,14.698,2.776,32.741,6.978,5.234,19.87,0.172,42.8,6.693,0.851,1.353,11.893,9.84,0.0,25.225,0.874,0.139,6.004,30.982,1.391,1.322,6.111,23.89,15.479,67.235,0.0,0.0,
1962,0.893,1.235,2.845,0.451,27.89,9.272,0.298,0.0,0.333,15.967,12.434,9.205,26.495,9.979,5.585,0.25,43.149,1.368,10.71,23.052,47.875,1.562,9.411,32.587,23.48,9.161,37.938,1.875,8.139,19.552,0.609,53.616,8.358,2.918,2.979,7.435,4.188,0.222,36.047,4.806,0.644,12.253,34.945,1.525,2.872,5.988,35.395,28.356,54.561,0.0,0.0,
1963,0.606,1.633,1.532,0.216,29.809,11.326,0.356,0.0,0.312,16.635,28.442,24.834,40.725,14.02,9.293,0.0,44.862,2.511,11.856,35.82,54.427,0.294,16.896,32.254,27.439,5.858,36.485,3.746,9.282,23.785,0.429,55.172,20.301,4.931,2.253,14.813,3.85,0.001,40.794,4.193,0.646,13.492,32.089,2.523,2.307,11.278,48.988,26.644,52.637,0.0,0.0,
1964,0.064,1.118,0.251,0.207,25.017,4.004,0.006,0.0,0.021,19.485,3.091,2.171,12.338,3.119,1.059,0.0,29.28,1.26,5.971,11.463,43.06,0.0,2.74,27.157,10.61,3.84,23.408,1.844,7.898,10.501,0.121,56.847,2.016,0.89,2.355,5.759,1.982,0.0,28.589,0.277,0.156,8.214,16.765,0.877,2.617,2.31,20.328,23.682,67.455,0.0,0.0,
1965,0.04,0.907,0.13,0.195,21.805,5.738,0.006,0.0,0.003,8.482,7.922,8.363,20.424,2.328,3.756,0.0,32.302,2.085,8.9,16.979,49.649,0.004,3.99,30.848,17.378,3.525,25.494,2.549,4.136,13.386,0.107,62.901,6.181,0.415,1.195,5.962,7.159,0.0,36.078,1.206,0.068,4.374,19.589,1.225,1.108,3.743,30.637,22.236,62.718,0.0,0.0,
1966,0.755,1.489,1.153,0.237,29.053,4.115,0.006,0.0,0.492,10.468,7.365,6.29,22.77,7.703,3.608,0.0,22.364,1.385,5.798,15.83,54.808,0.532,4.581,30.806,20.051,2.858,22.293,1.614,6.318,12.77,0.444,63.851,5.665,2.714,1.393,5.448,1.644,0.222,39.078,2.181,0.433,7.606,21.17,1.209,1.05,4.288,33.007,25.004,73.776,0.0,0.0,
1967,0.002,1.707,0.117,0.288,18.998,5.625,0.006,0.0,0.021,9.752,5.27,4.709,16.437,1.824,1.25,0.0,40.064,1.443,7.882,19.441,48.967,0.0,1.889,21.958,9.636,2.962,29.056,2.779,5.224,15.591,0.146,53.4,3.761,0.395,1.568,4.917,3.085,0.0,26.771,0.24,0.083,8.025,25.456,0.903,1.123,3.018,29.646,21.48,58.518,0.0,0.0,
1968,0.004,1.957,0.184,0.243,23.035,10.796,0.006,0.0,0.003,11.764,8.546,7.999,18.936,4.94,2.394,0.0,48.866,2.33,14.654,18.676,41.326,0.0,5.086,28.412,14.415,3.782,39.012,3.46,4.132,23.301,0.096,48.437,8.497,1.224,2.02,10.468,8.262,0.0,28.504,0.061,0.094,9.053,38.49,1.472,2.855,6.989,26.322,22.555,63.863,0.0,0.0,
1969,0.005,0.644,0.071,0.292,17.142,1.908,0.006,0.0,0.012,11.136,4.993,3.779,18.706,1.849,0.565,0.0,27.212,0.757,3.978,12.468,43.463,0.0,1.915,36.308,13.228,2.258,21.727,0.827,3.579,11.076,0.104,59.136,2.578,0.553,2.402,2.574,0.496,0.0,33.543,0.329,0.074,3.762,20.055,0.522,3.674,2.006,25.493,20.911,59.701,0.0,0.0,
1970,0.254,0.932,0.793,0.23,15.808,5.509,1.64,0.0,0.324,8.873,12.81,11.735,23.93,3.307,7.232,0.0,41.558,2.356,11.44,22.93,54.708,0.039,8.181,26.568,15.068,3.54,36.832,2.545,4.895,22.115,0.786,63.022,10.24,1.086,1.472,10.645,3.422,0.186,37.185,4.459,0.09,5.338,40.8,2.611,1.442,6.838,36.092,19.657,59.041,0.0,0.0,
