 Year,National,#grids
1900,     0.293,       334
1901,     0.286,       344
1902,     0.268,       367
1903,     0.260,       376
1904,     0.118,       376
1905,     0.154,       389
1906,     0.166,       385
1907,     0.171,       382
1908,     0.090,       387
1909,     0.232,       392
1910,     0.205,       384
1911,     0.220,       392
1912,     0.164,       395
1913,     0.263,       394
1914,     0.217,       395
1915,     0.119,       399
1916,     0.108,       393
1917,     0.365,       398
1918,     0.305,       393
1919,     0.095,       397
1920,     0.077,       398
1921,     0.251,       396
1922,     0.146,       400
1923,     0.186,       402
1924,     0.140,       402
1925,     0.327,       401
1926,     0.163,       401
1927,     0.075,       398
1928,     0.144,       401
1929,     0.131,       401
1930,     0.400,       400
1931,     0.389,       407
1932,     0.278,       405
1933,     0.353,       405
1934,     1.153,       406
1935,     0.199,       407
1936,     1.023,       405
1937,     0.206,       403
1938,     0.197,       403
1939,     0.227,       407
1940,     0.190,       406
1941,     0.182,       405
1942,     0.201,       409
1943,     0.310,       405
1944,     0.223,       406
1945,     0.130,       404
1946,     0.196,       399
1947,     0.213,       394
1948,     0.197,       398
1949,     0.154,       399
1950,     0.139,       405
1951,     0.185,       406
1952,     0.219,       402
1953,     0.267,       406
1954,     0.485,       407
1955,     0.164,       405
1956,     0.192,       402
1957,     0.198,       405
1958,     0.201,       401
1959,     0.168,       405
1960,     0.167,       406
1961,     0.138,       401
1962,     0.115,       409
1963,     0.159,       405
1964,     0.268,       406
1965,     0.085,       406
1966,     0.202,       407
1967,     0.134,       407
1968,     0.133,       404
1969,     0.300,       406
1970,     0.261,       404
1971,     0.146,       404
1972,     0.166,       402
1973,     0.106,       398
1974,     0.135,       400
1975,     0.142,       397
1976,     0.144,       402
1977,     0.300,       402
1978,     0.287,       400
1979,     0.172,       398
1980,     0.776,       399
1981,     0.427,       403
1982,     0.156,       402
1983,     0.190,       398
1984,     0.182,       401
1985,     0.189,       398
1986,     0.310,       401
1987,     0.176,       399
1988,     0.243,       399
1989,     0.173,       402
1990,     0.149,       400
1991,     0.129,       398
1992,     0.203,       402
1993,     0.248,       399
1994,     0.347,       400
1995,     0.397,       398
1996,     0.314,       400
1997,     0.193,       402
1998,     0.701,       399
1999,     0.363,       397
2000,     0.231,       395
2001,     0.157,       397
2002,     0.130,       398
2003,     0.187,       393
2004,     0.114,       395
2005,     0.185,       381
2006,     0.575,       389
2007,     0.257,       385
2008,     0.124,       377
2009,     0.223,       377
2010,     0.605,       375
2011,     1.073,       374
2012,     0.382,       371
2013,     0.117,       359
2014,     0.104,       358
2015,     0.239,       350
2016,     0.353,       357
2017,     0.117,       345
2018,     0.207,       337
