Year,Northeast,Southeast,Midwest,Northern Great Plains,Northwest,Southwest,Southern Great Plains,Alaska,Hawaii,Puerto Rico
1900,0.0,0.43,0.085,0.147,0.0,0.031,0.285,-999.0,-999.0,
1901,0.107,0.443,0.021,0.023,0.0,0.057,0.097,-999.0,-999.0,
1902,0.054,0.369,0.096,0.026,0.022,0.078,0.353,-999.0,-999.0,
1903,0.276,0.211,0.063,0.021,0.065,0.061,0.264,-999.0,-999.0,
1904,0.105,0.158,0.073,0.037,0.04,0.132,0.184,-999.0,-999.0,
1905,0.012,0.325,0.202,0.077,0.021,0.025,0.216,-999.0,0.333,
1906,0.016,0.396,0.045,0.009,0.048,0.141,0.248,-999.0,0.667,
1907,0.0,0.324,0.063,0.032,0.074,0.126,0.221,-999.0,0.5,
1908,0.016,0.321,0.069,0.029,0.069,0.023,0.461,-999.0,0.0,
1909,0.059,0.274,0.139,0.042,0.103,0.08,0.194,-999.0,1.0,
1910,0.0,0.23,0.108,0.02,0.041,0.0,0.13,-999.0,1.5,
1911,0.0,0.29,0.125,0.07,0.073,0.11,0.136,-999.0,1.0,
1912,0.036,0.3,0.024,0.022,0.0,0.034,0.117,-999.0,0.0,
1913,0.109,0.354,0.045,0.0,0.0,0.087,0.299,-999.0,0.667,
1914,0.02,0.196,0.11,0.036,0.0,0.136,0.345,-999.0,0.0,
1915,0.034,0.404,0.113,0.058,0.0,0.119,0.294,-999.0,2.0,
1916,0.074,0.408,0.032,0.019,0.0,0.089,0.176,-999.0,1.0,
1917,0.0,0.144,0.047,0.014,0.022,0.023,0.034,-999.0,0.5,
1918,0.03,0.35,0.043,0.02,0.011,0.0,0.124,-999.0,5.5,
1919,0.074,0.248,0.058,0.056,0.011,0.04,0.238,-999.0,0.0,
1920,0.02,0.408,0.011,0.006,0.011,0.035,0.168,-999.0,0.333,
1921,0.045,0.243,0.051,0.027,0.103,0.0,0.163,-999.0,0.667,
1922,0.043,0.175,0.053,0.032,0.0,0.0,0.132,-999.0,0.0,
1923,0.0,0.202,0.027,0.015,0.0,0.021,0.293,-999.0,2.667,
1924,0.123,0.268,0.085,0.004,0.061,0.007,0.06,-999.0,1.0,
1925,0.0,0.237,0.071,0.013,0.0,0.02,0.232,-999.0,0.0,
1926,0.0,0.279,0.139,0.03,0.016,0.025,0.304,-999.0,0.333,
1927,0.12,0.328,0.069,0.003,0.0,0.012,0.199,-999.0,2.667,
1928,0.016,0.53,0.072,0.015,0.0,0.006,0.207,-999.0,1.667,
1929,0.0,0.604,0.052,0.045,0.0,0.031,0.207,-999.0,3.0,
1930,0.0,0.215,0.021,0.007,0.0,0.0,0.2,-999.0,3.333,
1931,0.061,0.204,0.034,0.01,0.021,0.024,0.187,-999.0,2.0,
1932,0.123,0.47,0.029,0.038,0.086,0.009,0.25,-999.0,3.0,
1933,0.111,0.338,0.072,0.03,0.113,0.042,0.135,-999.0,1.333,
1934,0.076,0.32,0.036,0.009,0.011,0.018,0.118,-999.0,1.0,
1935,0.126,0.316,0.069,0.004,0.04,0.006,0.261,-999.0,1.0,
1936,0.106,0.302,0.043,0.0,0.0,0.012,0.281,-999.0,4.333,
1937,0.078,0.333,0.079,0.012,0.072,0.057,0.115,-999.0,3.333,
1938,0.147,0.31,0.046,0.006,0.017,0.052,0.135,-999.0,1.333,
1939,0.044,0.212,0.049,0.035,0.0,0.019,0.057,-999.0,2.5,
1940,0.044,0.372,0.056,0.013,0.017,0.038,0.279,-999.0,0.667,
1941,0.03,0.288,0.057,0.054,0.0,0.046,0.36,-999.0,2.667,
1942,0.081,0.351,0.09,0.094,0.052,0.044,0.238,-999.0,2.667,
1943,0.016,0.332,0.15,0.004,0.031,0.099,0.258,-999.0,1.667,
1944,0.062,0.498,0.037,0.042,0.0,0.024,0.211,-999.0,0.0,
1945,0.0,0.475,0.081,0.03,0.049,0.097,0.334,-999.0,1.0,
1946,0.046,0.36,0.143,0.041,0.016,0.0,0.346,-999.0,1.333,
1947,0.0,0.386,0.098,0.032,0.016,0.013,0.081,-999.0,1.333,
1948,0.026,0.409,0.045,0.007,0.016,0.012,0.118,-999.0,1.333,
1949,0.043,0.4,0.027,0.024,0.0,0.009,0.305,-999.0,1.667,
1950,0.03,0.288,0.068,0.047,0.083,0.099,0.196,-999.0,1.0,
1951,0.015,0.288,0.071,0.036,0.065,0.035,0.263,-999.0,1.333,
1952,0.064,0.148,0.034,0.022,0.0,0.088,0.168,-999.0,1.0,
1953,0.113,0.389,0.054,0.006,0.062,0.025,0.218,-999.0,0.667,
1954,0.252,0.254,0.067,0.012,0.0,0.025,0.047,-999.0,1.333,
1955,0.214,0.33,0.072,0.004,0.032,0.111,0.195,-999.0,2.0,
1956,0.014,0.3,0.053,0.027,0.031,0.073,0.046,-999.0,0.667,
1957,0.0,0.398,0.112,0.024,0.0,0.031,0.503,-999.0,1.333,
1958,0.029,0.211,0.118,0.042,0.0,0.033,0.244,-999.0,1.333,
1959,0.057,0.329,0.101,0.004,0.057,0.021,0.318,-999.0,0.0,
1960,0.152,0.356,0.022,0.011,0.016,0.018,0.379,-999.0,1.333,
1961,0.055,0.468,0.18,0.009,0.062,0.006,0.421,-999.0,0.667,
1962,0.048,0.198,0.106,0.036,0.0,0.097,0.1,-999.0,0.333,
1963,0.0,0.263,0.035,0.036,0.0,0.06,0.083,-999.0,2.0,
1964,0.043,0.604,0.075,0.027,0.027,0.101,0.116,-999.0,0.333,
1965,0.029,0.338,0.049,0.029,0.047,0.03,0.214,-999.0,1.667,
1966,0.057,0.309,0.031,0.036,0.0,0.054,0.139,-999.0,0.333,
1967,0.057,0.319,0.046,0.019,0.0,0.036,0.257,-999.0,2.333,
1968,0.048,0.222,0.087,0.046,0.027,0.036,0.159,-999.0,2.0,
1969,0.057,0.382,0.114,0.006,0.0,0.095,0.219,-999.0,3.0,
1970,0.01,0.302,0.1,0.003,0.016,0.077,0.154,-999.0,2.5,
1971,0.119,0.255,0.041,0.047,0.026,0.009,0.306,-999.0,0.333,
1972,0.206,0.3,0.111,0.018,0.01,0.0,0.144,-999.0,0.667,
1973,0.025,0.64,0.141,0.058,0.0,0.036,0.512,-999.0,1.5,
1974,0.025,0.379,0.039,0.035,0.0,0.042,0.369,-999.0,0.333,
1975,0.143,0.348,0.072,0.0,0.01,0.006,0.236,-999.0,2.0,
1976,0.0,0.303,0.042,0.038,0.0,0.0,0.151,-999.0,1.333,
1977,0.056,0.331,0.096,0.072,0.031,0.047,0.198,-999.0,1.0,
1978,0.029,0.272,0.122,0.007,0.0,0.069,0.192,-999.0,2.0,
1979,0.01,0.755,0.115,0.0,0.011,0.057,0.362,-999.0,3.333,
1980,0.029,0.362,0.051,0.014,0.047,0.065,0.266,-999.0,2.0,
1981,0.024,0.189,0.15,0.033,0.062,0.062,0.321,-999.0,0.333,
