Year,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,AK,HI,PR,VI
1950,0.148,35.226,0.314,32.962,1.462,0.0,0.009,1.004,2.169,1.57,0.067,0.084,0.073,3.548,0.002,0.698,0.0,0.068,0.007,0.002,0.103,0.513,0.084,0.714,0.706,10.754,0.0,0.029,4.774,0.0,0.375,0.127,0.014,2.12,0.91,0.025,0.0,2.435,0.944,0.158,7.765,6.72,0.005,0.069,1.265,0.044,0.003,0.499,0.0,0.0,0.0,
1951,6.169,39.843,8.399,29.205,1.651,0.0,0.009,0.427,3.008,2.325,0.068,0.682,0.063,4.744,0.374,10.367,0.0,0.068,0.007,0.002,0.042,11.789,0.62,1.558,0.74,8.779,0.0,0.0,11.586,0.0,0.921,0.417,0.31,18.416,1.305,0.014,0.0,3.184,1.13,1.936,29.154,8.373,0.0,0.154,1.542,0.064,0.0,0.937,0.0,0.0,-999.0,
1952,13.718,40.521,20.452,28.99,2.724,0.333,0.298,1.279,11.383,1.253,2.311,2.271,0.34,26.336,7.253,3.364,0.0,1.0,0.36,0.011,0.084,11.766,8.333,0.935,8.481,7.065,0.071,0.58,7.241,0.16,6.963,1.222,1.028,32.137,1.412,0.308,0.0,13.267,4.252,11.983,21.328,6.701,0.0,2.912,1.969,0.433,0.004,0.825,0.0,0.0,0.0,
1953,2.681,41.173,19.014,28.451,2.455,0.5,2.104,1.259,2.911,1.624,4.681,5.26,1.012,20.833,5.179,3.107,0.0,1.574,0.294,0.407,0.126,6.843,12.862,1.214,5.641,9.033,0.143,1.746,10.241,0.816,1.305,0.375,1.725,26.228,0.83,1.326,0.0,4.15,1.605,3.862,27.69,8.617,0.25,2.795,1.304,2.568,0.247,1.33,0.0,0.0,0.0,
1954,20.916,36.725,46.096,27.83,4.637,0.0,1.67,1.373,14.09,1.574,6.15,5.422,2.479,37.318,9.003,11.833,0.0,1.652,0.0,0.0,0.198,21.386,25.417,1.291,13.412,9.994,0.0,0.58,7.093,0.151,5.143,0.385,0.834,47.015,0.614,0.602,0.0,17.607,4.702,15.759,26.949,12.63,0.0,3.199,0.724,0.924,0.006,3.414,0.0,0.0,0.496,
1955,0.264,32.329,2.121,30.9,2.033,0.333,1.67,0.247,0.872,2.295,1.119,0.489,5.592,16.891,0.242,0.528,0.07,0.504,0.21,0.407,0.957,0.162,2.601,1.459,13.773,9.586,0.429,1.437,4.433,0.667,0.307,0.674,0.189,11.75,1.71,0.755,0.0,0.54,9.978,0.44,8.609,7.891,0.0,0.258,1.586,0.299,0.922,0.824,0.0,0.0,0.0,
1956,2.31,42.417,14.622,27.278,2.016,0.0,0.009,0.257,1.522,1.59,0.678,0.349,1.277,28.905,0.15,2.62,0.0,0.06,0.0,0.002,0.317,3.726,5.47,0.798,5.887,7.788,0.0,0.029,6.683,0.002,0.507,0.305,0.016,43.895,1.948,0.011,0.0,3.44,4.195,2.234,24.976,7.761,0.0,0.149,1.874,0.03,0.016,0.594,0.0,0.0,0.0,
1957,1.01,38.389,1.593,28.79,1.685,0.25,1.959,0.097,1.867,1.208,0.114,0.067,0.648,12.688,0.176,0.796,0.0,1.137,0.067,0.0,0.053,0.329,2.214,1.026,5.134,8.441,0.0,0.893,8.18,0.08,0.585,0.958,0.078,19.98,0.567,0.415,0.0,2.939,2.62,0.305,16.984,6.367,0.0,0.583,0.713,0.181,0.004,0.866,0.0,0.0,0.0,
1958,0.239,45.135,0.448,31.268,2.027,0.0,0.009,0.419,0.626,1.88,0.069,0.072,0.071,3.386,0.051,0.576,0.0,0.06,0.0,0.0,0.157,0.1,0.065,1.079,1.08,11.066,0.0,0.036,8.858,0.002,0.162,2.29,0.015,10.044,2.177,0.011,0.0,1.208,3.745,0.185,16.341,9.674,0.0,0.067,2.815,0.029,0.004,0.703,0.0,0.0,0.0,
1959,0.358,35.194,0.312,31.435,2.068,0.0,0.587,0.18,1.507,2.722,0.089,0.074,0.101,8.227,0.238,0.505,0.0,0.554,0.0,0.0,0.251,0.078,0.157,1.057,3.418,16.131,0.0,0.076,5.373,0.005,1.829,3.623,0.046,7.051,2.286,0.011,0.0,3.55,7.842,0.176,8.558,9.058,0.0,0.799,1.808,0.351,0.004,1.227,0.0,0.0,0.0,
1960,0.303,43.518,2.46,35.318,2.897,0.0,0.009,0.184,0.5,4.137,0.297,0.138,0.111,8.646,0.114,2.958,0.0,0.06,0.0,0.0,0.066,2.274,1.013,2.891,3.404,15.954,0.0,0.036,8.632,0.005,0.161,1.861,0.015,10.502,2.79,0.011,0.0,0.459,6.35,0.63,12.846,13.991,0.0,0.144,3.047,0.022,0.005,1.763,0.0,0.0,0.0,
1961,0.081,37.912,0.253,34.545,1.758,0.0,0.009,0.651,0.44,4.83,0.072,0.082,0.117,5.854,0.051,0.473,0.0,0.06,0.0,0.0,0.083,0.067,0.051,3.495,3.345,16.269,0.0,0.029,5.108,0.002,0.147,1.548,0.015,4.618,4.815,0.01,0.0,0.353,4.904,0.178,4.052,9.838,0.0,0.117,4.002,0.029,0.004,1.398,0.0,0.0,0.0,
1962,0.749,40.062,6.176,28.367,1.714,0.0,0.009,1.201,1.067,1.392,0.33,0.456,0.072,6.987,0.818,7.959,0.0,0.288,0.0,0.0,0.046,4.305,2.272,0.457,0.768,7.375,0.0,0.029,5.722,0.003,0.223,0.114,0.161,15.131,1.005,0.104,0.0,1.228,1.26,1.108,20.068,7.129,0.0,0.117,1.282,0.09,0.004,0.472,0.0,0.0,0.003,
1963,1.39,36.741,6.127,26.099,2.678,0.0,0.009,0.25,0.903,1.194,0.477,0.234,0.562,17.818,0.091,2.449,0.0,0.06,0.048,0.036,0.074,3.715,1.86,1.148,4.861,6.758,0.0,0.247,7.316,0.002,0.249,0.343,0.015,26.4,0.714,0.037,0.0,0.908,2.763,0.302,18.713,6.49,0.0,0.215,0.799,0.029,0.032,0.645,0.0,0.0,0.0,
1964,0.595,33.512,11.286,27.369,2.687,0.333,0.009,0.471,1.894,1.332,0.745,0.566,0.427,19.557,1.238,2.125,0.0,0.134,0.048,0.068,0.221,1.095,2.79,1.277,6.703,7.45,0.0,0.194,7.34,0.052,0.511,0.826,0.249,26.25,0.895,0.107,0.0,1.003,5.359,0.824,18.973,7.163,0.0,0.221,0.956,0.05,0.312,1.086,0.0,0.0,0.0,
1965,0.089,31.556,1.775,23.859,1.428,0.167,0.009,0.116,0.256,1.521,0.33,0.156,0.345,4.991,0.127,0.601,0.0,0.06,0.0,0.0,0.212,0.187,0.431,0.772,1.613,4.981,0.0,0.029,5.237,0.002,0.147,0.436,0.055,11.596,1.347,0.011,0.0,0.25,3.746,0.207,9.323,4.679,0.0,0.099,2.024,0.029,0.061,0.606,0.0,0.0,0.0,
1966,1.187,35.288,7.91,29.156,1.848,0.417,1.67,0.161,1.312,2.059,3.182,1.056,0.806,11.782,1.049,1.281,0.0,0.719,0.159,0.064,0.603,2.319,4.893,1.437,4.596,10.872,0.143,0.973,5.304,0.362,0.573,0.3,0.07,15.537,0.962,0.98,0.0,0.99,6.07,1.387,9.416,7.223,0.0,0.505,1.003,0.255,0.087,1.453,0.0,0.0,0.0,
1967,0.265,30.167,0.288,30.828,1.377,0.0,0.009,0.349,0.327,3.887,0.069,0.072,0.373,2.867,0.051,0.469,0.0,0.061,0.0,0.0,0.038,0.077,0.049,0.661,1.855,10.558,0.0,0.029,4.499,0.002,0.148,0.421,0.014,6.45,3.439,0.011,0.0,0.25,2.509,0.178,11.186,6.284,0.0,0.099,3.78,0.029,0.001,0.442,0.0,0.0,0.004,
1968,0.932,33.862,0.376,26.828,1.798,0.0,0.009,0.164,2.991,1.962,0.087,0.072,0.088,7.963,0.051,0.448,0.0,0.061,0.0,0.0,0.048,0.368,0.07,0.575,3.545,8.908,0.0,0.0,5.666,0.017,1.475,0.311,0.014,8.19,2.103,0.011,0.0,3.549,2.592,0.652,4.52,5.627,0.0,0.353,2.051,0.029,0.017,0.494,0.0,0.0,0.004,
1969,2.184,38.387,9.973,29.364,2.309,0.0,0.009,0.554,0.822,2.221,0.079,0.072,0.086,9.808,0.051,5.77,0.0,0.06,0.0,0.036,0.038,4.74,1.398,1.858,3.217,11.755,0.0,0.029,7.702,0.002,0.354,0.613,0.015,20.07,0.858,0.01,0.0,1.009,3.634,0.957,23.875,8.317,0.0,0.34,0.832,0.029,0.004,0.904,0.0,0.0,0.0,
1970,0.605,37.909,5.661,30.378,2.302,0.0,0.009,0.265,1.763,1.964,0.398,0.218,0.425,19.103,0.208,1.184,0.0,0.06,0.0,0.0,0.092,1.197,2.786,1.092,7.094,12.254,0.0,0.029,6.606,0.002,0.511,0.465,0.048,25.585,1.875,0.011,0.0,3.967,5.772,0.289,14.242,9.255,0.0,0.329,1.891,0.05,0.015,0.958,0.0,0.0,0.0,
1971,0.166,36.519,4.024,30.58,2.633,0.0,0.009,0.133,0.477,2.548,0.468,0.173,0.185,7.827,0.051,0.911,0.0,0.06,0.0,0.326,0.089,0.564,0.764,2.408,2.771,13.057,0.0,0.029,6.502,0.002,0.147,1.695,0.111,11.875,3.251,0.011,0.0,0.263,4.977,0.211,8.824,9.25,0.0,0.117,4.034,0.029,0.004,0.668,0.0,0.0,0.0,
1972,0.145,36.332,3.942,29.499,1.532,0.0,0.009,0.238,0.513,1.972,0.071,0.072,0.091,2.335,0.051,0.623,0.0,0.06,0.0,0.0,0.046,0.281,0.816,0.53,0.756,14.832,0.0,0.029,5.434,0.002,0.147,0.238,0.015,7.233,3.499,0.011,0.0,0.25,1.406,0.178,7.562,8.01,0.0,0.115,1.956,0.041,0.004,0.606,0.0,0.0,0.0,
1973,0.081,40.679,0.981,30.643,2.213,0.0,0.37,0.129,0.257,2.324,0.071,0.06,0.088,8.949,0.051,0.487,0.0,0.06,0.0,0.0,0.213,0.156,0.458,1.42,3.201,10.496,0.0,0.163,7.002,0.002,0.151,1.503,0.014,6.447,1.297,0.012,0.0,0.331,6.8,0.245,6.188,8.403,0.0,0.112,1.881,0.109,0.058,1.006,0.0,0.0,0.0,
1974,0.081,40.882,2.862,27.92,2.112,0.0,0.009,0.137,0.249,2.001,0.367,0.215,1.788,16.475,0.051,0.561,0.0,0.06,0.0,0.01,0.339,0.475,4.342,0.898,9.443,10.328,0.0,0.029,8.009,0.002,0.147,0.558,0.014,11.578,1.319,0.004,0.0,0.464,7.596,0.162,10.792,9.923,0.0,0.131,1.347,0.029,0.238,0.84,0.0,0.0,0.0,
1975,0.056,35.175,0.558,27.994,1.656,0.333,0.009,0.179,0.323,2.017,0.114,0.046,0.25,7.245,0.051,0.448,0.458,0.06,0.495,0.009,0.239,0.099,1.272,1.012,2.608,9.478,0.5,0.132,3.839,0.081,0.175,1.305,0.015,3.344,1.393,0.004,1.0,0.946,5.514,0.218,4.355,6.092,0.25,0.139,2.433,0.042,0.004,0.875,0.0,0.0,0.0,
1976,0.319,32.062,0.859,27.102,2.116,0.0,0.009,0.175,0.298,1.295,0.38,0.126,0.728,8.647,0.051,0.473,0.0,0.06,0.0,0.0,1.528,0.256,1.272,0.906,3.785,7.825,0.0,0.029,3.898,0.002,0.315,3.045,0.015,8.694,0.657,0.011,0.0,0.404,10.849,0.19,4.816,8.953,0.0,0.189,0.824,0.029,0.046,1.171,0.0,0.0,0.0,
1977,4.405,37.72,4.039,28.571,2.072,0.333,1.165,0.662,5.281,1.969,0.824,0.061,1.577,10.146,0.114,1.75,0.001,0.491,0.238,0.163,0.22,3.164,1.488,0.837,3.408,11.025,0.286,0.518,6.932,0.14,2.842,0.951,0.142,11.128,3.795,0.081,1.0,7.601,4.031,0.896,13.555,7.97,0.0,1.635,3.933,0.16,0.066,1.008,0.0,0.0,0.0,
1978,0.434,42.904,12.218,31.451,2.488,0.0,0.009,0.208,1.486,1.88,0.37,0.335,0.081,23.089,0.555,2.234,0.0,0.145,0.0,0.013,0.114,0.858,1.542,0.722,4.088,16.034,0.143,0.029,9.468,0.002,0.215,2.265,0.015,32.566,2.925,0.011,0.0,1.318,3.692,0.52,20.002,9.631,0.0,0.184,2.01,0.039,0.021,0.77,0.0,0.0,0.0,
1979,0.252,42.292,0.23,31.126,2.182,0.0,0.009,0.129,0.618,2.154,0.078,0.072,0.134,6.401,0.051,0.531,0.0,0.06,0.0,0.001,0.227,0.217,0.148,0.756,2.234,13.025,0.0,0.029,6.305,0.001,0.269,0.456,0.015,3.852,2.05,0.009,0.0,0.508,2.083,0.156,6.342,9.99,0.0,0.148,2.686,0.028,0.0,1.285,0.0,0.0,0.0,
1980,10.535,44.224,38.154,29.442,3.375,0.0,1.165,1.301,10.289,1.341,2.275,2.135,2.047,36.419,3.647,14.724,0.0,1.138,0.0,0.0,0.334,13.513,23.186,1.284,11.453,12.695,0.0,0.715,15.365,0.069,1.879,1.789,0.246,50.313,1.121,0.347,0.5,9.164,6.414,6.782,33.587,9.338,0.0,1.529,1.083,0.16,0.043,1.334,0.0,0.0,0.0,
1981,1.949,40.115,1.876,33.23,2.59,0.0,0.009,1.937,4.964,1.795,0.069,0.072,0.228,7.524,0.051,2.431,0.0,0.06,0.0,0.001,0.038,3.793,0.193,1.113,3.598,14.017,0.0,0.029,9.622,0.002,0.644,1.143,0.014,15.016,3.346,0.011,0.0,2.824,2.728,0.192,10.326,10.528,0.0,0.126,4.287,0.029,0.005,1.641,0.0,0.0,0.0,
1982,0.056,31.115,1.09,23.213,2.026,0.0,0.009,0.134,0.369,1.299,0.069,0.085,0.104,6.649,0.093,0.535,0.0,0.06,0.0,0.001,0.085,0.067,0.56,0.563,1.913,7.045,0.0,0.061,4.993,0.001,0.167,0.581,0.012,11.463,0.883,0.024,0.0,0.338,2.172,0.178,12.057,7.689,0.0,0.117,1.796,0.029,0.011,1.093,0.0,0.0,0.0,
1983,2.981,35.095,9.628,26.94,2.072,0.0,1.092,0.256,6.864,1.736,4.633,2.454,3.467,26.562,5.14,0.682,0.0,0.756,0.0,0.054,0.386,1.078,12.384,3.372,7.994,7.179,0.0,0.455,5.314,0.0,4.692,3.481,0.389,24.806,0.942,0.343,0.5,8.561,6.498,3.142,11.968,6.962,0.0,1.979,1.196,0.633,0.136,2.628,0.0,0.0,0.004,
1984,0.181,32.867,2.55,31.544,1.725,0.0,0.009,0.144,0.795,1.832,0.267,0.184,0.613,13.36,0.051,0.5,0.0,0.06,0.0,0.0,0.34,0.105,3.093,1.816,3.029,8.146,0.0,0.029,3.483,0.001,0.148,1.904,0.015,15.625,0.859,0.018,0.0,0.696,2.66,0.163,11.554,6.916,0.0,0.117,1.558,0.09,0.029,0.757,0.0,0.0,0.004,
1985,2.025,40.498,4.906,29.989,2.476,0.0,0.009,1.733,2.831,2.686,0.065,0.072,0.743,11.587,0.041,1.115,0.0,0.06,0.0,0.0,0.307,0.472,0.467,2.038,3.628,13.185,0.0,0.029,6.718,0.001,0.345,0.709,0.015,20.966,1.467,0.004,0.0,2.368,3.987,0.178,16.47,12.418,0.0,0.127,2.755,0.13,0.03,0.864,0.0,0.0,0.004,
1986,2.912,35.449,10.091,27.008,1.798,0.019,0.009,0.937,7.054,1.764,0.065,0.072,0.077,6.386,0.34,3.047,0.0,0.06,0.0,0.0,0.038,3.755,1.935,0.617,1.733,8.81,0.0,0.174,5.336,0.015,1.892,0.17,0.03,11.092,1.279,0.037,0.0,9.754,0.915,0.88,11.244,8.711,0.0,0.515,1.628,0.041,0.004,0.712,0.0,0.0,0.0,
1987,1.854,37.175,7.638,30.082,1.808,0.0,0.298,0.334,1.62,1.503,1.245,0.201,1.154,6.92,0.833,1.119,0.0,0.382,0.048,0.044,0.268,0.779,4.534,0.54,3.683,7.009,0.0,0.029,5.015,0.006,1.157,0.584,0.015,8.179,1.771,0.01,0.0,1.994,4.593,0.596,7.63,6.583,0.0,0.705,1.561,0.197,0.111,0.564,0.0,0.0,0.0,
1988,1.521,37.013,5.514,32.99,2.12,0.0,3.837,0.27,1.423,2.713,9.649,5.034,9.259,15.329,8.494,1.862,0.0,3.036,0.048,1.425,4.83,2.237,9.511,4.505,9.821,13.092,0.643,1.174,3.398,0.12,1.764,7.809,3.703,12.435,2.925,2.306,0.0,2.101,15.685,4.801,8.749,9.921,0.0,1.887,2.472,3.729,3.073,2.566,0.0,0.0,0.0,
1989,0.171,45.879,0.521,28.751,3.154,0.0,0.009,0.263,0.4,1.695,0.425,0.072,0.479,3.298,0.3,0.554,0.0,0.06,0.095,0.0,0.524,0.066,0.833,1.525,4.162,10.071,0.071,0.054,9.63,0.0,0.387,2.205,0.015,3.256,0.774,0.01,0.0,0.268,5.406,0.178,10.577,10.564,0.0,0.141,0.901,0.025,0.027,2.04,0.0,0.0,0.0,
1990,4.877,39.325,8.183,28.41,3.498,0.0,0.009,0.575,4.347,4.08,0.559,0.197,0.569,16.275,0.647,3.554,0.0,0.696,0.0,0.011,0.489,4.77,2.697,1.884,6.192,12.012,0.0,0.029,10.114,0.002,0.921,0.272,0.013,19.394,2.794,0.048,0.0,4.808,2.651,1.805,13.696,11.377,0.0,0.394,2.216,0.086,0.084,1.98,0.0,0.0,0.0,
1991,0.223,36.028,1.803,26.949,1.805,1.167,0.587,0.13,0.307,1.791,0.798,0.254,0.115,13.197,0.471,0.444,0.0,1.44,0.408,0.018,0.17,0.098,2.964,1.138,3.855,8.657,0.0,0.433,4.54,0.208,0.261,1.094,0.016,8.112,1.031,0.602,1.0,0.394,5.254,0.296,4.716,6.833,0.0,0.726,1.068,0.378,0.004,0.855,0.0,0.0,0.0,
1992,0.079,36.485,0.329,27.871,1.431,0.0,0.009,0.197,0.392,3.329,0.069,0.072,0.074,0.844,0.055,0.503,0.0,0.052,0.0,0.0,0.037,0.165,0.101,0.494,0.321,9.199,0.0,0.029,5.385,0.002,0.688,0.279,0.016,2.737,3.182,0.029,0.0,1.128,0.616,0.179,4.654,8.04,0.0,0.22,3.222,0.045,0.007,0.451,0.0,0.0,0.0,
1993,1.845,39.545,5.325,26.087,1.588,0.167,0.009,0.831,5.075,1.026,0.08,0.072,0.071,3.298,0.199,2.024,0.0,0.912,0.179,0.007,0.042,0.961,0.268,0.425,0.38,6.819,0.0,1.102,6.691,0.185,2.745,0.102,0.016,14.38,0.716,0.264,0.5,10.38,0.47,0.666,9.535,6.139,0.0,0.744,0.773,0.046,0.012,0.466,0.0,0.0,0.0,
1994,0.085,50.806,0.356,30.303,2.797,0.0,0.37,0.107,0.249,4.219,0.145,0.072,0.07,5.674,0.176,0.454,0.0,0.388,0.004,0.027,0.038,0.106,0.074,0.8,0.883,15.997,0.0,0.209,13.62,0.002,0.151,0.206,0.09,13.435,2.513,0.166,0.0,0.374,1.102,0.179,14.469,14.965,0.0,0.174,2.993,0.045,0.018,0.867,0.0,0.0,0.0,
1995,3.212,44.357,5.974,28.139,2.971,0.446,0.298,0.502,3.65,1.121,1.208,0.234,1.386,9.883,0.232,3.419,0.0,0.792,0.139,0.476,0.433,1.888,0.947,1.254,6.374,8.768,0.143,0.613,8.646,0.195,0.334,0.594,0.198,14.251,0.814,0.373,0.0,3.284,2.929,0.73,10.32,8.771,0.672,0.209,0.922,0.109,0.703,1.288,0.0,0.0,0.0,
