Year,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,AK,HI,PR,VI
1900,0.938,0.001,0.181,0.099,0.0,0.0,-999.0,0.363,0.174,0.001,0.07,0.001,0.209,0.085,0.836,0.692,0.0,-999.0,0.0,0.002,0.12,1.726,0.081,0.124,0.198,0.0,0.0,0.005,0.008,0.008,0.038,0.125,0.0,0.089,0.0,0.0,0.0,0.016,0.124,0.137,0.62,0.004,0.011,0.015,0.021,0.006,0.152,0.0,-999.0,-999.0,-999.0,
1901,0.513,0.001,0.052,0.165,0.0,0.0,-999.0,0.715,0.846,0.001,0.0,0.0,0.007,0.016,0.002,0.555,0.0,-999.0,0.461,0.037,0.123,0.699,0.006,0.0,0.031,0.0,0.0,0.005,0.0,0.0,0.794,0.0,0.0,0.023,0.0,0.194,0.0,0.293,0.078,0.024,0.254,0.0,0.011,0.154,0.0,0.205,0.0,0.0,-999.0,-999.0,-999.0,
1902,0.262,0.0,0.828,0.181,0.047,0.0,-999.0,0.374,0.165,0.001,0.154,0.095,0.183,0.09,0.336,0.421,0.0,-999.0,0.0,0.002,0.143,0.397,0.181,0.0,0.047,0.002,0.0,0.0,0.0,0.278,0.065,0.0,0.0,0.384,0.053,0.0,0.0,0.344,0.024,0.468,0.491,0.0,0.011,0.057,0.0,0.005,0.0,0.0,-999.0,-999.0,-999.0,
1903,0.172,0.0,0.0,0.186,0.0,1.0,-999.0,0.667,0.494,0.001,0.032,0.0,0.13,0.165,0.002,0.277,0.478,-999.0,0.333,0.002,0.132,0.21,0.162,0.0,0.027,0.0,0.0,0.667,0.0,0.49,0.151,0.0,0.001,0.536,0.141,0.0,0.0,0.137,0.073,0.112,0.304,0.001,0.0,0.159,0.023,0.0,0.0,0.0,-999.0,-999.0,-999.0,
1904,0.075,0.001,0.481,0.387,0.0,0.0,-999.0,0.074,0.031,0.001,0.193,0.103,0.01,0.084,0.002,0.355,0.0,0.0,0.556,0.091,0.0,0.166,0.209,0.0,0.101,0.002,0.0,0.5,0.0,0.067,0.205,0.0,0.0,0.065,0.086,0.005,0.0,0.112,0.001,0.0,0.249,0.0,0.0,0.15,0.005,0.0,0.001,0.0,-999.0,-999.0,-999.0,
1905,0.391,0.001,0.632,0.08,0.0,0.0,-999.0,0.519,0.061,0.0,0.174,0.295,0.141,0.177,0.169,1.39,0.0,0.0,0.193,0.106,0.0,0.092,0.814,0.0,0.142,0.002,0.0,0.005,0.0,0.0,0.294,0.0,0.0,0.095,0.0,0.002,0.0,0.07,0.095,0.0,0.265,0.0,0.0,0.081,0.044,0.0,0.093,0.0,-999.0,0.75,0.0,
1906,0.575,0.0,0.5,0.361,0.0,0.0,-999.0,0.028,0.583,0.0,0.096,0.161,0.01,0.168,0.5,0.365,0.0,0.0,0.0,0.001,0.028,0.783,0.064,0.0,0.036,0.002,0.0,0.178,0.0,0.0,0.406,0.0,0.0,0.054,0.0,0.0,0.0,0.056,0.002,0.368,0.318,0.299,0.0,0.01,0.123,0.0,0.051,0.0,-999.0,1.27,-999.0,
1907,0.013,0.0,0.591,0.353,0.054,0.0,-999.0,0.293,0.201,0.0,0.017,0.095,0.078,0.0,0.002,1.491,0.0,0.0,0.0,0.001,0.0,0.348,0.081,0.076,0.041,0.002,0.0,0.0,0.0,0.0,0.178,0.0,0.033,0.235,0.18,0.0,0.0,0.116,0.001,0.072,0.412,0.002,0.0,0.143,0.0,0.0,0.213,0.0,-999.0,1.329,0.0,
1908,0.453,0.0,0.125,0.0,0.098,0.0,-999.0,0.656,0.394,0.0,0.017,0.145,0.032,0.1,0.0,0.73,0.0,0.0,0.0,0.0,0.145,0.376,0.157,0.0,0.057,0.002,0.0,0.167,0.0,0.002,0.599,0.0,0.035,1.182,0.131,0.0,0.0,0.283,0.039,0.042,0.469,0.002,0.0,0.01,0.084,0.0,0.005,0.0,-999.0,0.548,0.0,
1909,0.167,0.0,0.029,0.253,0.0,0.0,-999.0,0.813,0.233,0.0,0.032,0.144,0.27,0.17,0.167,0.697,0.014,0.0,0.333,0.2,0.204,0.752,0.136,0.039,0.054,0.002,0.0,0.0,0.0,0.1,0.036,0.0,0.033,0.151,0.194,0.0,0.0,0.242,0.065,0.037,0.212,0.0,0.0,0.01,0.08,0.0,0.039,0.0,-999.0,0.811,-999.0,
