Year,Northeast,Southeast,Midwest,Northern Great Plains,Northwest,Southwest,Southern Great Plains,Alaska,Hawaii,Puerto Rico
1900,17.006,69.452,29.641,36.089,16.118,47.227,77.944,-999.0,-999.0,
1901,11.154,62.732,41.004,38.577,22.735,51.324,88.694,-999.0,-999.0,
1902,2.642,72.443,13.57,15.432,17.5,50.847,83.143,-999.0,-999.0,
1903,4.932,55.778,13.961,13.478,10.783,49.944,68.016,-999.0,-999.0,
1904,2.91,61.976,8.742,14.011,24.052,52.724,71.682,-999.0,-999.0,
1905,5.426,60.269,14.72,19.689,20.03,50.426,82.735,0.0,-999.0,
1906,8.546,59.758,21.111,21.808,27.365,48.898,71.575,0.0,-999.0,
1907,4.782,64.913,13.068,18.82,12.52,42.013,87.902,0.0,-999.0,
1908,14.977,61.162,25.182,25.221,28.173,51.295,77.294,0.0,-999.0,
1909,8.908,63.052,20.094,26.531,17.741,50.568,94.712,0.0,-999.0,
1910,7.944,56.364,24.997,32.72,20.57,61.442,99.816,0.0,-999.0,
1911,20.494,82.64,36.188,30.557,19.929,47.961,110.715,0.0,-999.0,
1912,9.776,61.182,19.697,21.431,15.219,38.81,88.957,0.0,-999.0,
1913,13.506,70.76,39.667,37.332,20.029,51.265,95.482,0.0,-999.0,
1914,13.444,77.141,34.347,31.872,24.883,48.362,88.724,0.0,-999.0,
1915,5.794,67.55,6.471,6.324,25.604,45.807,58.389,1.0,-999.0,
1916,14.339,63.116,33.872,31.773,16.543,43.057,98.797,3.0,-999.0,
1917,10.351,55.755,16.074,28.299,28.776,57.977,88.312,0.0,-999.0,
1918,15.054,70.372,25.913,28.663,24.77,50.647,99.536,3.0,-999.0,
1919,15.433,66.05,29.581,36.399,28.802,56.577,71.526,3.0,-999.0,
1920,4.369,53.975,17.437,25.612,27.095,45.474,76.667,0.0,-999.0,
1921,17.685,83.714,38.82,38.028,20.702,51.608,94.838,0.0,-999.0,
1922,7.276,66.585,26.691,35.563,35.381,59.686,92.586,0.0,-999.0,
1923,9.661,56.51,22.939,19.328,25.065,40.263,78.041,2.0,-999.0,
1924,6.939,67.751,11.738,18.014,27.923,60.18,81.815,0.0,-999.0,
