 Year,National,#grids
1900,    16.650,       334
1901,    24.355,       346
1902,    17.436,       364
1903,    11.561,       374
1904,    11.003,       375
1905,    13.123,       388
1906,    12.158,       385
1907,    14.210,       384
1908,    13.591,       386
1909,    16.525,       392
1910,    16.901,       385
1911,    24.910,       395
1912,    15.766,       397
1913,    25.718,       396
1914,    22.583,       397
1915,    12.409,       399
1916,    18.841,       397
1917,    18.059,       399
1918,    22.289,       394
1919,    16.258,       396
1920,    11.662,       398
1921,    20.725,       396
1922,    19.109,       400
1923,    13.157,       401
1924,    18.526,       403
1925,    26.670,       401
1926,    18.868,       401
1927,    15.962,       398
1928,    14.350,       399
1929,    16.850,       402
1930,    26.254,       401
1931,    29.163,       407
1932,    19.708,       406
1933,    26.591,       405
1934,    32.350,       405
1935,    19.138,       406
1936,    35.513,       404
1937,    22.502,       404
1938,    20.352,       405
1939,    23.571,       406
1940,    18.184,       406
1941,    18.827,       407
1942,    14.921,       410
1943,    22.260,       406
1944,    19.823,       404
1945,    15.534,       404
1946,    14.561,       398
1947,    20.702,       396
1948,    17.709,       398
1949,    13.629,       399
1950,     9.734,       405
1951,    18.155,       405
1952,    25.071,       403
1953,    25.251,       408
1954,    30.417,       407
1955,    20.488,       405
1956,    22.193,       403
1957,    15.148,       405
1958,    14.020,       401
1959,    14.486,       405
1960,    16.679,       406
1961,    11.618,       403
1962,    15.392,       409
1963,    17.646,       405
1964,    17.081,       405
1965,    10.815,       406
1966,    14.426,       407
1967,    10.190,       407
1968,    12.279,       404
1969,    15.367,       407
1970,    16.955,       404
1971,    12.911,       405
1972,    12.380,       404
1973,    11.284,       399
1974,    13.482,       400
1975,    10.409,       397
1976,    12.087,       403
1977,    18.999,       403
1978,    18.727,       398
1979,    10.855,       397
1980,    26.829,       398
1981,    15.027,       402
1982,    10.648,       401
1983,    20.862,       397
1984,    14.250,       400
1985,    13.855,       397
1986,    13.488,       401
1987,    14.557,       399
1988,    23.034,       398
1989,    11.080,       402
1990,    17.586,       400
1991,    13.058,       398
1992,     7.221,       401
1993,    12.793,       400
1994,    11.165,       400
1995,    15.332,       398
1996,    11.929,       400
1997,    10.917,       402
1998,    19.870,       399
1999,    15.192,       397
2000,    19.731,       394
2001,    13.789,       397
2002,    15.862,       398
2003,    13.427,       393
2004,     8.049,       395
2005,    14.621,       380
2006,    18.384,       390
2007,    14.006,       385
2008,    10.849,       378
2009,    11.322,       377
2010,    16.162,       376
2011,    23.275,       374
2012,    21.854,       370
2013,    11.805,       359
2014,    10.010,       357
2015,    12.992,       351
2016,    13.641,       357
2017,    11.320,       345
2018,    13.919,       338
