Year,National
1900,9.56
1901,8.093
1902,9.539
1903,8.984
1904,7.808
1905,10.085
1906,9.127
1907,8.623
1908,8.655
1909,9.128
1910,6.758
1911,8.054
1912,8.385
1913,8.422
1914,7.811
1915,9.692
1916,7.892
1917,6.666
1918,8.048
1919,9.266
1920,8.945
1921,7.809
1922,8.546
1923,8.976
1924,7.529
1925,6.87
1926,8.634
1927,8.898
1928,8.389
1929,8.53
1930,6.556
1931,7.204
1932,8.24
1933,7.424
1934,6.977
1935,7.99
1936,7.145
1937,8.428
1938,7.998
1939,6.963
1940,7.695
1941,8.308
1942,8.713
1943,7.035
1944,8.304
1945,9.284
1946,8.733
1947,7.964
1948,8.388
1949,7.956
1950,8.564
1951,8.461
1952,6.867
1953,7.627
1954,6.868
1955,7.222
1956,6.43
1957,9.243
1958,8.035
1959,8.404
1960,7.584
1961,8.582
1962,7.496
1963,6.31
1964,8.266
1965,7.794
1966,7.423
1967,7.85
1968,7.944
1969,8.508
1970,7.843
1971,7.889
1972,8.422
1973,10.134
1974,8.285
1975,8.951
1976,6.903
1977,8.357
1978,7.782
1979,9.717
1980,7.246
1981,7.805
1982,9.357
1983,9.773
1984,8.582
1985,8.516
1986,8.449
1987,7.896
1988,6.719
1989,8.378
1990,9.493
1991,9.333
1992,8.613
1993,8.809
1994,8.81
1995,9.164
1996,9.484
1997,8.631
1998,9.753
1999,8.086
2000,7.778
2001,8.472
2002,8.756
2003,8.715
2004,9.379
2005,8.034
2006,8.66
2007,8.189
2008,8.996
2009,9.622
2010,8.797
2011,8.773
2012,7.253
2013,9.377
2014,8.692
2015,10.42
2016,8.718
2017,9.35
2018,10.597
2019,10.206
2020,9.1
2021,8.552
