Year,Northeast,Southeast,Midwest,Northern Great Plains,Northwest,Southwest,Southern Great Plains,Alaska,Hawaii,Puerto Rico
1950,0.085,0.369,0.079,0.016,0.079,0.097,0.213,0.333,1.388,
1951,0.016,0.297,0.069,0.008,0.061,0.047,0.188,0.457,1.582,
1952,0.094,0.165,0.039,0.017,0.003,0.06,0.194,0.479,1.13,
1953,0.064,0.428,0.036,0.004,0.088,0.027,0.235,0.26,0.62,
1954,0.273,0.233,0.083,0.007,0.062,0.058,0.092,0.38,2.009,
1955,0.238,0.369,0.058,0.003,0.103,0.11,0.191,0.3,1.382,
1956,0.03,0.316,0.042,0.014,0.041,0.054,0.062,0.42,1.821,
1957,0.005,0.426,0.109,0.021,0.022,0.039,0.46,0.458,1.343,
1958,0.052,0.249,0.099,0.018,0.034,0.029,0.288,0.52,0.954,
1959,0.079,0.321,0.096,0.004,0.12,0.048,0.268,0.34,0.812,
1960,0.159,0.277,0.031,0.003,0.041,0.029,0.292,0.5,1.417,
1961,0.038,0.364,0.135,0.007,0.126,0.006,0.487,0.42,0.438,
1962,0.069,0.248,0.069,0.008,0.062,0.087,0.063,0.583,0.46,
1963,0.002,0.265,0.041,0.019,0.048,0.078,0.093,0.583,1.321,
1964,0.015,0.652,0.102,0.019,0.071,0.075,0.205,0.13,0.904,
1965,0.016,0.323,0.072,0.02,0.077,0.033,0.233,0.62,1.943,
1966,0.067,0.351,0.049,0.024,0.012,0.073,0.211,0.583,0.511,
1967,0.074,0.308,0.054,0.011,0.032,0.036,0.308,0.188,2.086,
1968,0.043,0.232,0.086,0.019,0.057,0.015,0.206,0.46,1.964,
1969,0.15,0.441,0.102,0.008,0.021,0.119,0.221,0.52,2.233,
1970,0.027,0.343,0.071,0.004,0.015,0.064,0.233,0.217,1.542,
1971,0.127,0.255,0.04,0.021,0.063,0.012,0.263,0.348,1.298,
1972,0.181,0.401,0.077,0.019,0.107,0.009,0.166,0.568,0.736,
1973,0.079,0.587,0.127,0.027,0.019,0.042,0.443,0.13,1.025,
1974,0.019,0.324,0.061,0.016,0.032,0.045,0.362,0.739,0.817,
1975,0.11,0.423,0.085,0.011,0.073,0.033,0.198,0.217,0.935,
1976,0.04,0.256,0.057,0.012,0.016,0.01,0.187,0.52,0.787,
1977,0.065,0.38,0.096,0.032,0.043,0.026,0.243,0.28,0.7,
1978,0.027,0.351,0.119,0.007,0.008,0.059,0.173,0.56,1.292,
1979,0.087,0.685,0.109,0.005,0.094,0.031,0.396,0.44,2.53,
1980,0.023,0.368,0.061,0.004,0.077,0.075,0.324,0.32,1.695,
1981,0.045,0.259,0.119,0.016,0.086,0.063,0.365,0.4,0.583,
1982,0.069,0.472,0.147,0.017,0.108,0.098,0.228,0.16,3.482,
1983,0.088,0.518,0.086,0.013,0.042,0.067,0.248,0.28,0.143,
1984,0.063,0.388,0.041,0.023,0.088,0.005,0.159,0.28,0.643,
1985,0.152,0.37,0.064,0.014,0.0,0.02,0.348,0.6,1.365,
1986,0.042,0.202,0.199,0.038,0.073,0.087,0.415,0.6,2.011,
1987,0.084,0.285,0.064,0.021,0.055,0.02,0.182,0.979,2.036,
1988,0.015,0.249,0.024,0.014,0.0,0.021,0.147,0.458,1.607,
1989,0.066,0.371,0.092,0.025,0.029,0.019,0.251,0.64,3.86,
1990,0.084,0.567,0.103,0.021,0.088,0.006,0.217,0.312,2.17,
1991,0.114,0.487,0.053,0.009,0.047,0.051,0.308,0.729,1.38,
1992,0.042,0.308,0.075,0.018,0.016,0.032,0.213,0.854,1.115,
1993,0.027,0.28,0.218,0.039,0.034,0.053,0.374,0.52,0.583,
1994,0.068,0.497,0.107,0.033,0.112,0.009,0.257,0.46,1.008,
1995,0.045,0.576,0.083,0.014,0.089,0.161,0.254,0.4,1.0,
1996,0.186,0.42,0.116,0.022,0.185,0.093,0.192,0.3,1.555,
1997,0.026,0.446,0.047,0.024,0.052,0.065,0.331,0.609,0.498,
1998,0.125,0.682,0.128,0.023,0.11,0.044,0.471,0.318,0.143,
1999,0.305,0.416,0.058,0.053,0.087,0.018,0.162,0.46,0.649,
2000,0.051,0.245,0.082,0.019,0.01,0.033,0.196,0.042,0.617,
2001,0.065,0.5,0.063,0.008,0.041,0.023,0.314,0.042,0.515,
2002,0.034,0.449,0.167,0.03,0.068,0.084,0.325,0.56,1.544,
2003,0.04,0.424,0.083,0.006,0.139,0.02,0.236,0.52,0.672,
2004,0.331,0.558,0.126,0.02,0.027,0.053,0.313,0.46,2.313,
2005,0.314,0.499,0.08,0.015,0.093,0.078,0.138,0.104,1.136,
2006,0.178,0.398,0.082,0.021,0.156,0.032,0.242,0.52,1.768,
2007,0.085,0.252,0.15,0.053,0.114,0.01,0.495,0.32,0.234,
2008,0.116,0.568,0.315,0.023,0.034,0.051,0.313,0.4,1.877,
2009,0.053,0.51,0.087,0.012,0.095,0.029,0.279,0.48,1.265,
2010,0.266,0.374,0.159,0.025,0.066,0.062,0.307,0.083,0.545,
2011,0.336,0.498,0.098,0.008,0.066,0.022,0.114,0.28,0.513,
2012,0.129,0.459,0.056,0.007,0.124,0.044,0.203,0.32,1.119,
2013,0.095,0.418,0.153,0.013,0.017,0.008,0.267,0.396,1.086,
2014,0.119,0.424,0.143,0.067,0.03,0.062,0.145,0.58,1.357,
2015,0.098,0.531,0.169,0.036,0.086,0.022,0.653,0.167,2.636,
2016,0.092,0.671,0.139,0.024,0.043,0.065,0.385,0.3,1.45,
2017,0.074,0.657,0.187,0.018,0.03,0.09,0.49,0.146,1.471,
2018,0.121,0.489,0.143,0.041,0.023,0.02,0.389,0.083,2.571,
2019,0.03,0.361,0.083,0.059,0.083,0.066,0.338,0.44,0.944,
2020,0.06,0.567,0.081,0.008,0.037,0.008,0.218,0.25,1.667,
2021,0.201,0.45,0.09,0.024,0.046,0.09,0.259,0.167,1.683,
