Year,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,AK,HI,PR,VI
1914,74.752,59.709,88.598,50.278,33.163,3.0,-999.0,97.139,84.29,30.624,53.43,56.075,36.748,74.003,68.899,100.206,5.015,2.0,10.363,9.673,11.717,92.631,69.681,20.358,47.613,53.1,9.007,17.102,73.31,5.536,56.005,18.485,37.451,99.672,20.94,17.875,2.0,67.071,34.153,75.313,100.804,41.892,9.474,27.768,21.848,33.99,11.314,8.43,0.0,-999.0,-999.0,
1915,81.272,71.868,58.093,56.083,19.772,0.0,-999.0,101.545,86.173,28.101,9.709,13.853,2.761,18.806,30.79,100.455,0.0,0.0,5.348,0.683,1.753,86.291,20.611,7.663,9.535,54.431,3.008,14.239,62.429,3.027,47.396,7.203,6.338,55.561,22.202,6.988,0.0,63.994,2.446,46.168,95.097,40.524,3.483,21.447,27.42,10.965,1.033,4.863,1.0,-999.0,-999.0,
1916,68.499,62.389,88.977,45.715,36.868,4.0,-999.0,76.104,64.43,21.875,47.999,43.746,39.384,71.875,44.104,103.317,7.219,0.0,9.081,18.308,18.565,80.438,59.519,11.09,53.68,44.372,11.109,13.144,76.019,13.927,32.015,17.36,32.591,105.623,13.813,17.933,-999.0,39.623,34.277,48.465,122.234,31.181,15.008,13.869,17.339,17.971,23.931,9.225,3.0,-999.0,-999.0,
1917,54.571,67.764,61.374,66.973,36.805,5.0,-999.0,77.916,70.912,34.361,22.037,20.642,17.145,56.666,28.266,89.141,5.384,1.0,5.705,5.639,9.631,71.591,37.064,20.688,38.559,76.444,7.399,9.446,70.949,7.066,39.26,23.077,11.241,93.375,24.856,7.931,-999.0,49.368,25.619,32.396,117.089,47.025,7.998,13.965,24.791,20.275,8.257,9.403,0.0,-999.0,-999.0,
1918,72.3,58.644,92.003,51.912,39.436,7.0,-999.0,84.992,74.532,28.212,35.928,34.38,28.337,73.671,49.709,104.782,4.834,6.0,11.859,9.29,8.212,90.177,59.469,15.98,52.967,61.837,11.742,15.686,77.765,11.625,38.082,11.538,24.602,114.523,23.895,15.126,10.0,46.694,23.179,56.053,124.24,45.337,15.513,23.22,22.134,23.079,10.678,11.91,3.0,-999.0,-999.0,
1919,58.119,50.536,78.953,56.048,50.602,11.0,-999.0,97.712,69.993,37.276,48.632,48.283,29.749,68.459,61.095,82.964,11.349,5.0,9.855,11.548,8.175,75.125,53.832,36.014,49.93,75.968,9.066,14.804,55.429,11.469,47.33,23.081,32.475,82.545,26.037,16.067,6.0,43.376,31.007,59.784,72.964,67.726,13.542,20.358,23.01,25.94,14.307,15.241,1.0,-999.0,-999.0,
1920,42.764,53.967,60.532,50.681,30.652,-999.0,-999.0,82.836,66.368,34.316,33.383,23.148,19.196,51.706,25.957,92.912,2.721,0.0,3.408,3.069,7.798,69.094,36.736,19.15,39.234,53.981,2.017,3.956,68.364,3.382,32.693,19.6,10.946,65.408,22.566,1.411,0.0,45.671,21.274,36.057,101.804,43.587,4.007,10.668,24.67,11.579,7.486,7.133,0.0,-999.0,-999.0,
1921,84.159,53.734,98.949,59.625,37.235,-999.0,-999.0,97.859,90.649,25.129,57.321,53.239,39.06,70.625,67.706,112.997,11.231,0.0,12.567,17.732,23.911,105.608,66.881,21.735,56.423,61.452,16.633,17.305,62.969,13.973,53.809,23.839,34.675,94.182,15.467,15.887,5.0,72.597,41.28,76.035,119.912,45.644,18.513,26.127,18.779,23.474,29.369,10.376,0.0,-999.0,-999.0,
1922,67.387,78.813,87.042,63.158,48.314,1.0,-999.0,75.779,73.81,35.165,41.525,40.266,22.675,71.082,46.468,84.404,1.626,0.0,7.029,7.159,17.535,85.216,60.217,20.178,57.06,63.02,3.328,7.765,75.848,5.487,41.587,20.933,19.277,95.996,31.258,9.43,0.0,54.602,35.098,57.459,113.672,56.227,4.007,15.697,32.591,14.405,10.434,9.728,0.0,-999.0,-999.0,
1923,46.016,40.132,71.549,46.637,25.993,2.0,-999.0,70.936,61.598,25.879,35.534,27.606,24.541,49.951,39.349,77.091,5.386,0.0,12.747,7.64,14.572,64.526,47.041,12.851,30.073,51.817,7.678,16.453,63.769,6.747,44.843,12.348,20.07,83.466,21.242,13.365,7.0,53.862,19.882,35.802,104.691,37.724,6.503,20.156,24.884,8.902,14.139,4.863,2.0,-999.0,-999.0,
1924,71.997,74.289,76.092,65.473,42.662,2.0,-999.0,95.404,74.509,31.827,18.175,21.246,8.724,54.839,34.047,105.143,1.902,1.0,12.359,2.091,4.759,87.954,29.35,13.668,29.106,68.823,7.232,11.499,71.01,5.42,44.512,6.727,13.654,90.285,23.624,7.298,2.0,56.188,15.28,50.964,107.484,58.861,3.502,12.953,24.24,10.342,2.289,15.241,0.0,-999.0,-999.0,
1925,110.843,51.642,108.662,50.225,37.718,5.0,-999.0,98.347,117.53,32.883,51.536,49.967,32.605,73.606,66.153,115.625,3.281,6.0,8.374,11.679,17.14,114.627,67.07,19.313,50.824,43.678,6.685,18.775,70.043,7.718,76.968,19.187,28.664,101.354,25.837,16.161,6.0,94.335,37.987,95.164,128.786,45.232,3.978,37.778,25.059,28.43,13.062,15.183,0.0,-999.0,-999.0,
1926,81.614,74.25,86.817,62.175,37.678,5.0,-999.0,89.837,83.798,34.43,31.923,29.602,22.419,69.464,46.303,114.697,2.272,5.0,6.912,5.278,11.118,99.707,48.932,20.58,47.043,62.919,3.035,12.365,69.832,5.004,64.095,18.139,13.533,88.239,27.704,8.49,4.0,69.393,35.151,63.548,105.094,55.629,1.492,24.54,24.508,19.589,6.469,10.376,0.0,-999.0,-999.0,
1927,73.145,52.369,73.318,52.114,30.6,1.0,-999.0,115.192,87.091,27.849,25.445,20.512,24.827,47.787,40.133,104.093,2.634,0.0,3.581,6.856,7.052,88.186,29.61,8.617,37.568,55.498,3.001,9.953,80.474,3.528,38.484,4.601,15.488,92.303,20.97,10.358,1.0,55.079,19.484,43.107,126.307,47.779,0.997,18.071,22.191,14.299,9.558,6.485,0.0,-999.0,-999.0,
1928,69.062,70.848,71.953,59.479,29.837,2.0,-999.0,81.107,62.876,29.861,26.163,23.135,15.651,45.575,35.452,95.376,6.576,0.0,12.04,4.211,6.428,82.96,33.019,14.974,36.524,54.537,8.216,13.9,82.788,6.435,40.923,8.641,16.714,97.519,21.072,8.03,9.0,47.942,23.926,42.878,115.144,62.836,4.998,15.167,23.188,13.535,6.439,8.106,0.0,-999.0,-999.0,
1929,76.469,59.949,80.236,59.272,37.885,2.0,-999.0,89.726,76.818,31.94,24.848,20.246,18.569,55.764,47.272,94.893,11.713,2.0,15.343,8.208,16.411,82.517,41.613,27.852,43.369,69.516,10.252,23.957,74.704,7.723,35.864,25.687,14.189,80.499,23.73,11.636,6.0,45.331,36.709,45.489,114.093,50.14,6.503,23.8,20.358,15.836,11.202,11.349,0.0,-999.0,-999.0,
1930,78.25,56.444,87.032,52.924,37.468,3.0,-999.0,85.378,81.629,30.247,46.442,43.163,39.455,64.635,62.58,86.092,7.675,14.0,12.887,13.175,23.991,82.251,60.019,26.012,42.33,46.716,7.561,25.028,83.484,9.458,63.395,24.026,36.391,90.506,18.995,23.965,4.0,66.281,38.437,62.856,111.72,49.19,2.017,65.665,21.858,44.768,23.233,11.792,0.0,-999.0,-999.0,
1931,86.445,60.832,80.625,70.8,59.922,7.0,-999.0,94.916,101.8,39.63,54.588,49.47,51.765,79.673,72.903,99.704,10.062,12.0,13.72,23.794,30.268,90.451,65.367,30.657,70.24,62.717,10.959,25.814,91.304,11.734,67.417,30.805,38.291,108.465,27.004,25.856,14.0,81.88,61.049,78.321,121.111,68.239,9.008,34.56,27.875,37.366,34.3,22.555,0.0,-999.0,-999.0,
1932,70.932,67.125,83.848,57.928,47.066,0.0,-999.0,94.019,74.745,24.932,35.718,30.119,25.68,62.763,49.94,94.872,3.919,2.0,3.881,8.169,16.631,75.372,53.835,19.159,47.224,59.639,4.935,21.915,74.095,4.066,57.125,18.127,24.096,70.952,17.323,14.545,0.0,60.075,37.082,63.309,91.097,54.01,1.502,30.069,21.244,22.756,15.422,15.889,0.0,-999.0,-999.0,
1933,90.655,77.717,85.707,58.506,49.856,10.0,-999.0,101.542,91.772,35.867,59.381,54.515,45.287,83.564,55.197,100.458,4.104,5.0,15.438,19.345,27.172,89.339,66.152,29.731,66.274,63.113,12.379,26.3,78.508,15.347,68.238,31.797,38.374,109.794,20.003,25.127,5.0,87.295,56.749,67.281,125.179,67.767,11.959,25.986,23.552,21.459,25.143,18.957,0.0,-999.0,-999.0,
1934,74.85,65.221,98.705,61.394,64.158,3.0,-999.0,89.916,76.765,36.551,65.193,56.296,58.724,92.778,51.885,101.876,2.818,8.0,7.326,17.989,26.522,85.138,78.252,26.342,81.043,69.434,8.233,23.467,112.095,13.079,54.72,37.808,45.532,102.895,18.757,28.229,1.0,68.537,60.213,62.803,132.681,72.991,7.959,38.625,25.984,38.984,27.558,19.369,2.0,-999.0,-999.0,
1935,77.031,61.522,74.419,54.583,50.654,0.0,-999.0,98.141,68.545,28.013,37.629,34.146,34.224,66.083,45.888,86.588,9.881,2.0,8.87,7.041,15.819,74.934,50.788,21.651,55.11,61.833,9.604,19.727,74.183,6.529,43.032,19.544,19.486,75.495,23.584,11.313,2.0,54.856,48.84,55.969,92.427,63.582,7.493,19.022,24.218,17.327,12.294,12.116,0.0,-999.0,-999.0,
