 Year,National,#grids
1900,    25.901,       334
1901,    29.541,       346
1902,    28.193,       364
1903,    29.253,       374
1904,    31.490,       375
1905,    30.029,       388
1906,    26.159,       385
1907,    23.642,       384
1908,    21.237,       386
1909,    29.816,       392
1910,    27.692,       385
1911,    23.539,       395
1912,    32.010,       397
1913,    25.881,       396
1914,    29.465,       397
1915,    24.607,       399
1916,    33.775,       397
1917,    33.475,       399
1918,    28.493,       394
1919,    27.125,       396
1920,    29.090,       398
1921,    19.241,       396
1922,    27.165,       400
1923,    21.999,       401
1924,    31.983,       403
1925,    24.705,       401
1926,    26.641,       401
1927,    24.321,       398
1928,    19.690,       399
1929,    33.322,       402
1930,    28.088,       401
1931,    14.099,       407
1932,    28.754,       406
1933,    20.074,       405
1934,    22.690,       405
1935,    26.224,       406
1936,    33.357,       404
1937,    32.681,       404
1938,    22.041,       405
1939,    20.653,       406
1940,    33.899,       406
1941,    23.924,       407
1942,    26.570,       410
1943,    25.493,       406
1944,    24.587,       404
1945,    28.689,       404
1946,    18.123,       398
1947,    28.051,       396
1948,    31.925,       398
1949,    26.405,       399
1950,    30.961,       405
1951,    31.284,       405
1952,    24.867,       403
1953,    17.426,       408
1954,    19.565,       407
1955,    32.932,       405
1956,    25.358,       403
1957,    22.716,       405
1958,    29.243,       401
1959,    25.505,       405
1960,    35.481,       406
1961,    23.502,       403
1962,    29.601,       409
1963,    33.493,       405
1964,    24.093,       405
1965,    26.354,       406
1966,    30.163,       407
1967,    24.705,       407
1968,    28.435,       404
1969,    31.107,       407
1970,    29.596,       404
1971,    29.264,       405
1972,    30.872,       404
1973,    24.186,       399
1974,    23.461,       400
1975,    28.607,       397
1976,    25.832,       403
1977,    32.427,       403
1978,    42.259,       398
1979,    34.332,       397
1980,    29.380,       398
1981,    22.051,       402
1982,    30.563,       401
1983,    28.219,       397
1984,    25.066,       400
1985,    38.362,       397
1986,    23.185,       401
1987,    18.547,       399
1988,    27.617,       398
1989,    33.939,       402
1990,    17.428,       400
1991,    24.129,       398
1992,    20.789,       401
1993,    31.333,       400
1994,    27.184,       400
1995,    30.634,       398
1996,    34.157,       400
1997,    27.595,       402
1998,    18.541,       399
1999,    17.603,       397
2000,    29.468,       394
2001,    24.158,       397
2002,    21.063,       398
2003,    29.174,       393
2004,    24.021,       395
2005,    27.563,       380
2006,    16.152,       390
2007,    31.777,       385
2008,    30.575,       378
2009,    30.496,       377
2010,    33.888,       376
2011,    27.414,       374
2012,    17.522,       370
2013,    33.455,       359
2014,    37.148,       357
2015,    28.822,       351
2016,    24.343,       357
2017,    26.174,       345
2018,    30.386,       338
