Year,National
1950,2.515
1951,3.795
1952,5.075
1953,4.708
1954,5.351
1955,3.636
1956,3.093
1957,3.531
1958,4.009
1959,3.664
1960,3.529
1961,2.737
1962,2.975
1963,3.214
1964,3.678
1965,2.222
1966,3.757
1967,2.538
1968,2.615
1969,4.815
1970,4.024
1971,2.789
1972,2.847
1973,2.979
1974,2.761
1975,2.571
1976,2.116
1977,4.069
1978,3.935
1979,3.028
1980,6.483
1981,4.805
1982,3.148
1983,4.581
1984,3.176
1985,3.207
1986,4.103
1987,4.139
1988,5.178
1989,3.68
1990,4.56
1991,4.075
1992,3.223
1993,4.114
1994,3.549
1995,5.396
1996,4.391
1997,4.41
1998,7.5
1999,5.999
2000,5.122
2001,5.387
2002,5.034
2003,4.95
2004,3.955
2005,5.967
2006,5.929
2007,5.173
2008,4.433
2009,5.105
2010,9.117
2011,8.424
2012,6.612
2013,4.953
2014,4.482
2015,6.661
2016,7.544
2017,5.49
2018,5.414
2019,5.426
2020,5.71
2021,5.017
