Year,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,AK,HI,PR,VI
1950,2.041,15.397,2.744,14.233,0.09,0.181,0.32,25.821,3.547,0.031,1.282,0.657,0.355,2.045,0.674,7.714,0.004,1.759,0.033,0.033,0.09,3.479,1.331,0.0,0.573,3.463,0.0,1.117,0.294,0.344,2.367,0.0,0.113,4.21,0.013,0.345,0.048,9.368,0.168,1.365,16.226,0.523,0.0,1.657,0.003,0.044,0.036,0.0,0.0,16.672,47.431,
1951,7.899,17.286,8.471,14.081,0.004,0.181,0.856,35.233,5.248,0.038,0.798,1.168,0.589,2.87,1.144,23.074,0.004,1.922,0.033,0.072,0.032,9.568,1.919,0.013,0.469,3.483,0.0,1.37,1.112,0.347,3.086,0.0,0.362,13.937,0.005,0.295,0.663,10.078,0.126,2.179,30.787,1.026,0.0,1.93,0.019,0.045,0.056,0.0,0.0,18.848,-999.0,
1952,10.409,16.217,10.573,13.961,0.061,0.36,5.011,35.082,11.008,0.042,6.392,4.348,1.992,11.33,7.901,17.49,0.004,4.192,0.381,0.414,0.139,10.434,6.05,0.0,1.613,3.201,0.0,3.014,0.63,0.697,7.218,0.0,1.248,23.151,0.031,1.43,0.469,16.731,0.374,5.47,27.004,0.932,0.25,3.919,0.064,0.626,0.26,0.0,0.0,12.976,42.898,
1953,5.362,17.431,10.746,13.8,0.026,0.316,2.271,36.53,5.829,0.02,4.518,2.182,2.5,7.537,3.768,17.522,0.003,2.377,0.215,0.368,0.56,13.692,6.447,0.009,2.302,3.756,0.0,1.171,1.087,0.616,3.931,0.052,0.559,19.418,0.019,0.603,0.048,11.428,0.696,3.568,32.384,0.96,0.25,2.574,0.023,0.086,0.673,0.0,0.0,13.94,54.289,
1954,8.553,16.465,17.269,13.985,0.239,0.181,0.32,40.633,8.566,0.02,3.915,2.158,2.171,12.703,4.679,14.557,0.0,1.786,0.046,0.032,0.152,16.342,10.277,0.013,2.011,3.542,0.0,1.344,0.696,0.367,3.66,0.053,0.316,25.78,0.018,0.394,0.048,14.781,0.245,6.129,27.251,1.423,0.0,2.676,0.009,0.027,0.113,0.167,0.0,16.956,56.31,
1955,2.047,14.684,4.784,13.965,0.013,0.585,8.346,27.924,2.041,0.03,3.69,2.235,6.057,6.842,1.48,7.431,0.0,6.097,0.795,0.474,1.16,4.53,3.677,0.033,4.522,3.363,0.0,5.738,0.255,1.265,3.39,0.026,0.732,13.042,0.052,0.927,0.048,8.967,1.677,2.528,18.734,0.987,0.0,2.791,0.03,0.099,0.937,0.0,0.0,9.59,53.052,
1956,1.919,15.616,7.435,14.104,0.003,0.181,0.856,26.717,2.618,0.009,1.658,1.636,0.892,6.029,2.053,5.101,0.0,1.75,0.071,0.036,0.141,5.468,3.655,0.0,0.794,3.356,0.0,1.247,0.445,0.399,2.823,0.026,0.384,20.116,0.064,0.326,0.048,8.535,0.201,2.136,24.619,0.825,0.0,1.695,0.07,0.134,0.104,0.0,0.0,13.156,28.536,
1957,3.126,19.403,8.055,13.866,0.017,0.181,2.107,38.437,3.312,0.01,1.341,0.314,1.569,4.525,0.853,19.364,0.0,2.638,0.071,0.092,0.205,7.76,3.275,0.009,1.172,3.525,0.0,1.271,0.709,0.454,2.37,0.026,0.15,13.945,0.007,0.306,0.048,8.586,0.379,1.527,26.081,1.095,0.0,2.663,0.009,0.004,0.12,0.016,0.0,15.865,40.298,
1958,3.94,19.132,6.897,14.926,0.026,0.181,0.052,40.625,3.674,0.021,0.484,0.441,0.459,2.366,0.757,17.008,0.0,1.927,0.313,0.058,0.093,6.852,1.58,0.0,0.395,3.76,0.0,0.832,0.681,0.372,3.722,0.025,0.121,10.598,0.038,0.287,0.048,12.173,0.374,2.308,25.846,1.059,0.0,1.934,0.08,0.004,0.111,0.0,0.0,15.947,49.84,
1959,2.08,18.511,4.577,15.38,0.023,0.181,1.124,31.909,3.202,0.071,2.11,1.272,1.416,4.062,1.011,10.103,0.0,4.627,0.36,0.597,0.32,4.566,1.885,0.0,0.991,3.645,0.0,2.323,0.331,0.922,3.019,0.104,0.601,7.789,0.087,0.748,0.048,7.918,0.42,1.245,18.105,0.991,0.0,3.58,0.087,0.04,0.348,0.0,0.0,22.778,32.658,
1960,3.119,17.51,5.952,15.751,0.017,0.181,0.708,32.71,2.586,0.06,0.735,0.618,0.557,2.291,0.864,9.541,0.0,1.197,0.168,0.063,0.14,5.388,1.358,0.052,0.469,3.814,0.0,1.248,0.446,0.355,2.632,0.053,0.172,7.773,0.018,0.305,0.048,7.675,0.636,1.984,19.964,1.131,0.0,1.729,0.071,0.0,0.103,0.016,0.0,20.447,31.49,
1961,1.357,18.101,2.222,16.041,0.003,0.435,0.052,30.304,1.861,0.042,0.96,0.555,0.396,2.1,0.827,4.117,0.0,1.54,0.046,0.072,0.063,1.984,1.634,0.04,0.544,3.781,0.0,1.586,0.248,0.483,2.961,0.051,0.208,4.306,0.124,0.306,0.048,7.083,0.178,1.219,14.279,1.375,0.0,1.996,0.151,0.004,0.08,0.0,0.0,17.995,33.895,
