Year,Northeast,Southeast,Midwest,Northern Great Plains,Northwest,Southwest,Southern Great Plains,Alaska,Hawaii,Puerto Rico
1950,8.712,14.74,8.422,2.245,7.289,2.583,7.993,9.167,16.735,
1951,9.289,13.868,8.561,2.983,6.273,2.774,7.919,8.841,18.245,
1952,9.129,12.755,6.201,1.715,3.108,2.981,5.849,11.042,12.778,
1953,9.027,14.896,5.213,2.738,6.956,1.639,6.823,9.887,6.843,
1954,9.199,10.627,7.433,2.201,5.617,2.693,5.597,9.387,17.291,
1955,8.045,12.468,6.113,2.029,6.216,2.553,6.744,10.273,14.811,
1956,6.917,12.886,5.937,1.879,5.855,1.557,4.148,11.32,18.607,
1957,5.9,17.155,8.145,2.913,4.888,2.782,11.053,8.458,13.789,
1958,9.158,14.092,6.749,1.973,5.902,3.103,8.627,10.3,13.198,
1959,8.29,15.27,8.241,2.181,5.557,2.079,9.504,10.66,12.27,
1960,8.262,13.578,6.952,2.229,5.433,2.438,8.629,10.987,14.212,
1961,7.862,16.39,7.946,2.102,6.444,1.799,9.605,11.753,11.917,
1962,8.144,13.874,6.204,3.564,4.919,2.465,7.272,11.59,10.671,
1963,6.631,11.715,5.419,2.302,5.042,2.592,5.555,12.743,16.196,
1964,5.834,17.07,6.641,3.08,6.545,2.16,7.385,8.457,17.671,
1965,4.588,12.959,8.373,2.936,4.859,3.054,8.465,11.16,18.468,
1966,6.698,14.961,6.632,2.241,5.26,2.272,7.011,10.979,12.951,
1967,8.281,14.01,7.03,2.367,5.504,2.88,8.075,11.062,19.618,
1968,7.775,13.288,7.98,2.869,6.479,2.065,9.41,9.907,17.397,
1969,9.115,14.971,7.265,2.55,4.979,3.593,9.412,9.88,20.936,
1970,8.021,13.878,7.867,2.518,6.269,2.97,7.105,11.051,17.438,
1971,7.879,14.707,6.83,3.036,6.47,1.976,8.351,10.862,13.726,
1972,10.787,15.796,7.937,2.402,6.278,2.399,7.78,9.636,13.34,
1973,9.945,18.052,9.109,3.154,5.498,2.835,11.589,8.928,12.205,
1974,8.09,15.378,6.876,1.823,6.755,2.482,9.406,11.435,15.008,
1975,10.26,17.253,7.682,2.834,7.181,2.133,7.875,10.261,12.593,
1976,9.555,13.561,5.059,1.813,3.572,1.518,8.303,13.18,12.683,
1977,10.423,14.465,8.184,3.418,5.409,2.083,7.617,9.64,11.213,
1978,8.545,14.216,7.65,2.87,3.329,3.572,7.297,10.36,15.583,
1979,10.72,19.249,8.169,2.392,5.117,2.713,9.265,10.64,16.574,
1980,6.98,13.457,6.239,2.263,5.752,2.857,6.881,11.72,18.972,
1981,7.616,11.84,8.078,2.543,6.052,2.932,9.385,12.547,10.283,
1982,7.927,16.214,8.677,3.675,6.886,3.594,8.089,8.133,26.589,
1983,12.253,18.171,8.08,2.474,6.855,4.478,7.555,8.653,7.289,
1984,9.164,15.88,8.15,2.603,5.779,2.343,7.679,10.3,10.611,
1985,7.122,14.325,9.595,2.342,3.089,2.255,10.143,10.68,12.429,
1986,8.342,12.934,8.296,3.215,5.537,3.003,10.424,12.72,14.214,
1987,8.144,14.367,6.505,2.617,4.425,2.276,9.585,13.875,17.315,
1988,7.215,13.176,6.094,2.08,4.974,2.186,6.212,12.042,15.054,
1989,9.714,17.069,6.346,1.987,3.836,1.692,8.382,11.14,23.791,
1990,10.744,16.391,10.349,2.06,6.609,1.858,9.426,11.486,19.987,
1991,7.978,17.82,7.987,2.809,5.401,2.753,10.423,13.924,14.3,
1992,7.847,15.561,7.371,2.493,4.595,2.848,10.363,13.479,14.453,
1993,8.507,14.032,9.446,3.973,3.673,3.151,9.009,10.48,9.865,
1994,9.41,17.298,7.351,2.621,5.403,1.979,8.944,12.027,16.693,
1995,7.8,15.95,7.972,3.243,7.469,3.512,9.094,9.033,10.192,
1996,12.793,16.126,8.818,2.841,9.291,3.617,8.476,9.22,18.378,
1997,6.509,15.588,6.655,3.105,6.784,2.693,10.646,10.406,16.117,
1998,9.46,16.409,9.091,3.476,6.968,3.81,9.209,10.364,8.792,
1999,8.961,13.231,7.56,2.998,7.052,2.458,8.131,11.94,11.687,
2000,9.056,12.725,7.999,2.593,3.696,2.496,8.536,8.5,9.495,
2001,6.304,14.969,8.281,2.831,4.627,2.333,8.993,7.625,9.349,
2002,9.237,16.409,8.094,1.874,5.347,2.075,9.315,11.42,12.216,
2003,12.374,16.853,7.49,1.804,5.498,2.046,7.129,10.1,10.469,
2004,9.854,16.62,8.51,2.716,4.434,3.098,11.231,11.94,19.151,
2005,11.355,13.598,7.126,3.337,5.71,3.342,6.787,8.993,13.982,
2006,11.712,14.841,8.164,2.348,7.668,2.702,7.525,10.18,17.377,
2007,9.627,11.774,8.373,3.78,5.101,2.067,11.401,9.62,10.039,
2008,10.447,14.702,10.134,3.435,3.81,2.359,8.971,12.1,10.221,
2009,9.63,18.494,8.925,2.493,4.761,1.849,9.187,10.22,13.352,
2010,10.836,12.812,9.235,3.68,6.03,3.514,8.69,5.993,7.519,
2011,12.691,15.005,8.992,3.573,5.551,1.91,5.003,10.78,12.449,
2012,8.531,13.768,6.251,1.351,7.665,2.193,6.931,9.3,6.0,
2013,9.431,18.151,9.01,3.946,3.87,1.536,8.108,11.812,11.635,
2014,9.655,15.365,8.808,3.127,7.57,2.62,7.67,10.113,13.992,
2015,8.379,17.562,10.365,3.167,6.719,2.22,12.5,10.146,19.732,
2016,7.688,14.762,8.312,3.459,6.148,2.787,9.688,10.1,14.288,
2017,9.666,15.604,8.532,2.631,6.856,3.262,10.07,8.042,12.657,
2018,13.079,19.115,10.305,3.129,4.485,2.246,10.643,7.542,20.757,
2019,9.938,17.398,10.965,4.282,3.557,3.249,9.806,10.773,12.037,
2020,8.661,18.716,8.508,1.947,4.905,1.052,8.118,6.75,12.833,
