Year,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,AK,HI,PR,VI
1950,0.465,0.001,0.341,0.309,0.0,0.333,0.0,0.62,0.328,0.0,0.067,0.153,0.181,0.155,0.023,0.809,0.179,0.133,0.051,0.022,0.072,0.575,0.062,0.0,0.065,0.0,0.035,0.15,0.017,0.025,0.351,0.0,0.024,0.393,0.138,0.09,0.0,0.184,0.022,0.1,0.188,0.0,0.008,0.081,0.056,0.019,0.13,0.0,0.313,1.265,0.373,
1951,0.754,0.052,0.167,0.112,0.039,0.0,0.0,0.601,0.079,0.0,0.283,0.063,0.137,0.268,0.185,0.354,0.0,0.067,0.052,0.012,0.072,0.606,0.067,0.001,0.044,0.0,0.0,0.05,0.0,0.026,0.176,0.0,0.001,0.222,0.027,0.0,0.0,0.09,0.0,0.183,0.168,0.0,0.008,0.04,0.152,0.02,0.064,0.0,0.523,1.524,-999.0,
1952,0.142,0.0,0.288,0.202,0.0,0.167,0.667,0.24,0.087,0.0,0.072,0.047,0.093,0.004,0.107,0.553,0.0,0.206,0.001,0.012,0.035,0.081,0.03,0.001,0.029,0.0,0.035,0.372,0.007,0.088,0.171,0.057,0.014,0.166,0.017,0.147,0.487,0.129,0.014,0.087,0.28,0.0,0.004,0.038,0.001,0.0,0.031,0.0,0.52,1.147,0.709,
1953,0.612,0.0,0.125,0.103,0.0,0.0,0.0,0.94,0.48,0.0,0.049,0.038,0.069,0.056,0.0,1.507,0.0,0.201,0.167,0.0,0.081,0.494,0.018,0.0,0.009,0.0,0.0,0.3,0.0,0.06,0.275,0.0,0.0,0.361,0.175,0.0,0.487,0.193,0.01,0.046,0.264,0.0,0.004,0.075,0.113,0.0,0.042,0.0,0.316,0.682,0.354,
1954,0.188,0.008,0.172,0.147,0.0,0.167,0.0,0.491,0.065,0.0,0.114,0.06,0.222,0.021,0.014,0.347,0.5,0.2,0.783,0.03,0.053,0.485,0.05,0.0,0.029,0.0,0.571,0.095,0.055,0.175,0.293,0.0,0.08,0.083,0.037,0.252,0.987,0.217,0.01,0.041,0.126,0.0,0.004,0.287,0.151,0.183,0.025,0.0,0.465,2.036,0.929,
1955,0.584,0.0,0.245,0.339,0.0,1.583,0.0,0.238,0.088,0.0,0.062,0.074,0.023,0.146,0.016,1.08,0.0,0.7,0.617,0.046,0.09,0.664,0.143,0.0,0.015,0.0,0.107,0.53,0.045,0.248,0.698,0.0,0.023,0.342,0.126,0.208,0.487,0.055,0.0,0.098,0.188,0.0,0.0,0.349,0.182,0.092,0.042,0.0,0.404,1.711,0.006,
1956,0.698,0.0,0.111,0.186,0.0,0.0,0.0,0.515,0.455,0.0,0.048,0.069,0.011,0.026,0.074,0.619,0.0,0.3,0.0,0.001,0.024,0.411,0.11,0.0,0.043,0.0,0.0,0.1,0.0,0.0,0.139,0.018,0.0,0.011,0.055,0.014,0.0,0.057,0.02,0.326,0.088,0.0,0.0,0.156,0.068,0.019,0.038,0.0,0.416,1.623,0.451,
1957,0.757,0.0,0.789,0.119,0.04,0.0,0.0,0.626,0.284,0.0,0.176,0.155,0.014,0.144,0.24,0.568,0.0,0.0,0.0,0.058,0.104,0.516,0.265,0.0,0.049,0.0,0.0,0.0,0.0,0.008,0.161,0.023,0.022,0.366,0.068,0.011,0.0,0.162,0.057,0.305,0.577,0.0,0.0,0.188,0.013,0.0,0.023,0.0,0.491,1.367,0.267,
1958,0.107,0.0,0.339,0.083,0.008,0.0,0.333,0.49,0.125,0.0,0.09,0.161,0.08,0.248,0.0,0.55,0.045,0.133,0.0,0.019,0.025,0.334,0.298,0.0,0.095,0.0,0.0,0.486,0.017,0.0,0.291,0.001,0.009,0.214,0.0,0.033,0.0,0.092,0.01,0.024,0.322,0.0,0.0,0.158,0.114,0.015,0.125,0.0,0.51,1.104,0.874,
1959,0.178,0.046,0.194,0.136,0.008,0.167,0.0,0.776,0.292,0.0,0.089,0.095,0.129,0.086,0.0,0.636,0.044,0.167,0.083,0.093,0.085,0.344,0.1,0.0,0.023,0.0,0.154,0.286,0.0,0.035,0.245,0.001,0.064,0.418,0.059,0.019,0.0,0.759,0.0,0.014,0.292,0.0,0.0,0.155,0.25,0.049,0.084,0.0,0.411,1.064,0.199,
1960,0.247,0.0,0.258,0.095,0.0,0.583,1.0,0.731,0.108,0.0,0.016,0.075,0.029,0.046,0.146,0.242,0.044,0.5,0.292,0.0,0.031,0.289,0.028,0.0,0.019,0.0,0.214,0.536,0.036,0.08,0.442,0.0,0.0,0.282,0.1,0.136,0.333,0.152,0.0,0.128,0.359,0.0,0.0,0.2,0.005,0.0,0.059,0.0,0.499,1.36,1.008,
1961,1.209,0.0,0.33,0.035,0.0,0.083,0.0,0.11,0.426,0.0,0.326,0.131,0.292,0.507,0.094,0.694,0.094,0.0,0.05,0.0,0.02,0.823,0.359,0.005,0.021,0.0,0.0,0.0,0.001,0.026,0.12,0.0,0.0,0.321,0.24,0.0,0.667,0.257,0.009,0.136,0.465,0.0,0.0,0.168,0.088,0.033,0.054,0.0,0.466,0.469,0.973,
1962,0.34,0.021,0.094,0.279,0.0,0.083,0.0,0.303,0.286,0.0,0.088,0.013,0.223,0.084,0.125,0.376,0.091,0.1,0.617,0.0,0.14,0.277,0.029,0.0,0.044,0.0,0.143,0.0,0.0,0.003,0.268,0.0,0.017,0.045,0.008,0.014,0.333,0.074,0.0,0.351,0.06,0.0,0.05,0.046,0.18,0.0,0.025,0.0,0.455,0.839,0.133,
1963,0.239,0.001,0.174,0.259,0.0,0.0,0.0,0.751,0.173,0.0,0.007,0.0,0.077,0.086,0.193,0.133,0.0,0.0,0.0,0.006,0.068,0.1,0.094,0.0,0.078,0.0,0.0,0.0,0.019,0.0,0.145,0.022,0.058,0.122,0.036,0.0,0.0,0.605,0.01,0.224,0.083,0.004,0.0,0.221,0.057,0.015,0.0,0.0,0.461,1.257,0.739,
1964,0.73,0.014,0.368,0.241,0.016,0.0,0.0,1.159,0.929,0.0,0.008,0.281,0.181,0.177,0.406,0.925,0.0,0.1,0.0,0.0,0.02,0.596,0.222,0.023,0.02,0.0,0.0,0.0,0.0,0.0,0.652,0.011,0.116,0.155,0.154,0.005,0.0,1.167,0.02,0.24,0.228,0.0,0.0,0.308,0.049,0.045,0.078,0.015,0.394,0.953,0.0,
1965,0.527,0.0,0.608,0.09,0.016,0.083,0.0,0.513,0.145,0.0,0.131,0.041,0.051,0.161,0.198,0.45,0.0,0.1,0.0,0.013,0.005,0.173,0.199,0.0,0.072,0.0,0.0,0.0,0.029,0.026,0.289,0.04,0.017,0.284,0.064,0.0,0.0,0.379,0.005,0.131,0.252,0.0,0.0,0.074,0.134,0.0,0.058,0.0,0.533,1.882,1.153,
1966,0.171,0.0,0.565,0.217,0.013,0.0,0.0,0.551,0.257,0.0,0.028,0.018,0.036,0.037,0.0,0.832,0.068,0.333,0.0,0.0,0.049,0.492,0.126,0.0,0.078,0.0,0.035,0.349,0.041,0.053,0.263,0.055,0.063,0.13,0.011,0.097,0.0,0.198,0.013,0.116,0.284,0.0,0.0,0.148,0.048,0.0,0.04,0.0,0.497,0.706,0.181,
1967,0.421,0.016,0.138,0.122,0.0,0.0,0.333,0.417,0.177,0.0,0.074,0.09,0.114,0.147,0.062,0.865,0.044,0.006,0.067,0.013,0.007,0.623,0.087,0.012,0.029,0.0,0.0,0.85,0.0,0.007,0.21,0.0,0.017,0.22,0.0,0.055,0.0,0.38,0.01,0.199,0.394,0.0,0.0,0.056,0.1,0.0,0.039,0.0,0.276,1.803,0.127,
1968,0.143,0.0,0.339,0.054,0.008,0.0,0.0,0.648,0.049,0.0,0.16,0.069,0.118,0.149,0.019,0.115,0.0,0.006,0.212,0.094,0.079,0.219,0.153,0.0,0.09,0.0,0.109,0.297,0.0,0.044,0.159,0.023,0.061,0.107,0.048,0.08,0.0,0.336,0.001,0.169,0.237,0.019,0.0,0.141,0.132,0.0,0.017,0.0,0.427,2.137,0.42,
1969,0.546,0.0,0.394,0.363,0.008,0.083,1.0,0.818,0.446,0.0,0.148,0.013,0.061,0.163,0.146,0.714,0.205,0.4,0.292,0.0,0.0,0.641,0.371,0.0,0.036,0.0,0.305,0.3,0.034,0.018,0.355,0.01,0.187,0.196,0.032,0.177,0.333,0.304,0.0,0.271,0.246,0.0,0.0,0.222,0.026,0.045,0.022,0.0,0.438,1.59,0.841,
1970,0.794,0.048,0.346,0.162,0.0,0.0,0.0,0.736,0.212,0.0,0.105,0.077,0.195,0.064,0.073,0.285,0.045,0.067,0.0,0.077,0.015,0.339,0.156,0.0,0.026,0.019,0.14,0.0,0.012,0.0,0.218,0.012,0.0,0.256,0.02,0.028,0.0,0.339,0.0,0.348,0.259,0.0,0.0,0.073,0.04,0.0,0.019,0.0,0.287,1.082,2.339,
1971,0.272,0.0,0.357,0.051,0.0,0.5,1.0,0.228,0.268,0.0,0.067,0.031,0.04,0.058,0.042,0.424,0.0,0.3,0.042,0.0,0.02,0.395,0.101,0.012,0.013,0.0,0.0,0.54,0.009,0.157,0.348,0.011,0.029,0.315,0.044,0.274,0.0,0.165,0.071,0.179,0.334,0.0,0.05,0.032,0.129,0.0,0.0,0.0,0.378,1.56,0.015,
1972,0.536,0.0,0.342,0.048,0.0,0.851,0.333,0.717,0.373,0.0,0.067,0.0,0.234,0.112,0.177,0.527,0.003,0.362,0.15,0.09,0.031,0.327,0.06,0.023,0.047,0.0,0.0,0.24,0.007,0.193,0.206,0.0,0.042,0.244,0.104,0.395,0.333,0.11,0.024,0.132,0.165,0.0,0.0,0.624,0.211,0.015,0.078,0.0,0.488,1.183,0.401,
1973,0.53,0.0,0.721,0.138,0.0,0.014,0.0,0.347,0.229,0.0,0.132,0.078,0.185,0.393,0.219,1.479,0.123,0.1,0.299,0.0,0.061,1.145,0.58,0.008,0.094,0.0,0.301,0.27,0.0,0.0,0.326,0.031,0.041,0.345,0.019,0.125,0.333,0.816,0.013,0.872,0.472,0.0,0.0,0.038,0.036,0.015,0.018,0.0,0.234,1.155,1.093,
1974,0.531,0.0,0.708,0.145,0.0,0.083,0.333,0.462,0.033,0.0,0.086,0.025,0.1,0.155,0.104,0.659,0.006,0.0,0.025,0.038,0.019,0.702,0.11,0.005,0.038,0.0,0.0,0.1,0.011,0.034,0.092,0.023,0.006,0.613,0.079,0.0,0.0,0.131,0.022,0.182,0.386,0.0,0.0,0.044,0.016,0.0,0.045,0.0,0.534,0.913,0.487,
1975,1.044,0.0,0.283,0.102,0.039,0.083,0.333,0.498,0.171,0.0,0.031,0.09,0.024,0.08,0.26,0.621,0.001,0.567,0.0,0.087,0.063,0.627,0.191,0.008,0.005,0.0,0.0,0.04,0.0,0.151,0.15,0.033,0.044,0.275,0.035,0.157,0.0,0.184,0.013,0.897,0.239,0.0,0.011,0.142,0.206,0.023,0.072,0.0,0.306,1.037,1.159,
1976,0.379,0.0,0.131,0.045,0.0,0.25,0.0,0.428,0.385,0.0,0.027,0.014,0.041,0.118,0.043,0.101,0.0,0.067,0.042,0.032,0.005,0.078,0.184,0.006,0.005,0.0,0.036,0.0,0.007,0.026,0.339,0.001,0.067,0.057,0.0,0.027,0.333,0.523,0.034,0.095,0.236,0.0,0.1,0.15,0.048,0.023,0.02,0.016,0.511,1.014,0.147,
1977,0.424,0.0,0.339,0.067,0.009,0.25,0.0,0.406,0.317,0.0,0.144,0.018,0.216,0.279,0.154,0.911,0.002,0.0,0.25,0.007,0.07,0.654,0.161,0.0,0.101,0.0,0.036,0.04,0.041,0.123,0.487,0.061,0.013,0.335,0.036,0.065,0.0,0.324,0.031,0.223,0.217,0.0,0.05,0.082,0.097,0.001,0.084,0.0,0.366,0.873,0.572,
1978,0.797,0.015,0.403,0.181,0.0,0.0,0.0,0.721,0.109,0.0,0.052,0.167,0.206,0.07,0.44,0.806,0.003,0.0,0.275,0.065,0.207,0.343,0.132,0.003,0.056,0.0,0.0,0.0,0.009,0.015,0.056,0.0,0.0,0.147,0.0,0.006,0.0,0.203,0.0,0.23,0.216,0.011,0.0,0.039,0.026,0.047,0.187,0.0,0.459,1.381,0.62,
1979,1.352,0.0,0.172,0.109,0.008,0.25,0.0,0.771,0.461,0.0,0.17,0.185,0.162,0.171,0.383,1.286,0.003,0.267,0.027,0.0,0.0,1.526,0.206,0.0,0.009,0.0,0.0,0.04,0.0,0.085,0.628,0.015,0.159,0.308,0.0,0.136,0.667,0.691,0.005,0.436,0.46,0.0,0.0,0.369,0.234,0.019,0.023,0.0,0.4,2.074,1.381,
1980,0.69,0.0,0.262,0.208,0.0,0.25,0.0,0.27,0.136,0.0,0.021,0.113,0.173,0.082,0.015,1.261,0.003,0.1,0.0,0.033,0.038,1.052,0.011,0.0,0.009,0.0,0.0,0.05,0.072,0.026,0.125,0.0,0.016,0.413,0.091,0.0,0.0,0.092,0.014,0.267,0.393,0.004,0.002,0.06,0.144,0.0,0.104,0.0,0.365,1.748,0.15,
1981,0.682,0.0,0.23,0.148,0.035,0.0,0.0,0.324,0.439,0.0,0.118,0.081,0.136,0.124,0.015,0.33,0.103,0.0,0.083,0.127,0.054,0.173,0.2,0.0,0.036,0.0,0.036,0.0,0.076,0.027,0.392,0.0,0.097,0.367,0.182,0.094,0.0,0.115,0.06,0.002,0.455,0.0,0.05,0.053,0.05,0.0,0.117,0.0,0.432,0.687,0.787,
1982,0.354,0.0,0.75,0.297,0.0,0.667,0.0,0.74,0.286,0.0,0.253,0.083,0.123,0.074,0.125,1.278,0.0,0.0,0.0,0.026,0.0,1.047,0.547,0.0,0.051,0.056,0.0,0.2,0.0,0.132,0.09,0.045,0.0,0.364,0.031,0.025,0.987,0.154,0.005,0.119,0.255,0.004,0.0,0.193,0.293,0.0,0.081,0.0,0.298,3.267,0.841,
1983,1.12,0.032,0.38,0.189,0.0,0.0,0.0,0.536,0.11,0.0,0.101,0.051,0.091,0.099,0.271,1.455,0.205,0.067,0.042,0.051,0.118,1.46,0.131,0.0,0.068,0.0,0.0,0.1,0.029,0.096,0.204,0.0,0.008,0.408,0.029,0.056,0.987,0.18,0.014,0.294,0.253,0.0,0.0,0.053,0.087,0.0,0.056,0.0,0.354,0.376,0.381,
1984,0.368,0.0,0.35,0.02,0.0,0.0,0.333,0.581,0.221,0.0,0.025,0.038,0.028,0.087,0.338,1.113,0.0,0.167,0.05,0.013,0.009,0.478,0.135,0.0,0.032,0.0,0.071,0.047,0.017,0.077,0.277,0.001,0.0,0.1,0.044,0.043,0.987,0.125,0.09,0.277,0.189,0.0,0.057,0.026,0.203,0.0,0.03,0.0,0.316,0.681,1.135,
