Year,Alaska,Hawaii,Midwest,Northeast,Northern Great Plains,Northwest,Southeast,Southern Great Plains,Southwest
1971,-999.0,-999.0,92.05,88.47,293.14,368.6,2.17,3.86,94.59
1972,-999.0,-999.0,130.08,144.59,320.81,296.75,10.5,4.31,86.96
1973,-999.0,-999.0,59.78,46.71,279.31,353.17,0.97,2.35,95.75
1974,-999.0,-999.0,128.51,113.82,305.19,302.17,11.92,7.86,85.65
1975,-999.0,-999.0,72.62,79.07,364.03,418.59,2.52,2.94,133.3
1976,-999.0,-999.0,76.07,85.54,320.69,464.86,6.6,4.23,113.7
1977,-999.0,-999.0,116.68,127.48,296.52,264.9,3.16,2.75,61.41
1978,-999.0,-999.0,93.37,94.87,345.85,303.42,1.83,1.76,94.42
1979,-999.0,-999.0,112.71,111.15,304.72,301.99,6.9,4.87,102.74
1980,-999.0,-999.0,90.12,113.56,333.79,451.63,2.83,0.39,94.85
1981,-999.0,-999.0,88.89,86.03,314.61,350.14,1.35,3.5,63.77
1982,-999.0,-999.0,164.56,169.5,360.21,313.88,6.34,10.72,119.83
1983,-999.0,-999.0,55.13,64.89,287.6,387.87,4.07,5.68,113.11
1984,-999.0,-999.0,63.75,68.72,282.88,378.34,0.97,2.16,100.61
1985,-999.0,-999.0,155.99,145.65,351.58,279.89,3.52,7.59,73.2
1986,-999.0,-999.0,112.6,138.1,268.26,258.56,1.76,3.86,72.21
1987,-999.0,-999.0,51.59,87.98,312.57,291.79,0.53,2.35,93.25
1988,-999.0,-999.0,31.42,77.42,156.86,302.52,2.06,0.78,60.98
1989,-999.0,-999.0,92.14,84.57,294.95,328.02,2.89,8.98,99.41
1990,-999.0,-999.0,88.15,77.03,276.65,270.34,1.98,1.96,73.84
1991,-999.0,-999.0,47.81,56.98,249.92,354.7,0.87,0.98,102.44
1992,-999.0,-999.0,209.22,153.85,425.25,210.59,11.27,16.92,109.57
1993,-999.0,-999.0,109.96,80.67,533.38,496.3,1.72,3.92,133.38
1994,-999.0,-999.0,104.04,65.04,267.34,285.26,1.38,3.27,46.98
1995,-999.0,-999.0,39.91,53.67,328.2,360.45,3.47,5.51,121.38
1996,-999.0,-999.0,96.33,82.38,256.24,271.77,1.79,4.31,61.31
1997,-999.0,-999.0,104.21,96.17,286.78,306.99,7.31,5.37,88.36
1998,-999.0,-999.0,80.49,89.12,334.04,261.5,0.8,2.55,116.06
1999,-999.0,-999.0,76.36,49.66,320.71,369.44,1.42,5.24,101.89
2000,-999.0,-999.0,102.68,116.1,264.58,287.89,1.22,4.56,54.94
2001,-999.0,-999.0,70.67,64.0,239.46,344.22,2.79,2.94,55.95
2002,-999.0,-999.0,52.01,71.83,255.9,262.07,0.63,0.98,48.52
2003,-999.0,-999.0,96.73,84.89,239.77,186.49,6.23,6.1,71.35
2004,-999.0,-999.0,168.46,115.61,397.37,211.34,3.77,10.75,98.08
2005,-999.0,-999.0,40.8,35.52,294.66,315.19,0.94,1.96,102.84
2006,-999.0,-999.0,65.21,69.68,194.21,219.11,2.21,1.18,49.0
2007,-999.0,-999.0,55.61,75.15,201.67,272.94,0.97,3.3,53.97
2008,-999.0,-999.0,85.47,73.85,313.35,341.5,1.02,3.92,74.51
2009,-999.0,-999.0,145.72,118.27,388.96,246.9,2.15,5.82,110.95
2010,-999.0,-999.0,48.05,50.47,317.78,372.65,0.0,0.39,79.21
2011,-999.0,-999.0,64.06,64.84,293.88,393.91,0.49,0.39,85.61
2012,-999.0,-999.0,51.44,64.59,196.02,332.69,2.1,1.18,46.65
2013,-999.0,-999.0,86.62,70.24,231.74,209.62,1.45,3.73,47.27
2014,-999.0,-999.0,93.15,78.2,323.48,236.63,1.61,3.73,77.74
2015,-999.0,-999.0,97.31,90.29,217.67,116.38,1.17,3.47,50.71
2016,-999.0,-999.0,52.08,54.58,224.47,229.62,0.43,0.98,45.86
2017,-999.0,-999.0,95.5,84.71,233.15,197.02,2.84,5.24,50.92
2018,-999.0,-999.0,52.16,63.03,254.24,226.91,0.28,1.18,47.17
2019,-999.0,-999.0,89.41,78.42,298.66,249.84,2.0,3.89,77.26
2020,-999.0,-999.0,46.62,45.93,232.83,280.43,1.69,1.93,53.92
2021,-999.0,-999.0,34.8,37.77,151.33,124.62,0.84,1.18,34.69
