Year,Northeast,Southeast,Midwest,Northern Great Plains,Northwest,Southwest,Southern Great Plains,Alaska,Hawaii,Puerto Rico
1950,0.0,0.572,0.018,0.372,1.136,16.325,5.076,0.0,0.0,
1951,0.005,4.352,0.162,0.905,1.736,18.754,21.784,0.0,0.0,
1952,0.276,9.498,1.827,2.944,1.241,17.233,25.417,0.0,0.0,
1953,1.107,5.703,3.225,1.917,0.962,17.781,26.699,0.0,0.0,
1954,0.487,16.282,5.739,4.417,0.439,16.238,33.447,0.0,0.0,
1955,0.581,0.558,1.67,4.922,1.87,14.825,11.29,0.0,0.0,
1956,0.0,3.401,1.168,2.164,1.575,16.809,30.993,0.0,0.0,
1957,0.283,0.743,0.433,1.876,0.225,15.492,17.084,0.0,0.0,
1958,0.0,0.183,0.03,1.586,2.463,19.609,12.116,0.0,0.0,
1959,0.087,0.623,0.09,3.378,2.646,17.495,7.592,0.0,0.0,
1960,0.0,0.745,0.233,3.649,3.813,22.092,11.291,0.0,0.0,
1961,0.0,0.1,0.017,3.115,5.054,17.745,3.767,0.0,0.0,
1962,0.035,1.994,0.438,0.368,1.095,16.172,15.446,0.0,0.0,
1963,0.035,1.614,0.492,1.944,0.39,14.498,20.857,0.0,0.0,
1964,0.06,2.274,0.728,3.021,0.779,14.946,20.659,0.0,0.0,
1965,0.005,0.252,0.188,1.18,1.142,11.128,9.076,0.0,0.0,
1966,0.443,1.784,1.36,2.907,1.059,15.715,10.881,0.0,0.0,
1967,0.0,0.056,0.043,0.903,4.555,14.883,9.091,0.0,0.0,
1968,0.003,0.818,0.012,1.225,2.369,13.817,5.067,0.0,0.0,
1969,0.0,2.599,0.234,2.219,1.003,17.598,20.368,0.0,0.0,
1970,0.005,1.336,0.537,3.102,2.157,17.269,17.346,0.0,0.0,
1971,0.0,0.647,0.275,2.74,4.114,16.808,8.626,0.0,0.0,
1972,0.0,0.576,0.128,0.491,2.426,15.414,5.575,0.0,0.0,
1973,0.034,0.105,0.125,2.627,1.934,17.766,6.114,0.0,0.0,
1974,0.0,0.402,1.039,3.543,1.638,17.586,11.969,0.0,0.0,
1975,0.155,0.105,0.249,2.003,1.941,14.598,4.051,0.0,0.0,
1976,0.0,0.205,0.583,3.584,0.414,13.193,5.592,0.0,0.0,
1977,0.179,2.812,0.544,1.919,3.322,16.905,12.711,0.0,0.0,
1978,0.022,2.37,0.369,2.248,2.086,20.098,23.252,0.0,0.0,
1979,0.0,0.131,0.057,1.087,2.098,17.673,5.611,0.0,0.0,
1980,0.272,10.77,4.067,4.285,0.717,20.815,37.336,0.0,0.0,
1981,0.0,1.967,0.047,1.882,2.759,19.894,9.386,0.0,0.0,
1982,0.007,0.159,0.106,1.063,0.911,11.776,10.861,0.0,0.0,
1983,0.259,3.945,3.065,5.356,0.881,14.207,16.672,0.0,0.0,
1984,0.007,0.423,0.545,2.104,1.132,15.217,12.666,0.0,0.0,
1985,0.015,1.573,0.192,2.428,2.452,18.193,15.603,0.0,0.0,
1986,0.024,3.647,0.328,0.642,1.526,15.429,9.127,0.0,0.0,
1987,0.063,1.998,0.977,1.725,1.451,16.06,6.806,0.0,0.0,
1988,1.405,2.798,5.139,8.185,2.526,17.987,10.736,0.0,0.0,
1989,0.005,0.16,0.194,3.018,0.671,19.213,7.444,0.0,0.0,
1990,0.057,3.435,0.527,2.533,3.326,17.51,14.273,0.0,0.0,
1991,0.449,0.448,0.583,2.409,1.044,14.547,6.867,0.0,0.0,
1992,0.002,0.173,0.002,0.122,3.416,15.6,2.513,0.0,0.0,
1993,0.209,2.804,0.032,0.044,0.199,14.79,8.898,0.0,0.0,
1994,0.061,0.042,0.031,0.602,3.381,22.694,11.838,0.0,0.0,
1995,0.267,2.057,0.695,2.392,0.381,17.916,10.311,0.0,0.0,
1996,0.005,0.413,0.008,0.662,2.882,21.915,11.771,0.0,0.0,
1997,0.177,0.697,0.137,0.494,0.562,17.036,6.555,0.0,0.0,
1998,0.027,4.759,0.138,1.735,3.645,18.26,30.128,0.0,0.0,
1999,0.693,3.973,0.783,1.298,0.884,13.828,14.148,0.0,0.0,
2000,0.015,6.504,0.763,3.099,1.468,21.369,28.326,0.0,0.0,
2001,0.239,0.472,0.151,2.537,1.967,21.894,19.782,0.0,0.0,
2002,0.148,1.082,0.181,4.958,2.674,22.943,8.582,0.0,0.0,
2003,0.0,0.428,0.796,4.893,4.658,24.177,15.616,0.0,0.0,
2004,0.0,0.127,0.007,0.882,2.058,15.854,4.648,0.0,0.0,
2005,0.066,1.468,0.554,2.691,1.789,19.387,11.349,0.0,0.0,
2006,0.121,3.278,0.88,5.152,3.803,20.89,21.969,0.0,0.0,
2007,0.187,5.372,0.826,4.277,2.697,20.028,4.549,0.0,0.0,
2008,0.015,1.421,0.017,0.846,2.009,17.762,11.401,0.0,0.0,
2009,0.01,1.039,0.016,0.164,2.429,19.282,17.849,0.0,0.0,
2010,0.562,4.249,0.343,0.883,0.639,17.649,14.113,0.0,0.0,
2011,0.599,6.672,1.534,1.385,0.236,19.486,49.987,0.0,0.0,
2012,0.681,5.701,4.451,6.074,1.968,21.785,27.593,0.0,0.0,
2013,0.022,0.392,0.211,1.097,2.194,19.314,14.62,0.0,0.0,
2014,0.0,0.22,0.115,0.504,2.611,17.497,10.218,0.0,0.0,
2015,0.004,1.393,0.017,1.125,5.438,18.156,10.106,0.0,0.0,
2016,0.083,0.954,0.045,1.524,1.458,19.118,12.353,0.0,0.0,
2017,0.013,0.122,0.12,2.624,3.311,20.394,9.149,0.0,0.0,
2018,0.066,0.563,0.176,1.384,2.999,22.268,15.53,0.0,0.0,
2019,0.05,1.433,0.008,0.266,0.601,18.494,15.122,0.0,0.0,
2020,0.038,0.217,0.04,1.339,2.657,27.595,15.234,0.0,0.0,
