Year,National
1950,9.379
1951,9.701
1952,7.774
1953,7.895
1954,7.437
1955,7.572
1956,6.924
1957,9.843
1958,8.93
1959,9.103
1960,8.12
1961,9.334
1962,8.103
1963,7.242
1964,9.039
1965,8.351
1966,8.213
1967,8.897
1968,8.291
1969,9.564
1970,9.027
1971,8.016
1972,9.073
1973,11.255
1974,8.708
1975,9.461
1976,7.487
1977,8.909
1978,8.672
1979,10.751
1980,8.235
1981,8.255
1982,10.235
1983,11.373
1984,9.171
1985,8.817
1986,8.653
1987,8.391
1988,7.647
1989,8.866
1990,9.925
1991,9.762
1992,9.43
1993,9.936
1994,9.192
1995,9.803
1996,10.36
1997,9.138
1998,10.454
1999,8.333
2000,8.256
2001,9.162
2002,9.245
2003,9.35
2004,9.752
2005,9.059
2006,9.07
2007,8.416
2008,10.101
2009,10.919
2010,9.166
2011,9.324
2012,7.996
2013,9.832
2014,9.675
2015,10.345
2016,9.268
2017,9.972
2018,11.17
2019,11.179
2020,9.342
2021,9.381
