Year,Alaska,Hawaii,Midwest,Northeast,Northern Great Plains,Northwest,Southeast,Southern Great Plains,Southwest
1972,-0.83,-999.0,21.65,25.38,16.06,27.94,48.6,44.47,35.14
1973,1.63,-999.0,22.87,25.73,18.32,27.67,44.44,39.66,32.45
1974,-1.27,-999.0,22.28,26.38,20.39,30.49,47.87,43.28,34.72
1975,-2.03,-999.0,24.37,27.24,19.52,29.26,47.33,42.48,34.04
1976,-1.8,-999.0,25.13,24.69,23.45,31.06,45.74,45.95,37.3
1977,12.8,-999.0,16.27,19.1,20.41,29.58,39.24,40.52,35.69
1978,7.63,-999.0,15.52,20.09,13.36,32.61,38.46,37.36,37.87
1979,4.3,-999.0,14.67,21.52,9.28,23.89,41.35,37.04,31.4
1980,2.77,-999.0,23.05,24.96,21.23,31.07,43.61,42.89,38.1
1981,7.2,-999.0,23.89,22.81,25.55,33.49,42.81,44.54,40.04
1982,2.73,-999.0,18.08,22.04,16.04,29.14,43.17,41.74,36.57
1983,5.37,-999.0,28.31,28.44,25.73,32.47,45.9,42.99,36.65
1984,2.03,-999.0,20.47,25.02,17.72,27.15,42.54,38.87,34.8
1985,8.47,-999.0,21.02,25.59,15.54,24.42,44.7,41.23,33.68
1986,11.27,-999.0,20.37,23.57,20.54,29.27,44.5,44.3,38.91
1987,10.8,-999.0,27.62,24.77,26.13,30.18,44.63,43.58,35.67
1988,6.9,-999.0,22.2,25.21,20.25,29.86,43.83,41.42,34.68
1989,4.23,-999.0,23.45,25.94,18.49,26.39,46.7,43.36,33.73
1990,-0.57,-999.0,24.34,24.97,22.26,31.04,46.44,43.39,35.44
1991,3.57,-999.0,23.85,28.49,20.29,29.01,47.51,42.83,35.19
1992,3.37,-999.0,28.42,26.89,27.75,33.91,47.72,46.1,36.64
1993,5.67,-999.0,22.83,24.8,14.76,25.34,45.79,42.11,33.93
1994,7.8,-999.0,19.38,20.91,18.46,31.44,44.0,43.36,36.22
1995,5.4,-999.0,25.41,27.33,23.7,32.71,46.31,46.22,39.2
1996,2.4,-999.0,21.07,23.18,18.9,30.51,43.95,44.16,38.94
1997,5.23,-999.0,22.76,28.54,17.71,30.22,47.29,43.46,36.69
1998,4.9,-999.0,30.34,30.48,25.24,31.82,47.11,44.85,36.02
1999,-1.07,-999.0,27.28,29.1,24.41,30.41,49.26,47.26,38.06
2000,4.77,-999.0,27.36,27.22,26.25,32.04,47.11,47.74,38.95
2001,14.97,-999.0,19.81,24.19,17.58,29.45,43.19,40.95,35.99
2002,6.27,-999.0,30.33,31.88,24.18,29.66,47.56,44.69,35.85
2003,13.43,-999.0,22.46,21.88,22.89,33.69,43.09,43.11,38.6
2004,4.77,-999.0,24.04,23.44,21.69,30.58,43.74,43.95,35.89
2005,7.83,-999.0,25.88,25.93,24.26,32.42,47.17,45.78,38.25
2006,7.2,-999.0,27.02,28.26,24.65,30.46,46.07,45.9,38.08
2007,6.57,-999.0,24.72,27.22,21.4,30.2,46.32,42.28,35.36
2008,3.37,-999.0,21.88,27.12,19.1,28.78,47.28,44.07,34.43
2009,3.63,-999.0,20.69,24.57,19.42,29.51,46.01,45.65,37.61
2010,7.5,-999.0,21.15,25.91,16.8,31.26,41.08,39.26,34.72
2011,3.53,-999.0,20.8,23.88,17.76,30.06,42.63,42.55,36.61
2012,2.9,-999.0,29.77,30.85,25.03,30.91,49.03,45.47,36.88
2013,5.1,-999.0,25.97,28.44,21.95,29.62,48.36,45.41,34.37
2014,10.7,-999.0,16.39,23.02,17.3,30.23,43.61,40.87,38.21
2015,11.57,-999.0,21.62,21.85,23.68,35.52,43.64,43.27,40.58
2016,14.27,-999.0,28.98,31.39,25.72,32.44,48.85,46.8,37.46
2017,5.77,-999.0,28.62,30.55,20.03,26.55,51.09,47.89,37.73
2018,12.8,-999.0,22.79,26.31,18.75,31.55,46.87,43.36,39.49
2019,10.7,-999.0,23.51,26.78,17.93,29.26,48.55,44.05,35.62
2020,0.6,-999.0,27.3,29.93,23.22,32.04,49.42,46.0,37.67
2021,7.4,-999.0,23.86,27.72,22.17,31.17,44.98,42.06,36.86
