Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1895,-999.0,40.25,34.55,41.95,43.25,20.4,20.75,27.65,54.15,41.7,-999.0,12.9,21.8,18.1,19.6,23.7,26.4,44.4,20.45,26.45,12.0,12.4,2.55,24.05,39.95,12.45,34.25,1.5,17.55,14.5,24.15,32.15,29.4,15.85,20.1,30.75,29.3,18.85,23.75,39.45,9.5,31.65,41.55,23.8,28.25,13.3,30.45,8.1,24.0,14.45
1896,-999.0,45.37,41.9,42.47,44.53,25.13,26.2,34.97,55.53,45.83,-999.0,23.73,26.43,29.83,30.07,33.43,35.7,49.8,25.47,34.07,14.93,20.9,12.5,33.93,45.93,20.77,40.53,10.67,27.97,18.97,30.47,34.63,32.77,21.87,29.9,39.1,33.27,27.5,28.3,44.63,20.77,39.17,46.67,26.5,35.9,17.7,32.57,17.9,32.63,20.3
1897,-999.0,46.43,42.7,42.1,43.27,25.0,25.6,32.9,57.53,46.8,-999.0,22.5,25.67,29.23,29.33,32.6,35.5,50.3,25.03,32.4,14.6,20.83,10.37,33.47,46.6,21.03,40.03,8.5,26.13,18.73,29.1,34.73,32.63,21.5,29.13,39.1,32.8,26.43,27.1,44.47,17.1,39.17,46.83,27.07,35.2,17.03,31.5,17.83,31.93,21.03
1898,-999.0,47.5,42.27,40.13,42.07,23.07,27.77,35.93,58.43,48.0,-999.0,20.1,23.57,28.4,30.53,31.3,37.33,52.53,26.73,34.93,15.77,20.2,11.8,32.5,48.3,21.53,41.83,12.5,25.2,19.93,31.87,34.7,29.3,23.53,30.67,39.4,31.9,28.7,29.6,46.1,20.27,40.77,47.97,21.53,37.17,18.7,31.03,16.73,33.87,18.27
1899,-999.0,42.4,35.8,38.97,43.27,18.5,24.77,31.67,57.9,45.4,-999.0,15.4,21.77,22.9,24.63,24.37,30.27,46.13,24.17,30.57,13.4,15.13,4.53,25.9,41.43,13.93,39.13,4.8,17.8,17.33,27.8,30.63,31.33,20.27,25.23,32.03,29.7,23.73,26.67,43.9,12.53,34.5,41.33,24.5,33.1,16.6,28.0,9.5,28.33,14.47
1900,-999.0,44.23,40.57,44.8,45.1,25.43,27.57,34.37,56.8,44.7,-999.0,19.63,25.47,26.57,27.87,30.27,33.57,49.03,26.63,33.37,17.37,19.17,10.6,29.87,44.73,20.97,39.6,9.93,24.2,19.93,30.67,36.53,34.33,22.7,28.07,37.87,32.73,26.73,29.03,43.73,18.37,37.07,46.5,28.27,34.93,18.9,33.1,15.1,31.3,20.2
1901,-999.0,45.23,42.4,43.03,43.63,25.7,24.23,31.83,56.23,45.4,-999.0,21.17,25.9,26.77,27.13,30.43,34.6,50.47,23.17,31.43,12.57,17.9,10.1,32.3,46.1,20.9,38.97,10.4,25.03,16.0,28.17,36.13,32.5,19.07,26.37,39.17,32.3,24.73,25.67,43.8,20.13,38.0,46.8,28.5,34.3,14.07,32.37,14.93,30.13,20.53
1902,-999.0,42.03,36.1,43.3,43.93,26.6,24.97,30.7,54.27,42.77,-999.0,18.43,25.77,23.0,24.03,28.47,30.13,46.97,24.43,29.8,16.07,18.63,11.57,26.87,42.17,21.17,36.77,11.27,22.97,18.57,27.83,36.27,33.37,20.0,24.7,35.83,32.4,23.73,26.77,41.27,18.2,33.5,45.8,29.17,31.7,16.87,31.93,14.9,28.13,20.77
1903,-999.0,45.6,39.33,40.13,40.9,21.43,25.9,33.9,59.17,46.6,-999.0,19.37,21.63,26.1,27.43,27.63,35.0,49.3,24.8,32.97,14.93,19.37,8.27,29.97,45.93,17.5,41.33,5.83,20.7,18.5,30.23,33.13,28.4,21.67,27.9,35.97,29.83,26.13,27.53,45.27,13.93,38.43,45.0,22.23,35.87,16.87,29.57,14.67,31.93,16.53
1904,-999.0,43.37,39.7,42.5,43.33,26.73,19.6,28.1,55.7,42.9,-999.0,14.77,24.37,21.07,21.57,30.7,31.2,49.47,18.7,27.3,9.23,10.9,2.03,28.6,44.87,19.43,35.87,3.83,23.97,12.53,23.9,35.67,31.67,14.63,21.4,39.1,31.73,19.83,21.67,40.93,13.83,35.93,48.07,26.73,30.27,10.57,30.93,6.83,26.47,21.03
1905,-999.0,41.2,34.63,43.1,45.3,23.43,20.13,27.57,55.5,42.6,-999.0,14.23,24.17,21.47,22.43,23.5,29.33,45.23,19.27,27.07,8.2,14.5,6.5,24.77,41.27,17.5,35.57,7.3,19.13,12.47,24.37,33.53,33.43,15.43,22.7,31.4,31.7,20.73,22.17,40.8,13.77,33.03,42.2,27.47,30.2,10.6,31.3,10.33,26.97,18.93
1906,-999.0,44.67,39.73,41.47,44.4,25.37,29.17,36.43,57.5,45.63,-999.0,23.77,23.4,29.43,30.3,33.03,35.93,47.77,28.23,35.5,17.83,23.1,13.17,32.5,44.5,23.1,41.2,11.83,28.1,21.8,32.8,33.17,30.17,24.93,30.83,38.67,31.23,29.5,30.9,44.97,21.17,38.47,44.9,25.83,36.7,20.23,32.2,18.33,33.6,20.83
1907,-999.0,50.5,45.9,45.57,44.37,31.1,22.33,33.07,60.17,50.0,-999.0,21.87,26.97,29.9,30.4,33.13,38.3,56.2,21.1,32.33,9.23,18.37,7.5,34.4,51.87,15.57,42.4,4.03,25.47,13.37,28.07,39.83,33.83,18.2,29.27,43.0,33.2,25.07,23.93,47.87,16.2,42.67,52.57,32.43,36.97,11.83,27.97,15.47,34.0,23.3
1908,-999.0,44.23,42.3,43.53,43.8,25.77,26.67,33.9,56.5,44.43,-999.0,24.4,25.6,29.27,29.1,33.73,35.07,50.83,25.97,32.53,16.63,20.5,15.53,33.8,46.07,23.1,39.1,16.17,27.77,19.57,30.3,36.17,33.73,21.2,28.9,41.27,33.47,26.0,28.63,43.67,22.83,38.3,48.6,28.43,34.03,17.3,31.67,18.87,30.67,21.13
1909,-999.0,49.97,44.67,43.57,43.13,25.1,28.77,37.87,60.83,50.43,-999.0,23.27,25.3,30.73,31.87,32.63,39.17,54.0,27.13,36.93,13.77,21.67,10.3,35.03,49.9,18.0,45.03,8.93,25.0,19.7,33.6,37.27,33.1,23.97,32.37,41.33,30.97,30.1,29.93,49.47,16.87,42.57,50.67,27.93,39.97,17.83,27.63,17.37,36.57,20.0
1910,-999.0,43.67,37.63,39.87,40.43,20.63,25.57,32.1,55.53,43.87,-999.0,15.3,18.23,23.27,24.4,26.23,31.37,48.2,24.87,31.3,16.97,18.0,7.07,27.57,43.63,14.1,38.67,4.97,18.6,19.0,28.53,32.67,25.63,20.33,25.2,35.3,26.63,24.23,27.57,42.83,10.83,35.1,44.23,21.93,33.57,16.93,26.13,12.47,29.73,13.47
1911,-999.0,48.67,44.9,44.37,42.73,27.83,24.67,33.33,58.07,47.77,-999.0,21.97,23.9,29.13,29.6,32.8,36.77,55.77,23.63,32.97,12.1,20.23,8.93,34.07,50.53,16.23,41.5,5.87,25.87,16.43,28.87,37.87,31.3,19.9,29.87,41.57,30.0,26.37,26.0,46.43,17.93,40.6,50.8,29.4,36.2,14.13,29.67,16.33,33.47,20.83
