Year,Northeast,Southeast,Midwest,Northern Great Plains,Northwest,Southwest,Southern Great Plains,Alaska,Hawaii,Puerto Rico
1950,0.0,0.563,0.018,0.372,1.157,16.517,5.09,0.0,0.0,
1951,0.005,4.348,0.162,0.905,1.767,18.905,21.806,0.0,0.0,
1952,0.276,9.508,1.827,2.944,1.264,17.387,25.425,0.0,0.0,
1953,1.107,5.702,3.22,1.917,0.979,17.873,26.73,0.0,0.0,
1954,0.487,16.303,5.737,4.417,0.447,16.386,33.477,0.0,0.0,
1955,0.581,0.558,1.666,4.922,1.902,14.993,11.302,0.0,0.0,
1956,0.0,3.4,1.168,2.164,1.602,16.966,30.981,0.0,0.0,
1957,0.283,0.742,0.433,1.876,0.228,15.552,17.114,0.0,0.0,
1958,0.0,0.183,0.03,1.586,2.505,19.824,12.11,0.0,0.0,
1959,0.087,0.622,0.09,3.378,2.692,17.711,7.592,0.0,0.0,
1960,0.0,0.74,0.233,3.649,3.883,22.195,11.291,0.0,0.0,
1961,0.0,0.1,0.017,3.115,5.144,16.961,3.767,0.0,0.0,
1962,0.035,1.994,0.438,0.368,1.114,15.329,15.464,0.0,0.0,
1963,0.035,1.613,0.492,1.944,0.397,13.702,20.917,0.0,0.0,
1964,0.06,2.27,0.728,3.021,0.779,14.026,20.647,0.0,0.0,
1965,0.005,0.252,0.188,1.18,1.134,10.309,9.087,0.0,0.0,
1966,0.443,1.785,1.36,2.907,1.059,14.769,10.857,0.0,0.0,
1967,0.0,0.056,0.043,0.903,4.555,14.214,9.109,0.0,0.0,
1968,0.003,0.819,0.012,1.225,2.369,13.149,5.067,0.0,0.0,
1969,0.0,2.599,0.234,2.219,1.003,16.82,20.471,0.0,0.0,
1970,0.005,1.337,0.537,3.102,2.157,16.633,17.346,0.0,0.0,
1971,0.0,0.647,0.275,2.74,4.109,16.265,8.626,0.0,0.0,
1972,0.0,0.576,0.128,0.491,2.426,14.792,5.575,0.0,0.0,
1973,0.034,0.105,0.125,2.627,1.934,17.135,6.114,0.0,0.0,
1974,0.0,0.402,1.039,3.543,1.627,16.916,11.969,0.0,0.0,
1975,0.155,0.105,0.249,2.003,1.941,13.847,4.051,0.0,0.0,
1976,0.0,0.206,0.583,3.584,0.414,12.513,5.592,0.0,0.0,
1977,0.179,2.815,0.544,1.919,3.319,16.403,12.711,0.0,0.0,
1978,0.022,2.369,0.369,2.248,2.086,19.507,23.252,0.0,0.0,
1979,0.0,0.131,0.057,1.087,2.098,16.836,5.611,0.0,0.0,
1980,0.272,10.772,4.067,4.285,0.717,20.183,37.336,0.0,0.0,
1981,0.0,1.967,0.047,1.882,2.762,19.145,9.386,0.0,0.0,
1982,0.007,0.159,0.106,1.063,0.914,11.189,10.861,0.0,0.0,
1983,0.259,3.945,3.065,5.356,0.881,13.641,16.672,0.0,0.0,
