Year,Northeast,Southeast,Midwest,Northern Great Plains,Northwest,Southwest,Southern Great Plains,Alaska,Hawaii,Puerto Rico
1950,0.337,0.0,1.459,8.218,0.398,0.03,0.0,21.317,0.0,
1951,0.356,0.0,2.045,7.407,0.035,0.099,0.004,25.725,0.0,
1952,0.063,0.0,0.509,2.208,0.0,0.073,0.0,24.278,0.0,
1953,0.062,0.0,0.192,0.429,0.0,0.002,0.0,24.387,0.0,
1954,0.379,0.0,0.849,3.955,0.017,0.003,0.0,31.013,0.0,
1955,0.683,0.0,0.765,2.426,0.009,0.008,0.0,29.733,0.0,
1956,0.088,0.0,0.45,2.704,0.022,0.013,0.0,41.853,0.0,
1957,0.645,0.0,0.674,3.453,0.126,0.006,0.0,19.986,0.0,
1958,0.322,0.002,0.448,1.254,0.0,0.0,0.0,18.52,0.0,
1959,0.359,0.0,0.881,3.001,0.069,0.023,0.0,25.693,0.0,
1960,0.19,0.0,0.335,0.882,0.004,0.0,0.0,15.987,0.0,
1961,0.468,0.0,0.367,1.551,0.0,0.002,0.0,29.747,0.0,
1962,0.504,0.0,2.12,5.739,0.194,0.061,0.0,18.194,0.0,
1963,0.433,0.0,3.905,6.254,0.233,0.215,0.049,18.958,0.0,
1964,0.063,0.0,0.274,2.577,0.253,0.005,0.0,33.847,0.0,
1965,0.435,0.0,1.627,3.055,0.0,0.004,0.0,25.373,0.0,
1966,0.236,0.0,2.11,5.019,0.0,0.008,0.0,30.306,0.0,
1967,0.316,0.0,0.802,1.557,0.0,0.0,0.0,21.819,0.0,
1968,1.189,0.0,1.532,4.273,0.501,0.006,0.0,25.893,0.0,
1969,0.124,0.0,0.921,5.563,0.031,0.007,0.0,24.88,0.0,
1970,0.641,0.005,2.847,3.826,0.0,0.014,0.0,23.406,0.0,
1971,0.805,0.0,1.685,3.999,0.047,0.112,0.0,33.928,0.0,
1972,0.348,0.0,2.788,8.668,0.243,0.022,0.0,26.561,0.0,
1973,0.51,0.0,0.977,2.717,0.004,0.031,0.0,25.362,0.0,
1974,0.338,0.0,1.065,3.102,0.078,0.039,0.0,32.652,0.0,
1975,0.414,0.0,0.571,1.602,0.0,0.016,0.0,32.159,0.0,
1976,0.662,0.0,1.39,2.059,0.0,0.0,0.0,22.733,0.0,
1977,0.476,0.022,2.882,4.415,0.0,0.0,0.004,20.52,0.0,
1978,0.149,0.0,1.129,5.849,0.352,0.024,0.0,14.12,0.0,
1979,1.056,0.0,2.865,6.842,0.249,0.083,0.004,25.96,0.0,
1980,0.494,0.0,0.599,3.147,0.017,0.0,0.0,25.4,0.0,
1981,0.62,0.0,0.518,1.264,0.0,0.0,0.0,12.733,0.0,
1982,0.914,0.016,2.861,6.695,0.072,0.06,0.014,26.4,0.0,
1983,0.462,0.005,3.301,6.877,0.651,0.231,0.747,21.013,0.0,
1984,0.248,0.0,1.357,2.568,0.058,0.064,0.0,26.68,0.0,
1985,0.296,0.069,2.274,6.534,0.168,0.061,0.0,18.933,0.0,
1986,0.259,0.0,0.499,0.774,0.0,0.003,0.0,17.347,0.0,
1987,0.29,0.0,0.247,0.099,0.0,0.009,0.0,16.973,0.0,
1988,0.35,0.0,1.858,2.606,0.0,0.009,0.0,18.173,0.0,
1989,0.634,0.024,3.186,8.058,0.427,0.327,0.41,24.76,0.0,
1990,0.09,0.0,1.308,5.083,1.004,0.359,0.194,30.597,0.0,
1991,0.231,0.0,0.301,1.391,0.0,0.002,0.0,21.833,0.0,
1992,0.361,0.0,0.426,1.963,0.004,0.0,0.0,22.042,0.0,
1993,0.582,0.0,0.703,2.193,0.034,0.003,0.0,15.0,0.0,
1994,1.338,0.018,3.975,4.76,0.0,0.002,0.004,24.213,0.0,
1995,0.415,0.0,0.913,1.119,0.0,0.0,0.0,24.013,0.0,
1996,0.542,0.0,4.067,9.694,0.061,0.022,0.031,26.693,0.0,
1997,0.261,0.0,1.32,4.336,0.0,0.04,0.0,16.52,0.0,
1998,0.06,0.0,0.512,2.944,0.034,0.019,0.0,17.72,0.0,
1999,0.179,0.0,0.907,1.26,0.0,0.0,0.0,30.893,0.0,
2000,0.417,0.0,0.822,2.22,0.0,0.0,0.0,14.972,0.0,
2001,0.025,0.0,0.15,0.381,0.004,0.004,0.0,15.431,0.0,
2002,0.045,0.0,0.006,0.301,0.0,0.002,0.0,9.133,0.0,
2003,0.811,0.004,0.34,1.503,0.0,0.0,0.0,16.4,0.0,
2004,1.575,0.0,1.406,3.255,0.044,0.001,0.003,19.0,0.0,
2005,0.513,0.0,0.755,2.36,0.0,0.016,0.0,18.875,0.0,
2006,0.08,0.0,0.172,0.766,0.0,0.005,0.0,25.92,0.0,
2007,0.423,0.0,0.932,1.659,0.0,0.049,0.0,19.44,0.0,
2008,0.114,0.0,1.699,4.25,0.018,0.033,0.0,23.547,0.0,
2009,0.402,0.0,1.144,3.737,0.0,0.006,0.0,23.133,0.0,
2010,0.05,0.0,0.618,1.84,0.0,0.005,0.0,23.042,0.0,
2011,0.119,0.0,0.451,2.703,0.0,0.138,0.0,20.173,0.0,
2012,0.044,0.0,0.169,0.711,0.0,0.0,0.0,30.92,0.0,
2013,0.306,0.0,1.63,3.367,0.088,0.097,0.0,15.597,0.0,
2014,0.657,0.0,2.711,3.47,0.0,0.038,0.0,8.84,0.0,
2015,0.418,0.0,1.025,0.812,0.004,0.023,0.0,17.75,0.0,
2016,0.228,0.0,0.986,1.678,0.006,0.029,0.0,10.253,0.0,
2017,0.499,0.0,1.292,3.135,0.063,0.03,0.0,15.069,0.0,
2018,0.574,0.0,0.914,1.81,0.0,0.0,0.0,13.736,0.0,
2019,0.301,0.0,1.994,5.297,0.0,0.008,0.0,12.547,0.0,
2020,0.076,0.0,0.192,1.151,0.0,0.004,0.0,25.111,0.0,
2021,0.047,0.0,2.176,5.368,0.0,0.054,0.146,21.853,0.0,
