Year,Northeast,Southeast,Midwest,Northern Great Plains,Northwest,Southwest,Southern Great Plains,Alaska,Hawaii,Puerto Rico
1900,0.019,3.163,0.749,3.762,1.706,7.453,11.722,-999.0,-999.0,
1901,0.321,7.865,8.515,10.496,3.118,10.03,28.694,-999.0,-999.0,
1902,0.0,6.803,0.178,1.182,2.409,9.829,14.286,-999.0,-999.0,
1903,0.0,0.562,0.081,0.459,0.522,8.19,7.081,-999.0,-999.0,
1904,0.0,0.856,0.003,0.699,1.792,10.492,4.297,-999.0,-999.0,
1905,0.037,0.998,0.076,0.688,3.3,11.042,10.397,0.0,-999.0,
1906,0.052,1.001,0.051,1.183,3.481,10.163,4.242,0.0,-999.0,
1907,0.0,4.254,0.339,1.359,0.78,6.284,11.851,0.0,-999.0,
1908,0.029,1.028,0.16,1.463,3.712,10.105,6.544,0.0,-999.0,
1909,0.046,3.802,0.615,1.554,1.074,7.483,18.946,0.0,-999.0,
1910,0.0,0.419,0.515,2.924,1.347,12.396,27.18,0.0,-999.0,
1911,1.971,5.237,4.422,4.643,2.708,7.277,28.943,0.0,-999.0,
1912,0.034,1.569,0.558,1.737,1.037,5.167,18.415,0.0,-999.0,
1913,0.226,5.726,6.831,7.64,1.699,9.955,32.285,0.0,-999.0,
1914,0.083,9.031,3.808,3.704,2.463,6.902,17.522,0.0,-999.0,
1915,0.0,2.164,0.021,0.074,3.048,6.949,9.256,0.0,-999.0,
1916,0.103,1.658,3.639,2.763,1.463,5.935,19.167,0.0,-999.0,
1917,0.27,1.476,0.689,4.052,2.362,12.143,23.756,0.0,-999.0,
1918,0.738,8.575,4.068,3.923,1.845,8.299,34.824,0.0,-999.0,
1919,0.7,1.978,0.875,3.891,3.529,9.592,8.667,0.0,-999.0,
1920,0.0,0.625,0.157,0.809,3.411,7.337,7.043,0.0,-999.0,
1921,0.161,4.993,0.892,2.577,1.036,7.18,14.736,0.0,-999.0,
1922,0.017,2.257,1.062,3.822,3.607,11.673,22.324,0.0,-999.0,
1923,0.083,1.661,0.553,0.5,1.762,6.531,14.018,0.0,-999.0,
1924,0.083,7.385,0.053,1.403,3.185,10.993,24.095,0.0,-999.0,
