Year,National
1900,27.456
1901,31.21
1902,29.606
1903,30.198
1904,32.695
1905,30.833
1906,26.997
1907,24.656
1908,22.335
1909,30.8
1910,28.337
1911,24.433
1912,33.016
1913,27.032
1914,30.313
1915,25.672
1916,34.484
1917,34.025
1918,28.824
1919,27.783
1920,29.515
1921,19.633
1922,27.872
1923,22.371
1924,32.889
1925,25.269
1926,27.335
1927,25.029
1928,20.015
1929,34.138
1930,29.041
1931,14.683
1932,29.905
1933,20.644
1934,22.49
1935,26.499
1936,34.078
1937,33.986
1938,22.263
1939,21.188
1940,34.456
1941,24.614
1942,27.228
1943,25.947
1944,25.676
1945,29.141
1946,18.061
1947,29.184
1948,32.685
1949,27.592
1950,31.59
1951,32.385
1952,25.828
1953,17.865
1954,20.092
1955,33.834
1956,26.304
1957,23.505
1958,30.02
1959,26.095
1960,36.9
1961,24.145
1962,30.442
1963,34.077
1964,24.742
1965,26.896
1966,30.691
1967,25.445
1968,28.883
1969,31.963
1970,30.126
1971,30.184
1972,31.702
1973,24.879
1974,24.108
1975,29.551
1976,26.597
1977,32.954
1978,43.005
1979,35.483
1980,29.958
1981,22.356
1982,31.465
1983,29.291
1984,25.778
1985,39.826
1986,23.454
1987,19.038
1988,28.322
1989,34.652
1990,18.058
1991,25.054
1992,21.553
1993,32.498
1994,27.836
1995,31.485
1996,35.561
1997,28.834
1998,19.469
1999,17.959
2000,30.198
2001,24.904
2002,21.919
2003,29.632
2004,24.881
2005,27.923
2006,16.936
2007,33.187
2008,31.669
2009,31.194
2010,34.5
2011,28.152
2012,17.936
2013,34.724
2014,37.794
2015,29.162
2016,24.476
2017,26.273
2018,31.746
2019,34.13
2020,20.74
