Year,Alaska,Hawaii,Midwest,Northeast,Northern Great Plains,Northwest,Southeast,Southern Great Plains,Southwest
1972,5.4,-999.0,9.17,12.1,5.92,9.22,12.31,6.57,1.74
1973,6.31,-999.0,13.63,13.59,5.87,5.33,20.55,10.38,4.38
1974,4.19,-999.0,10.96,12.4,5.91,9.5,13.62,7.13,3.02
1975,5.93,-999.0,9.62,10.26,6.96,8.04,18.0,8.9,4.75
1976,7.05,-999.0,8.97,10.29,4.95,6.7,13.75,9.66,2.94
1977,7.84,-999.0,9.64,10.35,6.47,7.49,12.68,9.54,3.14
1978,4.82,-999.0,9.24,9.74,7.08,8.39,13.46,6.68,5.75
1979,6.99,-999.0,10.24,12.11,4.97,6.65,17.5,10.04,4.23
1980,6.61,-999.0,6.83,11.72,4.67,8.6,19.61,8.26,4.56
1981,5.78,-999.0,9.29,9.04,5.92,8.61,10.76,9.56,4.76
1982,6.56,-999.0,9.92,9.15,7.12,8.01,12.15,9.61,4.82
1983,5.59,-999.0,11.34,16.92,5.63,9.8,18.49,8.04,6.5
1984,4.99,-999.0,10.57,15.18,6.04,10.19,16.27,6.71,2.97
1985,7.14,-999.0,9.92,8.92,4.96,6.2,9.05,8.46,3.7
1986,5.14,-999.0,8.79,8.65,6.74,7.58,9.02,7.6,4.13
1987,5.52,-999.0,7.24,9.9,6.08,7.65,10.76,9.19,3.87
1988,7.8,-999.0,6.0,8.71,4.86,9.21,10.12,6.22,3.46
1989,5.31,-999.0,8.6,13.39,5.15,9.82,14.02,7.17,3.08
1990,5.96,-999.0,11.65,12.08,5.66,7.85,14.24,11.46,3.68
1991,7.44,-999.0,11.86,10.89,7.62,10.64,19.92,8.13,5.28
1992,6.84,-999.0,7.32,9.47,4.24,4.88,10.37,8.95,4.35
1993,4.6,-999.0,10.12,12.14,5.69,11.08,13.63,9.7,3.65
1994,7.65,-999.0,8.18,12.78,3.81,6.33,13.59,8.45,3.73
1995,6.21,-999.0,11.63,7.96,8.18,10.12,13.09,11.04,7.39
1996,4.86,-999.0,10.6,13.2,6.48,10.13,13.41,4.87,3.33
1997,4.81,-999.0,8.49,10.75,5.25,9.98,14.82,9.93,2.65
1998,7.4,-999.0,10.91,12.17,5.14,9.94,13.68,5.59,5.04
1999,7.09,-999.0,10.14,9.31,6.51,6.72,10.74,10.17,4.15
2000,5.84,-999.0,8.23,13.29,5.29,7.08,11.42,8.19,3.27
2001,7.08,-999.0,9.84,9.79,4.94,6.56,12.13,7.89,3.42
2002,5.59,-999.0,11.8,13.05,4.21,7.2,12.75,6.67,1.82
2003,5.57,-999.0,9.55,10.83,6.26,10.31,15.71,5.18,4.02
2004,7.34,-999.0,12.18,12.19,5.29,6.67,11.23,8.7,2.81
2005,6.27,-999.0,6.78,11.7,6.24,10.53,12.37,5.58,4.77
2006,6.07,-999.0,9.95,9.21,4.88,8.2,9.22,6.68,4.5
2007,5.53,-999.0,9.29,11.71,7.67,5.9,7.39,12.53,2.79
2008,7.09,-999.0,11.97,11.63,6.24,6.85,13.54,8.33,1.77
2009,5.62,-999.0,10.81,10.92,5.07,8.65,17.39,8.82,3.08
2010,5.56,-999.0,9.17,10.34,6.92,9.83,11.78,7.65,3.96
2011,3.87,-999.0,13.15,16.91,8.7,13.32,14.33,4.32,4.63
2012,5.5,-999.0,9.02,10.06,5.22,11.48,11.63,7.67,3.07
2013,6.02,-999.0,12.87,9.41,6.87,7.14,13.55,6.27,2.12
2014,4.74,-999.0,9.54,11.58,5.21,10.14,15.38,5.83,3.06
2015,6.81,-999.0,9.92,8.81,6.15,6.45,14.91,16.38,4.08
2016,7.23,-999.0,9.89,8.7,7.36,8.52,14.1,11.81,4.24
2017,4.85,-999.0,12.71,13.87,5.67,11.65,15.01,9.34,3.63
2018,7.09,-999.0,8.75,11.53,6.0,8.4,14.77,5.85,3.67
2019,6.82,-999.0,13.0,12.66,7.28,7.99,13.34,12.21,5.58
2020,6.5,-999.0,10.65,11.12,4.38,6.73,16.2,9.13,3.39
2021,7.05,-999.0,8.98,9.2,4.89,3.82,14.41,10.38,2.5
